"m11124","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","1-pers.-HH","West Germany","1151","0.847326532098703","0.827982088551781","0.866670975645626"
"Not disabled","1984","1-pers.-HH","East Germany","","","",""
"Not disabled","1984","(Married) couple without C. ","West Germany","2265","0.812458026376018","0.79772617510893","0.827189877643106"
"Not disabled","1984","(Married) couple without C. ","East Germany","","","",""
"Not disabled","1984","Single parent ","West Germany","534","0.907328669187592","0.883668644080004","0.930988694295179"
"Not disabled","1984","Single parent ","East Germany","","","",""
"Not disabled","1984","Couple + C. LE 16 ","West Germany","2971","0.957253087613088","0.950104492680947","0.964401682545229"
"Not disabled","1984","Couple + C. LE 16 ","East Germany","","","",""
"Not disabled","1984","Couple + C. GT 16 ","West Germany","1826","0.907130136842712","0.89437768320444","0.919882590480984"
"Not disabled","1984","Couple + C. GT 16 ","East Germany","","","",""
"Not disabled","1984","Couple + C. LE and GT 16","West Germany","1643","0.95353943415151","0.943580771388861","0.96349809691416"
"Not disabled","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Disabled","1984","1-pers.-HH","West Germany","177","0.152673467901296","0.133329024354374","0.172017911448219"
"Disabled","1984","1-pers.-HH","East Germany","","","",""
"Disabled","1984","(Married) couple without C. ","West Germany","432","0.187541973623982","0.172810122356894","0.20227382489107"
"Disabled","1984","(Married) couple without C. ","East Germany","","","",""
"Disabled","1984","Single parent ","West Germany","43","0.0926713308124083","0.0690113057048212","0.116331355919995"
"Disabled","1984","Single parent ","East Germany","","","",""
"Disabled","1984","Couple + C. LE 16 ","West Germany","105","0.0427469123869122","0.0355983174547716","0.0498955073190528"
"Disabled","1984","Couple + C. LE 16 ","East Germany","","","",""
"Disabled","1984","Couple + C. GT 16 ","West Germany","164","0.0928698631572882","0.0801174095190162","0.10562231679556"
"Disabled","1984","Couple + C. GT 16 ","East Germany","","","",""
"Disabled","1984","Couple + C. LE and GT 16","West Germany","73","0.0464605658484897","0.0365019030858401","0.0564192286111394"
"Disabled","1984","Couple + C. LE and GT 16","East Germany","","","",""
"Not disabled","1985","1-pers.-HH","West Germany","1036","0.866102426474281","0.846639174226","0.885565678722563"
"Not disabled","1985","1-pers.-HH","East Germany","","","",""
"Not disabled","1985","(Married) couple without C. ","West Germany","2020","0.810428618923739","0.794812101878796","0.826045135968681"
"Not disabled","1985","(Married) couple without C. ","East Germany","","","",""
"Not disabled","1985","Single parent ","West Germany","511","0.931230168070737","0.909905761293215","0.95255457484826"
"Not disabled","1985","Single parent ","East Germany","","","",""
"Not disabled","1985","Couple + C. LE 16 ","West Germany","2586","0.956016094482367","0.948249648940912","0.963782540023823"
"Not disabled","1985","Couple + C. LE 16 ","East Germany","","","",""
"Not disabled","1985","Couple + C. GT 16 ","West Germany","1860","0.908874026211255","0.896330187745595","0.921417864676916"
"Not disabled","1985","Couple + C. GT 16 ","East Germany","","","",""
"Not disabled","1985","Couple + C. LE and GT 16","West Germany","1437","0.957926809258988","0.947729874733177","0.9681237437848"
"Not disabled","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Disabled","1985","1-pers.-HH","West Germany","140","0.133897573525718","0.114434321277437","0.153360825774"
"Disabled","1985","1-pers.-HH","East Germany","","","",""
"Disabled","1985","(Married) couple without C. ","West Germany","400","0.189571381076261","0.173954864031319","0.205187898121204"
"Disabled","1985","(Married) couple without C. ","East Germany","","","",""
"Disabled","1985","Single parent ","West Germany","30","0.0687698319292628","0.0474454251517401","0.0900942387067854"
"Disabled","1985","Single parent ","East Germany","","","",""
"Disabled","1985","Couple + C. LE 16 ","West Germany","92","0.0439839055176327","0.0362174599761774","0.051750351059088"
"Disabled","1985","Couple + C. LE 16 ","East Germany","","","",""
"Disabled","1985","Couple + C. GT 16 ","West Germany","162","0.0911259737887449","0.0785821353230844","0.103669812254405"
"Disabled","1985","Couple + C. GT 16 ","East Germany","","","",""
"Disabled","1985","Couple + C. LE and GT 16","West Germany","52","0.0420731907410117","0.0318762562152003","0.0522701252668231"
"Disabled","1985","Couple + C. LE and GT 16","East Germany","","","",""
