"m11124","year","migback","n","percent","lower_confidence","upper_confidence"
"Not disabled","1984","no migration background","7742","0.882066202458316","0.875273637438091","0.888858767478541"
"Not disabled","1984","direct migration background","3264","0.934634145587921","0.926338175177838","0.942930115998003"
"Not disabled","1984","indirect migration background","122","0.917666872840934","0.870048676780857","0.96528506890101"
"Disabled","1984","no migration background","919","0.117933797541684","0.111141232521459","0.124726362561909"
"Disabled","1984","direct migration background","146","0.0653658544120794","0.0570698840019971","0.0736618248221617"
"Disabled","1984","indirect migration background","6","","",""
"Not disabled","1985","no migration background","7155","0.886096906978214","0.879120865543423","0.893072948413004"
"Not disabled","1985","direct migration background","2817","0.92851638005506","0.919194229993411","0.937838530116709"
"Not disabled","1985","indirect migration background","139","0.934019093608647","0.893472547938188","0.974565639279105"
"Disabled","1985","no migration background","812","0.113903093021786","0.106927051586996","0.120879134456577"
"Disabled","1985","direct migration background","117","0.0714836199449402","0.0621614698832913","0.080805770006589"
"Disabled","1985","indirect migration background","5","","",""
"Not disabled","1986","no migration background","7624","0.999672760098287","0.999266953204821","1.00007856699175"
"Not disabled","1986","direct migration background","2855","0.999909843316073","0.999561627593799","1.00025805903835"
"Not disabled","1986","indirect migration background","156","1","1","1"
"Disabled","1986","no migration background","7","","",""
"Disabled","1986","direct migration background","1","","",""
"Disabled","1986","indirect migration background","","","",""
"Not disabled","1987","no migration background","6716","0.886602417809071","0.879407664226798","0.893797171391343"
"Not disabled","1987","direct migration background","2684","0.911655673013084","0.90119611962107","0.922115226405098"
"Not disabled","1987","indirect migration background","169","0.901842756215322","0.857886737937965","0.94579877449268"
"Disabled","1987","no migration background","745","0.113397582190929","0.106202828608657","0.120592335773202"
"Disabled","1987","direct migration background","144","0.0883443269869156","0.0778847735949014","0.0988038803789299"
"Disabled","1987","indirect migration background","7","","",""
"Not disabled","1988","no migration background","6309","0.875453273127959","0.867759001506119","0.8831475447498"
"Not disabled","1988","direct migration background","2502","0.894922188872135","0.88331444462237","0.906529933121901"
"Not disabled","1988","indirect migration background","213","0.899852236828697","0.86045172290689","0.939252750750503"
"Disabled","1988","no migration background","766","0.124546726872041","0.1168524552502","0.132240998493882"
"Disabled","1988","direct migration background","179","0.105077811127865","0.0934700668780993","0.11668555537763"
"Disabled","1988","indirect migration background","10","","",""
"Not disabled","1989","no migration background","6043","0.868336196019094","0.860305527746855","0.876366864291332"
"Not disabled","1989","direct migration background","2426","0.902027744508882","0.890594391379682","0.913461097638082"
"Not disabled","1989","indirect migration background","251","0.911878387435674","0.877421892564043","0.946334882307304"
