"pli0091_h","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","West Germany","","","",""
"Daily","1985","1-pers.-HH","East Germany","","","",""
"Daily","1985","(Married) couple without C. ","West Germany","","","",""
"Daily","1985","(Married) couple without C. ","East Germany","","","",""
"Daily","1985","Single parent ","West Germany","","","",""
"Daily","1985","Single parent ","East Germany","","","",""
"Daily","1985","Couple + C. LE 16 ","West Germany","","","",""
"Daily","1985","Couple + C. LE 16 ","East Germany","","","",""
"Daily","1985","Couple + C. GT 16 ","West Germany","","","",""
"Daily","1985","Couple + C. GT 16 ","East Germany","","","",""
"Daily","1985","Couple + C. LE and GT 16","West Germany","","","",""
"Daily","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1985","1-pers.-HH","West Germany","121","0.0816501772397317","0.065926005900071","0.0973743485793925"
"Min 1x per week","1985","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1985","(Married) couple without C. ","West Germany","109","0.0404153853696288","0.0325448268770573","0.0482859438622002"
"Min 1x per week","1985","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1985","Single parent ","West Germany","75","0.136050819385838","0.107187709210115","0.164913929561561"
"Min 1x per week","1985","Single parent ","East Germany","","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","West Germany","119","0.0438669900757093","0.0360709995714882","0.0516629805799304"
"Min 1x per week","1985","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","West Germany","324","0.159821740104724","0.143814006405595","0.175829473803852"
"Min 1x per week","1985","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","West Germany","222","0.174071136466013","0.154727433424252","0.193414839507773"
"Min 1x per week","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per month","1985","1-pers.-HH","West Germany","175","0.124891486806055","0.105907715183272","0.143875258428838"
"Min 1x per month","1985","1-pers.-HH","East Germany","","","",""
"Min 1x per month","1985","(Married) couple without C. ","West Germany","282","0.100286580338111","0.0882815279085954","0.112291632767626"
"Min 1x per month","1985","(Married) couple without C. ","East Germany","","","",""
"Min 1x per month","1985","Single parent ","West Germany","99","0.189311637266688","0.156330618022823","0.222292656510552"
"Min 1x per month","1985","Single parent ","East Germany","","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","West Germany","258","0.0959388348418336","0.0847279638737146","0.107149705809953"
"Min 1x per month","1985","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","West Germany","340","0.176931764469969","0.160261325782662","0.193602203157277"
"Min 1x per month","1985","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","West Germany","225","0.17119157280173","0.151975121821376","0.190408023782084"
"Min 1x per month","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","1985","1-pers.-HH","West Germany","196","0.148542409729131","0.128120710693692","0.16896410876457"
"Rarely","1985","1-pers.-HH","East Germany","","","",""
"Rarely","1985","(Married) couple without C. ","West Germany","713","0.283787114792258","0.265769057977553","0.301805171606963"
"Rarely","1985","(Married) couple without C. ","East Germany","","","",""
"Rarely","1985","Single parent ","West Germany","155","0.308791535173552","0.269897261556685","0.347685808790419"
"Rarely","1985","Single parent ","East Germany","","","",""
"Rarely","1985","Couple + C. LE 16 ","West Germany","1166","0.499054290129063","0.480021061928241","0.518087518329886"
"Rarely","1985","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","1985","Couple + C. GT 16 ","West Germany","615","0.307417643648937","0.287260624421187","0.327574662876687"
"Rarely","1985","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","1985","Couple + C. LE and GT 16","West Germany","440","0.350393838350763","0.326054531254566","0.374733145446961"
"Rarely","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Never","1985","1-pers.-HH","West Germany","673","0.644915926225082","0.617436840671404","0.67239501177876"
"Never","1985","1-pers.-HH","East Germany","","","",""
"Never","1985","(Married) couple without C. ","West Germany","1301","0.575510919500003","0.555757122053511","0.595264716946494"
"Never","1985","(Married) couple without C. ","East Germany","","","",""
"Never","1985","Single parent ","West Germany","213","0.365846008173922","0.325295623970068","0.406396392377777"
"Never","1985","Single parent ","East Germany","","","",""
"Never","1985","Couple + C. LE 16 ","West Germany","1108","0.361139884953394","0.34285535322139","0.379424416685398"
"Never","1985","Couple + C. LE 16 ","East Germany","","","",""
"Never","1985","Couple + C. GT 16 ","West Germany","734","0.35582885177637","0.334914355079606","0.376743348473134"
"Never","1985","Couple + C. GT 16 ","East Germany","","","",""
"Never","1985","Couple + C. LE and GT 16","West Germany","589","0.304343452381494","0.280869601993792","0.327817302769196"
"Never","1985","Couple + C. LE and GT 16","East Germany","","","",""
"Daily","1986","1-pers.-HH","West Germany","","","",""
"Daily","1986","1-pers.-HH","East Germany","","","",""
"Daily","1986","(Married) couple without C. ","West Germany","","","",""
"Daily","1986","(Married) couple without C. ","East Germany","","","",""
"Daily","1986","Single parent ","West Germany","","","",""
"Daily","1986","Single parent ","East Germany","","","",""
"Daily","1986","Couple + C. LE 16 ","West Germany","","","",""
"Daily","1986","Couple + C. LE 16 ","East Germany","","","",""
"Daily","1986","Couple + C. GT 16 ","West Germany","","","",""
"Daily","1986","Couple + C. GT 16 ","East Germany","","","",""
"Daily","1986","Couple + C. LE and GT 16","West Germany","","","",""
"Daily","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1986","1-pers.-HH","West Germany","95","0.0692339823487379","0.0543137490741093","0.0841542156233665"
"Min 1x per week","1986","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1986","(Married) couple without C. ","West Germany","103","0.0365668965057826","0.0289974699766102","0.0441363230349549"
"Min 1x per week","1986","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1986","Single parent ","West Germany","85","0.165742310683991","0.133374679631636","0.198109941736345"
"Min 1x per week","1986","Single parent ","East Germany","","","",""
"Min 1x per week","1986","Couple + C. LE 16 ","West Germany","101","0.0429780251894978","0.0348591052837727","0.051096945095223"
"Min 1x per week","1986","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1986","Couple + C. GT 16 ","West Germany","315","0.152393914475594","0.137007646314993","0.167780182636195"
"Min 1x per week","1986","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1986","Couple + C. LE and GT 16","West Germany","208","0.166707164473218","0.147134565895931","0.186279763050504"
"Min 1x per week","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per month","1986","1-pers.-HH","West Germany","196","0.147111055664147","0.126291828888441","0.167930282439853"
"Min 1x per month","1986","1-pers.-HH","East Germany","","","",""
"Min 1x per month","1986","(Married) couple without C. ","West Germany","297","0.101567263143187","0.0893850048456049","0.113749521440769"
"Min 1x per month","1986","(Married) couple without C. ","East Germany","","","",""
"Min 1x per month","1986","Single parent ","West Germany","93","0.188429265227565","0.15438989804271","0.222468632412419"
"Min 1x per month","1986","Single parent ","East Germany","","","",""
"Min 1x per month","1986","Couple + C. LE 16 ","West Germany","214","0.0967919354472471","0.0849553192896071","0.108628551604887"
"Min 1x per month","1986","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per month","1986","Couple + C. GT 16 ","West Germany","405","0.195726263339587","0.17874073939379","0.212711787285383"
"Min 1x per month","1986","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per month","1986","Couple + C. LE and GT 16","West Germany","234","0.17628368681357","0.156272749628166","0.196294623998974"
"Min 1x per month","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Rarely","1986","1-pers.-HH","West Germany","222","0.180124404306317","0.15753753931771","0.202711269294924"
"Rarely","1986","1-pers.-HH","East Germany","","","",""
"Rarely","1986","(Married) couple without C. ","West Germany","702","0.282220944742439","0.264070045089337","0.300371844395542"
"Rarely","1986","(Married) couple without C. ","East Germany","","","",""
"Rarely","1986","Single parent ","West Germany","150","0.29234601812062","0.2527544065333","0.331937629707941"
"Rarely","1986","Single parent ","East Germany","","","",""
"Rarely","1986","Couple + C. LE 16 ","West Germany","1044","0.484381530804817","0.464374985851044","0.504388075758589"
"Rarely","1986","Couple + C. LE 16 ","East Germany","","","",""
"Rarely","1986","Couple + C. GT 16 ","West Germany","617","0.300983353888406","0.281346701623666","0.320620006153146"
"Rarely","1986","Couple + C. GT 16 ","East Germany","","","",""
"Rarely","1986","Couple + C. LE and GT 16","West Germany","415","0.342199965331384","0.317285047487996","0.367114883174771"
"Rarely","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Never","1986","1-pers.-HH","West Germany","599","0.603530557680799","0.574779740748121","0.632281374613476"
"Never","1986","1-pers.-HH","East Germany","","","",""
"Never","1986","(Married) couple without C. ","West Germany","1260","0.579644895608591","0.559738285290604","0.599551505926579"
"Never","1986","(Married) couple without C. ","East Germany","","","",""
"Never","1986","Single parent ","West Germany","179","0.353482405967824","0.311870444605892","0.395094367329757"
"Never","1986","Single parent ","East Germany","","","",""
"Never","1986","Couple + C. LE 16 ","West Germany","1038","0.375848508558438","0.356459058297694","0.395237958819182"
"Never","1986","Couple + C. LE 16 ","East Germany","","","",""
"Never","1986","Couple + C. GT 16 ","West Germany","759","0.350896468296413","0.330465030184599","0.371327906408227"
"Never","1986","Couple + C. GT 16 ","East Germany","","","",""
"Never","1986","Couple + C. LE and GT 16","West Germany","536","0.314809183381829","0.290419733985331","0.339198632778327"
"Never","1986","Couple + C. LE and GT 16","East Germany","","","",""
"Daily","1987","1-pers.-HH","West Germany","","","",""
"Daily","1987","1-pers.-HH","East Germany","","","",""
"Daily","1987","(Married) couple without C. ","West Germany","","","",""
"Daily","1987","(Married) couple without C. ","East Germany","","","",""
"Daily","1987","Single parent ","West Germany","","","",""
"Daily","1987","Single parent ","East Germany","","","",""
"Daily","1987","Couple + C. LE 16 ","West Germany","","","",""
"Daily","1987","Couple + C. LE 16 ","East Germany","","","",""
"Daily","1987","Couple + C. GT 16 ","West Germany","","","",""
"Daily","1987","Couple + C. GT 16 ","East Germany","","","",""
"Daily","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Daily","1987","Couple + C. LE and GT 16","East Germany","","","",""
"Min 1x per week","1987","1-pers.-HH","West Germany","","","",""
"Min 1x per week","1987","1-pers.-HH","East Germany","","","",""
"Min 1x per week","1987","(Married) couple without C. ","West Germany","","","",""
"Min 1x per week","1987","(Married) couple without C. ","East Germany","","","",""
"Min 1x per week","1987","Single parent ","West Germany","","","",""
"Min 1x per week","1987","Single parent ","East Germany","","","",""
"Min 1x per week","1987","Couple + C. LE 16 ","West Germany","","","",""
"Min 1x per week","1987","Couple + C. LE 16 ","East Germany","","","",""
"Min 1x per week","1987","Couple + C. GT 16 ","West Germany","","","",""
"Min 1x per week","1987","Couple + C. GT 16 ","East Germany","","","",""
"Min 1x per week","1987","Couple + C. LE and GT 16","West Germany","","","",""
"Min 1x per week","1987","Couple + C. LE and GT 16","East Germany","","","",""
