"pli0091_h","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","(0) in school","","","",""
"Daily","1985","(1a) inadequately completed","","","",""
"Daily","1985","(1b) general elementary school","","","",""
"Daily","1985","(1c) basic vocational qualification","","","",""
"Daily","1985","(2b) intermediate general qualification","","","",""
"Daily","1985","(2a) intermediate vocational","","","",""
"Daily","1985","(2c_gen) general maturity certificate","","","",""
"Daily","1985","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","(3a) lower tertiary education","","","",""
"Daily","1985","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","(0) in school","65","0.338779649548804","0.270761724091671","0.406797575005936"
"Min 1x per week","1985","(1a) inadequately completed","31","0.0646478328738321","0.0486268791735579","0.0806687865741062"
"Min 1x per week","1985","(1b) general elementary school","180","0.0552852373822746","0.0465075008454887","0.0640629739190605"
"Min 1x per week","1985","(1c) basic vocational qualification","270","0.0601819642570647","0.05261642209432","0.0677475064198094"
"Min 1x per week","1985","(2b) intermediate general qualification","130","0.248561108456161","0.209489383516617","0.287632833395706"
"Min 1x per week","1985","(2a) intermediate vocational","148","0.107889024062867","0.0912282930703265","0.124549755055407"
"Min 1x per week","1985","(2c_gen) general maturity certificate","96","0.267448976553725","0.222768599873769","0.312129353233681"
"Min 1x per week","1985","(2c_voc) vocational maturity certificate","41","0.109550703368411","0.0790949328668958","0.140006473869927"
"Min 1x per week","1985","(3a) lower tertiary education","16","","",""
"Min 1x per week","1985","(3b) higher tertiary education","53","0.0941764040593316","0.0687025140915215","0.119650294027142"
"Min 1x per month","1985","(0) in school","65","0.388907490452435","0.318847793723506","0.458967187181364"
"Min 1x per month","1985","(1a) inadequately completed","60","0.0616061308016115","0.0459412047494399","0.077271056853783"
"Min 1x per month","1985","(1b) general elementary school","239","0.0747340548392461","0.0646340829906557","0.0848340266878365"
"Min 1x per month","1985","(1c) basic vocational qualification","413","0.100378425996815","0.0908189274675633","0.109937924526066"
"Min 1x per month","1985","(2b) intermediate general qualification","132","0.273694968281858","0.233386889833982","0.314003046729733"
"Min 1x per month","1985","(2a) intermediate vocational","217","0.149882609018986","0.130713097286018","0.169052120751954"
"Min 1x per month","1985","(2c_gen) general maturity certificate","112","0.326526756637578","0.279190165879676","0.373863347395479"
"Min 1x per month","1985","(2c_voc) vocational maturity certificate","81","0.196895073611735","0.15811925470287","0.235670892520601"
"Min 1x per month","1985","(3a) lower tertiary education","37","0.148502175206342","0.103975196508944","0.193029153903741"
"Min 1x per month","1985","(3b) higher tertiary education","93","0.17699130492566","0.14370385092074","0.21027875893058"
"Rarely","1985","(0) in school","43","0.21445038269966","0.155465347570505","0.273435417828814"
"Rarely","1985","(1a) inadequately completed","165","0.227757037716535","0.200433515425268","0.255080560007802"
"Rarely","1985","(1b) general elementary school","630","0.214638531018059","0.198869092148839","0.230407969887278"
"Rarely","1985","(1c) basic vocational qualification","1362","0.339844394206995","0.324776651275231","0.354912137138759"
"Rarely","1985","(2b) intermediate general qualification","122","0.260732101269637","0.221040617111743","0.300423585427532"
"Rarely","1985","(2a) intermediate vocational","550","0.389782560840187","0.36359171716598","0.415973404514394"
"Rarely","1985","(2c_gen) general maturity certificate","107","0.269274833440614","0.224498107869711","0.314051559011517"
"Rarely","1985","(2c_voc) vocational maturity certificate","132","0.309056244060441","0.263995587239834","0.354116900881048"
"Rarely","1985","(3a) lower tertiary education","99","0.365265234149099","0.304972446914735","0.425558021383463"
"Rarely","1985","(3b) higher tertiary education","220","0.421158865498757","0.378095787490397","0.464221943507116"
"Never","1985","(0) in school","13","","",""
"Never","1985","(1a) inadequately completed","649","0.645988998608021","0.614832780055533","0.677145217160509"
"Never","1985","(1b) general elementary school","1555","0.655342176760421","0.637088274064799","0.673596079456042"
"Never","1985","(1c) basic vocational qualification","1751","0.499595215539125","0.483689439936841","0.515500991141409"
"Never","1985","(2b) intermediate general qualification","86","0.217011821992344","0.179745334471726","0.254278309512961"
"Never","1985","(2a) intermediate vocational","417","0.35244580607796","0.326790322068115","0.378101290087805"
"Never","1985","(2c_gen) general maturity certificate","62","0.136749433368084","0.102067075138046","0.171431791598121"
"Never","1985","(2c_voc) vocational maturity certificate","150","0.384497978959412","0.337060764312932","0.431935193605892"
"Never","1985","(3a) lower tertiary education","93","0.422117143799034","0.360272591551076","0.483961696046992"
"Never","1985","(3b) higher tertiary education","139","0.307673425516252","0.267419995162489","0.347926855870015"
"Daily","1986","(0) in school","","","",""
"Daily","1986","(1a) inadequately completed","","","",""
"Daily","1986","(1b) general elementary school","","","",""
"Daily","1986","(1c) basic vocational qualification","","","",""
"Daily","1986","(2b) intermediate general qualification","","","",""
"Daily","1986","(2a) intermediate vocational","","","",""
"Daily","1986","(2c_gen) general maturity certificate","","","",""
"Daily","1986","(2c_voc) vocational maturity certificate","","","",""
"Daily","1986","(3a) lower tertiary education","","","",""
"Daily","1986","(3b) higher tertiary education","","","",""
"Min 1x per week","1986","(0) in school","62","0.324396725669453","0.257477135861779","0.391316315477127"
"Min 1x per week","1986","(1a) inadequately completed","33","0.0767671307558097","0.0588065592806559","0.0947277022309635"
"Min 1x per week","1986","(1b) general elementary school","176","0.0554580709325382","0.0464156382493227","0.0645005036157538"
"Min 1x per week","1986","(1c) basic vocational qualification","247","0.0616147080672685","0.0537621884434402","0.0694672276910968"
"Min 1x per week","1986","(2b) intermediate general qualification","121","0.244772687237521","0.205567148589603","0.28397822588544"
"Min 1x per week","1986","(2a) intermediate vocational","127","0.0930059803676068","0.0772600637805083","0.108751896954705"
"Min 1x per week","1986","(2c_gen) general maturity certificate","97","0.252076318954382","0.209788503972793","0.294364133935971"
"Min 1x per week","1986","(2c_voc) vocational maturity certificate","30","0.0660306800471867","0.0419634767111651","0.0900978833832083"
"Min 1x per week","1986","(3a) lower tertiary education","13","","",""
"Min 1x per week","1986","(3b) higher tertiary education","48","0.0925728038109039","0.0671428587070597","0.118002748914748"
"Min 1x per month","1986","(0) in school","71","0.391449556533428","0.321681703167577","0.461217409899279"
"Min 1x per month","1986","(1a) inadequately completed","58","0.0669895559802549","0.0501231064959619","0.0838560054645478"
"Min 1x per month","1986","(1b) general elementary school","214","0.0675977037688057","0.0576788857302841","0.0775165218073274"
"Min 1x per month","1986","(1c) basic vocational qualification","425","0.10687154458166","0.0967821700709855","0.116960919092334"
"Min 1x per month","1986","(2b) intermediate general qualification","142","0.2948037918661","0.253227225484426","0.336380358247774"
"Min 1x per month","1986","(2a) intermediate vocational","229","0.163520372337839","0.143469931990397","0.18357081268528"
"Min 1x per month","1986","(2c_gen) general maturity certificate","145","0.387321316666337","0.339878259744791","0.434764373587882"
"Min 1x per month","1986","(2c_voc) vocational maturity certificate","82","0.213644126102356","0.173921177068018","0.253367075136694"
"Min 1x per month","1986","(3a) lower tertiary education","41","0.160216000512319","0.114285435299732","0.206146565724907"
"Min 1x per month","1986","(3b) higher tertiary education","99","0.173653745496278","0.14041681360388","0.206890677388676"
"Rarely","1986","(0) in school","45","0.232605885596772","0.172212587375148","0.292999183818396"
"Rarely","1986","(1a) inadequately completed","154","0.212410918907597","0.184816889050972","0.240004948764221"
"Rarely","1986","(1b) general elementary school","610","0.218568550368235","0.202240604080095","0.234896496656375"
"Rarely","1986","(1c) basic vocational qualification","1251","0.331196545757311","0.315826739614712","0.346566351899911"
"Rarely","1986","(2b) intermediate general qualification","109","0.216754621818448","0.179182977097097","0.254326266539799"
"Rarely","1986","(2a) intermediate vocational","537","0.379009607631885","0.352708269335664","0.405310945928106"
"Rarely","1986","(2c_gen) general maturity certificate","104","0.250125996388467","0.207947203728111","0.292304789048824"
"Rarely","1986","(2c_voc) vocational maturity certificate","153","0.359745073142373","0.313233574941154","0.406256571343592"
"Rarely","1986","(3a) lower tertiary education","105","0.397809864394077","0.336522684008156","0.459097044779999"
"Rarely","1986","(3b) higher tertiary education","206","0.398836367112695","0.355873669355064","0.441799064870325"
"Never","1986","(0) in school","10","","",""
"Never","1986","(1a) inadequately completed","599","0.643832394356339","0.611525851359814","0.676138937352863"
"Never","1986","(1b) general elementary school","1461","0.658375674930421","0.639638523538576","0.677112826322266"
"Never","1986","(1c) basic vocational qualification","1679","0.500317201593761","0.48398870673925","0.516645696448271"
"Never","1986","(2b) intermediate general qualification","90","0.243668899077931","0.204523282908421","0.282814515247441"
"Never","1986","(2a) intermediate vocational","414","0.36446403966267","0.338372019583892","0.390556059741448"
"Never","1986","(2c_gen) general maturity certificate","59","0.110476367990814","0.079945860832549","0.141006875149079"
"Never","1986","(2c_voc) vocational maturity certificate","144","0.360580120708084","0.314045048301475","0.407115193114694"
"Never","1986","(3a) lower tertiary education","86","0.383664302286772","0.322773821063498","0.444554783510047"
"Never","1986","(3b) higher tertiary education","146","0.334937083580123","0.293526552366596","0.376347614793651"
"Daily","1987","(0) in school","","","",""
"Daily","1987","(1a) inadequately completed","","","",""
"Daily","1987","(1b) general elementary school","","","",""
"Daily","1987","(1c) basic vocational qualification","","","",""
"Daily","1987","(2b) intermediate general qualification","","","",""
"Daily","1987","(2a) intermediate vocational","","","",""
"Daily","1987","(2c_gen) general maturity certificate","","","",""
"Daily","1987","(2c_voc) vocational maturity certificate","","","",""
"Daily","1987","(3a) lower tertiary education","","","",""
"Daily","1987","(3b) higher tertiary education","","","",""
"Min 1x per week","1987","(0) in school","","","",""
"Min 1x per week","1987","(1a) inadequately completed","","","",""
"Min 1x per week","1987","(1b) general elementary school","","","",""
"Min 1x per week","1987","(1c) basic vocational qualification","","","",""
"Min 1x per week","1987","(2b) intermediate general qualification","","","",""
"Min 1x per week","1987","(2a) intermediate vocational","","","",""
"Min 1x per week","1987","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1987","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1987","(3a) lower tertiary education","","","",""
"Min 1x per week","1987","(3b) higher tertiary education","","","",""
"Min 1x per month","1987","(0) in school","","","",""
"Min 1x per month","1987","(1a) inadequately completed","","","",""
"Min 1x per month","1987","(1b) general elementary school","","","",""
"Min 1x per month","1987","(1c) basic vocational qualification","","","",""
"Min 1x per month","1987","(2b) intermediate general qualification","","","",""
"Min 1x per month","1987","(2a) intermediate vocational","","","",""
"Min 1x per month","1987","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1987","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1987","(3a) lower tertiary education","","","",""
"Min 1x per month","1987","(3b) higher tertiary education","","","",""
"Rarely","1987","(0) in school","","","",""
"Rarely","1987","(1a) inadequately completed","","","",""
"Rarely","1987","(1b) general elementary school","","","",""
"Rarely","1987","(1c) basic vocational qualification","","","",""
"Rarely","1987","(2b) intermediate general qualification","","","",""
