"pgnation","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"1","1984","Full Time","West Germany","3838","0.913175964385084","0.905851976504606","0.920499952265562"
"1","1984","Full Time","East Germany","","","",""
"1","1984","Part Time","West Germany","1458","0.937449822177439","0.926532767667494","0.948366876687384"
"1","1984","Part Time","East Germany","","","",""
"1","1984","Not Working","West Germany","3742","0.954199100390384","0.948198815252317","0.960199385528452"
"1","1984","Not Working","East Germany","","","",""
"2","1984","Full Time","West Germany","513","0.0275938518225963","0.023333157192043","0.0318545464531496"
"2","1984","Full Time","East Germany","","","",""
"2","1984","Part Time","West Germany","145","0.021221993444581","0.0147244023339738","0.0277195845551882"
"2","1984","Part Time","East Germany","","","",""
"2","1984","Not Working","West Germany","362","0.0170959879301397","0.0133753446088735","0.020816631251406"
"2","1984","Not Working","East Germany","","","",""
"3","1984","Full Time","West Germany","365","0.0180494199850689","0.0145866245392797","0.0215122154308581"
"3","1984","Full Time","East Germany","","","",""
"3","1984","Part Time","West Germany","73","0.0092954714536735","0.00496908835061862","0.0136218545567284"
"3","1984","Part Time","East Germany","","","",""
"3","1984","Not Working","West Germany","115","0.00469401628579384","0.0027321654365616","0.00665586713502607"
"3","1984","Not Working","East Germany","","","",""
"4","1984","Full Time","West Germany","276","0.00736555763644337","0.00514149054959478","0.00958962472329195"
"4","1984","Full Time","East Germany","","","",""
"4","1984","Part Time","West Germany","67","0.00450598788179616","0.00148651228033301","0.00752546348325931"
"4","1984","Part Time","East Germany","","","",""
"4","1984","Not Working","West Germany","113","0.00257369528928801","0.0011194610829142","0.00402792949566181"
"4","1984","Not Working","East Germany","","","",""
"5","1984","Full Time","West Germany","388","0.0165590180301089","0.0132397537101346","0.0198782823500832"
"5","1984","Full Time","East Germany","","","",""
"5","1984","Part Time","West Germany","70","0.00670342634517784","0.00302463565662821","0.0103822170337275"
"5","1984","Part Time","East Germany","","","",""
"5","1984","Not Working","West Germany","160","0.00593351153777068","0.00372916943593908","0.00813785363960228"
"5","1984","Not Working","East Germany","","","",""
"6","1984","Full Time","West Germany","244","0.00421912520952421","0.00253317985369184","0.00590507056535657"
"6","1984","Full Time","East Germany","","","",""
"6","1984","Part Time","West Germany","47","0.00223664020591492","0.000106888236631901","0.00436639217519794"
"6","1984","Part Time","East Germany","","","",""
"6","1984","Not Working","West Germany","116","0.00191399524432951","0.000659497763814267","0.00316849272484476"
"6","1984","Not Working","East Germany","","","",""
"10","1984","Full Time","West Germany","16","","",""
"10","1984","Full Time","East Germany","","","",""
"10","1984","Part Time","West Germany","10","","",""
"10","1984","Part Time","East Germany","","","",""
"10","1984","Not Working","West Germany","6","","",""
"10","1984","Not Working","East Germany","","","",""
"11","1984","Full Time","West Germany","7","","",""
"11","1984","Full Time","East Germany","","","",""
"11","1984","Part Time","West Germany","4","","",""
"11","1984","Part Time","East Germany","","","",""
"11","1984","Not Working","West Germany","2","","",""
"11","1984","Not Working","East Germany","","","",""
"12","1984","Full Time","West Germany","2","","",""
"12","1984","Full Time","East Germany","","","",""
"12","1984","Part Time","West Germany","3","","",""
