"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","general elemantary","East Germany","","","","","","","","","","","","","",""
"1984","general elemantary","West Germany","9.24","6","1625","1","2","14","23","38","8.83","9.65","0","59","5","6"
"1984","higher education","East Germany","","","","","","","","","","","","","",""
"1984","higher education","West Germany","11.24","9","621","1","3","17","26","36","10.49","11.99","0","50","7","10"
"1984","higher vocational","East Germany","","","","","","","","","","","","","",""
"1984","higher vocational","West Germany","12.47","9","449","1","4","19","30","46","11.48","13.46","0","57","7","10"
"1984","in school","East Germany","","","","","","","","","","","","","",""
"1984","in school","West Germany","","","","","","","","","","","","","",""
"1984","inadequately","East Germany","","","","","","","","","","","","","",""
"1984","inadequately","West Germany","7.98","7","592","1","3","12","16","22","7.5","8.46","0","30","8","10"
"1984","middle vocational","East Germany","","","","","","","","","","","","","",""
"1984","middle vocational","West Germany","11.18","8","3553","1","4","16","26","41","10.87","11.49","0","58","7","8"
"1984","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1984","vocational + Abi","West Germany","8.61","5","212","1","3","12","24","36","7.5","9.72","0","38","5","7"
"1985","general elemantary","East Germany","","","","","","","","","","","","","",""
"1985","general elemantary","West Germany","8.88","5","1442","1","2","13","22","37","8.45","9.31","0","67","5","6"
"1985","higher education","East Germany","","","","","","","","","","","","","",""
"1985","higher education","West Germany","10.89","8","566","1","3","17","25","35","10.14","11.64","0","39","6","9"
"1985","higher vocational","East Germany","","","","","","","","","","","","","",""
"1985","higher vocational","West Germany","12.57","9","403","1","4","19","30","43","11.52","13.62","0","58","7","10"
"1985","in school","East Germany","","","","","","","","","","","","","",""
"1985","in school","West Germany","","","","","","","","","","","","","",""
"1985","inadequately","East Germany","","","","","","","","","","","","","",""
"1985","inadequately","West Germany","8.7","8","464","1","3","13","16","23","8.17","9.23","0","29","9","11"
"1985","middle vocational","East Germany","","","","","","","","","","","","","",""
"1985","middle vocational","West Germany","10.87","8","3157","1","3","16","25","40","10.55","11.19","0","49","7","8"
"1985","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1985","vocational + Abi","West Germany","9.07","5.71","174","1","3","12","24","39","7.83","10.31","0","39","5","8"
"1986","general elemantary","East Germany","","","","","","","","","","","","","",""
"1986","general elemantary","West Germany","2.3","1","226","0","1","1","6","25","1.76","2.84","0","27","1","1"
"1986","higher education","East Germany","","","","","","","","","","","","","",""
"1986","higher education","West Germany","3.33","1","97","0","1","4","13","22","2.24","4.42","0","22","1","1"
"1986","higher vocational","East Germany","","","","","","","","","","","","","",""
"1986","higher vocational","West Germany","6.52","4","46","0","1","8","15","32","4.11","8.93","0","32","1","6"
"1986","in school","East Germany","","","","","","","","","","","","","",""
"1986","in school","West Germany","","","","","","","","","","","","","",""
"1986","inadequately","East Germany","","","","","","","","","","","","","",""
"1986","inadequately","West Germany","2.74","1","31","0","1","1","12","23","0.78","4.7","0","23","1","1"
"1986","middle vocational","East Germany","","","","","","","","","","","","","",""
"1986","middle vocational","West Germany","3.55","1","463","0","1","3","12","28","3","4.1","0","44","1","1"
