"plb0195_h","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Acclaimed","1984","in school","West Germany","","","",""
"Acclaimed","1984","in school","East Germany","","","",""
"Acclaimed","1984","inadequately","West Germany","18","","",""
"Acclaimed","1984","inadequately","East Germany","","","",""
"Acclaimed","1984","general elemantary","West Germany","182","0.270243061852015","0.239829132492062","0.300656991211968"
"Acclaimed","1984","general elemantary","East Germany","","","",""
"Acclaimed","1984","middle vocational","West Germany","676","0.309338320388342","0.290666167120952","0.328010473655731"
"Acclaimed","1984","middle vocational","East Germany","","","",""
"Acclaimed","1984","vocational + Abi","West Germany","37","0.317837495127774","0.240149299474624","0.395525690780925"
"Acclaimed","1984","vocational + Abi","East Germany","","","",""
"Acclaimed","1984","higher vocational","West Germany","107","0.30739844021705","0.258989236395647","0.355807644038453"
"Acclaimed","1984","higher vocational","East Germany","","","",""
"Acclaimed","1984","higher education","West Germany","61","0.152747551743931","0.118705714563505","0.186789388924356"
"Acclaimed","1984","higher education","East Germany","","","",""
"Partly, partly","1984","in school","West Germany","","","",""
"Partly, partly","1984","in school","East Germany","","","",""
"Partly, partly","1984","inadequately","West Germany","19","","",""
"Partly, partly","1984","inadequately","East Germany","","","",""
"Partly, partly","1984","general elemantary","West Germany","61","0.0885321951948731","0.0690773659632537","0.107987024426492"
"Partly, partly","1984","general elemantary","East Germany","","","",""
"Partly, partly","1984","middle vocational","West Germany","257","0.112068036802281","0.0993249222056134","0.124811151398949"
"Partly, partly","1984","middle vocational","East Germany","","","",""
"Partly, partly","1984","vocational + Abi","West Germany","13","","",""
"Partly, partly","1984","vocational + Abi","East Germany","","","",""
"Partly, partly","1984","higher vocational","West Germany","52","0.142557989024436","0.105877633461079","0.179238344587793"
"Partly, partly","1984","higher vocational","East Germany","","","",""
"Partly, partly","1984","higher education","West Germany","60","0.118975405789504","0.0883387005382329","0.149612111040775"
"Partly, partly","1984","higher education","East Germany","","","",""
"Paid","1984","in school","West Germany","","","",""
"Paid","1984","in school","East Germany","","","",""
"Paid","1984","inadequately","West Germany","214","0.766852240741707","0.715942999716543","0.817761481766871"
"Paid","1984","inadequately","East Germany","","","",""
"Paid","1984","general elemantary","West Germany","450","0.45551375427077","0.42140621840964","0.489621290131901"
"Paid","1984","general elemantary","East Germany","","","",""
"Paid","1984","middle vocational","West Germany","999","0.388363892356581","0.368675473401367","0.408052311311795"
"Paid","1984","middle vocational","East Germany","","","",""
"Paid","1984","vocational + Abi","West Germany","48","0.245755505545796","0.173923788112839","0.317587222978752"
"Paid","1984","vocational + Abi","East Germany","","","",""
"Paid","1984","higher vocational","West Germany","82","0.229038987754603","0.184952419575352","0.273125555933855"
"Paid","1984","higher vocational","East Germany","","","",""
"Paid","1984","higher education","West Germany","69","0.141148906530292","0.108201810600144","0.17409600246044"
"Paid","1984","higher education","East Germany","","","",""
"Not paid","1984","in school","West Germany","1","","",""
"Not paid","1984","in school","East Germany","","","",""
"Not paid","1984","inadequately","West Germany","14","","",""
"Not paid","1984","inadequately","East Germany","","","",""
"Not paid","1984","general elemantary","West Germany","126","0.185710988682342","0.15907834809497","0.212343629269713"
"Not paid","1984","general elemantary","East Germany","","","",""
"Not paid","1984","middle vocational","West Germany","422","0.190229750452796","0.174374796342365","0.206084704563228"
"Not paid","1984","middle vocational","East Germany","","","",""
"Not paid","1984","vocational + Abi","West Germany","40","0.35687715316312","0.276946218790686","0.436808087535554"
"Not paid","1984","vocational + Abi","East Germany","","","",""
"Not paid","1984","higher vocational","West Germany","108","0.32100458300391","0.272023947517972","0.369985218489849"
"Not paid","1984","higher vocational","East Germany","","","",""
"Not paid","1984","higher education","West Germany","239","0.587128135936273","0.540538047440448","0.633718224432098"
"Not paid","1984","higher education","East Germany","","","",""
"Acclaimed","1985","in school","West Germany","","","",""
"Acclaimed","1985","in school","East Germany","","","",""
"Acclaimed","1985","inadequately","West Germany","13","","",""
"Acclaimed","1985","inadequately","East Germany","","","",""
"Acclaimed","1985","general elemantary","West Germany","147","0.262261466126638","0.228979781002365","0.29554315125091"
"Acclaimed","1985","general elemantary","East Germany","","","",""
"Acclaimed","1985","middle vocational","West Germany","559","0.292967150934057","0.273168785697641","0.312765516170474"
"Acclaimed","1985","middle vocational","East Germany","","","",""
"Acclaimed","1985","vocational + Abi","West Germany","22","","",""
"Acclaimed","1985","vocational + Abi","East Germany","","","",""
"Acclaimed","1985","higher vocational","West Germany","92","0.315615099764424","0.263626514529497","0.367603684999351"
"Acclaimed","1985","higher vocational","East Germany","","","",""
"Acclaimed","1985","higher education","West Germany","67","0.171319336822995","0.135111863409339","0.207526810236651"
"Acclaimed","1985","higher education","East Germany","","","",""
"Partly, partly","1985","in school","West Germany","","","",""
"Partly, partly","1985","in school","East Germany","","","",""
"Partly, partly","1985","inadequately","West Germany","11","","",""
"Partly, partly","1985","inadequately","East Germany","","","",""
"Partly, partly","1985","general elemantary","West Germany","64","0.1105693653287","0.08684141190505","0.134297318752349"
"Partly, partly","1985","general elemantary","East Germany","","","",""
"Partly, partly","1985","middle vocational","West Germany","224","0.114778205522846","0.100912057364265","0.128644353681426"
"Partly, partly","1985","middle vocational","East Germany","","","",""
"Partly, partly","1985","vocational + Abi","West Germany","8","","",""
"Partly, partly","1985","vocational + Abi","East Germany","","","",""
"Partly, partly","1985","higher vocational","West Germany","42","0.130566993578759","0.0928780757984172","0.1682559113591"
"Partly, partly","1985","higher vocational","East Germany","","","",""
"Partly, partly","1985","higher education","West Germany","54","0.126796032698468","0.0948209181925223","0.158771147204414"
"Partly, partly","1985","higher education","East Germany","","","",""
"Paid","1985","in school","West Germany","","","",""
"Paid","1985","in school","East Germany","","","",""
"Paid","1985","inadequately","West Germany","134","0.712741716530623","0.644723381000234","0.780760052061011"
"Paid","1985","inadequately","East Germany","","","",""
"Paid","1985","general elemantary","West Germany","370","0.462564917043282","0.424839314674171","0.500290519412392"
"Paid","1985","general elemantary","East Germany","","","",""
"Paid","1985","middle vocational","West Germany","816","0.366533430874059","0.345572106525537","0.38749475522258"
"Paid","1985","middle vocational","East Germany","","","",""
"Paid","1985","vocational + Abi","West Germany","42","0.316962948045445","0.226665726877235","0.407260169213655"
"Paid","1985","vocational + Abi","East Germany","","","",""
"Paid","1985","higher vocational","West Germany","65","0.191549617169047","0.147530002866945","0.235569231471149"
"Paid","1985","higher vocational","East Germany","","","",""
"Paid","1985","higher education","West Germany","52","0.107547801201374","0.0777767153225364","0.137318887080212"
"Paid","1985","higher education","East Germany","","","",""
"Not paid","1985","in school","West Germany","1","","",""
"Not paid","1985","in school","East Germany","","","",""
"Not paid","1985","inadequately","West Germany","12","","",""
"Not paid","1985","inadequately","East Germany","","","",""
"Not paid","1985","general elemantary","West Germany","90","0.164604251501381","0.136546459884798","0.192662043117964"
"Not paid","1985","general elemantary","East Germany","","","",""
"Not paid","1985","middle vocational","West Germany","431","0.225721212669038","0.207535306748098","0.243907118589978"
"Not paid","1985","middle vocational","East Germany","","","",""
"Not paid","1985","vocational + Abi","West Germany","30","0.373374412155892","0.279504946954342","0.467243877357441"
"Not paid","1985","vocational + Abi","East Germany","","","",""
"Not paid","1985","higher vocational","West Germany","108","0.36226828948777","0.308501628140391","0.416034950835149"
"Not paid","1985","higher vocational","East Germany","","","",""
"Not paid","1985","higher education","West Germany","243","0.594336829277163","0.547152201039659","0.641521457514667"
"Not paid","1985","higher education","East Germany","","","",""
"Acclaimed","1986","in school","West Germany","","","",""
"Acclaimed","1986","in school","East Germany","","","",""
"Acclaimed","1986","inadequately","West Germany","20","","",""
"Acclaimed","1986","inadequately","East Germany","","","",""
"Acclaimed","1986","general elemantary","West Germany","148","0.277922549280483","0.243771728568244","0.312073369992721"
"Acclaimed","1986","general elemantary","East Germany","","","",""
"Acclaimed","1986","middle vocational","West Germany","605","0.332365229271879","0.311430586558923","0.353299871984834"
"Acclaimed","1986","middle vocational","East Germany","","","",""
"Acclaimed","1986","vocational + Abi","West Germany","25","","",""
"Acclaimed","1986","vocational + Abi","East Germany","","","",""
"Acclaimed","1986","higher vocational","West Germany","85","0.353205748605361","0.294193144722655","0.412218352488068"
"Acclaimed","1986","higher vocational","East Germany","","","",""
"Acclaimed","1986","higher education","West Germany","77","0.213450285511984","0.170827152103414","0.256073418920555"
"Acclaimed","1986","higher education","East Germany","","","",""
"Partly, partly","1986","in school","West Germany","","","",""
"Partly, partly","1986","in school","East Germany","","","",""
"Partly, partly","1986","inadequately","West Germany","13","","",""
"Partly, partly","1986","inadequately","East Germany","","","",""
