"ple0053","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","West Germany","729","0.123826313726251","0.115573359438513","0.132079268013988"
"Yes","1984","lower secondary degree","East Germany","","","",""
"Yes","1984","secondary school degree","West Germany","201","0.102699297841756","0.0892360540410343","0.116162541642478"
"Yes","1984","secondary school degree","East Germany","","","",""
"Yes","1984","college entrance qualification","West Germany","100","0.0788049430687041","0.0641133340055345","0.0934965521318736"
"Yes","1984","college entrance qualification","East Germany","","","",""
"Yes","1984","Other degree","West Germany","179","0.131986181264199","0.114558426114579","0.149413936413819"
"Yes","1984","Other degree","East Germany","","","",""
"Yes","1984","no degree/no degree yet","West Germany","154","0.087230761551032","0.0719096169013919","0.102551906200672"
"Yes","1984","no degree/no degree yet","East Germany","","","",""
"No","1984","lower secondary degree","West Germany","5390","0.876173686273749","0.867920731986012","0.884426640561487"
"No","1984","lower secondary degree","East Germany","","","",""
"No","1984","secondary school degree","West Germany","1752","0.897300702158244","0.883837458357522","0.910763945958966"
"No","1984","secondary school degree","East Germany","","","",""
"No","1984","college entrance qualification","West Germany","1192","0.921195056931296","0.906503447868126","0.935886665994465"
"No","1984","college entrance qualification","East Germany","","","",""
"No","1984","Other degree","West Germany","1270","0.868013818735801","0.85058606358618","0.885441573885421"
"No","1984","Other degree","East Germany","","","",""
"No","1984","no degree/no degree yet","West Germany","1149","0.912769238448968","0.897448093799328","0.928090383098608"
"No","1984","no degree/no degree yet","East Germany","","","",""
"Yes","1985","lower secondary degree","West Germany","634","0.117645672211856","0.109111419140019","0.126179925283692"
"Yes","1985","lower secondary degree","East Germany","","","",""
"Yes","1985","secondary school degree","West Germany","205","0.111874404412517","0.0976333927248154","0.126115416100219"
"Yes","1985","secondary school degree","East Germany","","","",""
"Yes","1985","college entrance qualification","West Germany","125","0.0970558909944814","0.0805321667897808","0.113579615199182"
"Yes","1985","college entrance qualification","East Germany","","","",""
"Yes","1985","Other degree","West Germany","154","0.136233312010133","0.117031476769287","0.155435147250978"
"Yes","1985","Other degree","East Germany","","","",""
"Yes","1985","no degree/no degree yet","West Germany","132","0.109803537483586","0.0913361471159865","0.128270927851185"
"Yes","1985","no degree/no degree yet","East Germany","","","",""
"No","1985","lower secondary degree","West Germany","4841","0.882354327788144","0.873820074716308","0.890888580859981"
"No","1985","lower secondary degree","East Germany","","","",""
"No","1985","secondary school degree","West Germany","1677","0.888125595587483","0.873884583899782","0.902366607275185"
"No","1985","secondary school degree","East Germany","","","",""
"No","1985","college entrance qualification","West Germany","1108","0.902944109005519","0.886420384800818","0.919467833210219"
"No","1985","college entrance qualification","East Germany","","","",""
"No","1985","Other degree","West Germany","1072","0.863766687989867","0.844564852749022","0.882968523230712"
"No","1985","Other degree","East Germany","","","",""
"No","1985","no degree/no degree yet","West Germany","969","0.890196462516414","0.871729072148815","0.908663852884013"
"No","1985","no degree/no degree yet","East Germany","","","",""
"Yes","1986","lower secondary degree","West Germany","636","0.127352346362431","0.118266994093117","0.136437698631745"
"Yes","1986","lower secondary degree","East Germany","","","",""
"Yes","1986","secondary school degree","West Germany","222","0.131372176151407","0.115924538347297","0.146819813955517"
"Yes","1986","secondary school degree","East Germany","","","",""
"Yes","1986","college entrance qualification","West Germany","119","0.0974224149312681","0.0810231270917645","0.113821702770772"
"Yes","1986","college entrance qualification","East Germany","","","",""
"Yes","1986","Other degree","West Germany","166","0.127501788180991","0.108373897535358","0.146629678826624"
"Yes","1986","Other degree","East Germany","","","",""
"Yes","1986","no degree/no degree yet","West Germany","138","0.121268362699417","0.101380880474206","0.141155844924629"
"Yes","1986","no degree/no degree yet","East Germany","","","",""
"No","1986","lower secondary degree","West Germany","4536","0.872647653637569","0.863562301368255","0.881733005906883"
"No","1986","lower secondary degree","East Germany","","","",""
"No","1986","secondary school degree","West Germany","1615","0.868627823848593","0.853180186044483","0.884075461652703"
"No","1986","secondary school degree","East Germany","","","",""
"No","1986","college entrance qualification","West Germany","1137","0.902577585068732","0.886178297229228","0.918976872908236"
"No","1986","college entrance qualification","East Germany","","","",""
"No","1986","Other degree","West Germany","1002","0.872498211819009","0.853370321173376","0.891626102464642"
"No","1986","Other degree","East Germany","","","",""
"No","1986","no degree/no degree yet","West Germany","897","0.878731637300583","0.858844155075371","0.898619119525794"
"No","1986","no degree/no degree yet","East Germany","","","",""
"Yes","1987","lower secondary degree","West Germany","655","0.135004413526717","0.125626605062484","0.14438222199095"
"Yes","1987","lower secondary degree","East Germany","","","",""
"Yes","1987","secondary school degree","West Germany","200","0.112543023213929","0.0980396635618521","0.127046382866007"
"Yes","1987","secondary school degree","East Germany","","","",""
"Yes","1987","college entrance qualification","West Germany","122","0.10690104735183","0.0896332753624067","0.124168819341254"
"Yes","1987","college entrance qualification","East Germany","","","",""
"Yes","1987","Other degree","West Germany","131","0.126684429228744","0.107493658901608","0.145875199555881"
"Yes","1987","Other degree","East Germany","","","",""
"Yes","1987","no degree/no degree yet","West Germany","113","0.103843308175506","0.0850018465826626","0.122684769768349"
"Yes","1987","no degree/no degree yet","East Germany","","","",""
"No","1987","lower secondary degree","West Germany","4446","0.864995586473283","0.85561777800905","0.874373394937516"
"No","1987","lower secondary degree","East Germany","","","",""
"No","1987","secondary school degree","West Germany","1624","0.88745697678607","0.872953617133993","0.901960336438148"
"No","1987","secondary school degree","East Germany","","","",""
