"year","bula_h","sex","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-W?rttemberg","Female","5.91","6","1308","5","5","7","7","7","5.85","5.97","1","7","6","6"
"2005","Baden-W?rttemberg","Male","5.51","6","1212","4","5","6","7","7","5.44","5.58","1","7","6","6"
"2005","Bavaria","Female","5.87","6","1535","4","5","7","7","7","5.82","5.92","1","7","6","6"
"2005","Bavaria","Male","5.59","6","1368","4","5","6","7","7","5.53","5.65","1","7","6","6"
"2005","Berlin","Female","5.94","6","395","5","5","7","7","7","5.83","6.05","1","7","6","6"
"2005","Berlin","Male","5.65","6","363","4","5","7","7","7","5.52","5.78","1","7","6","6"
"2005","Brandenburg","Female","6.03","6","463","5","6","7","7","7","5.94","6.12","1","7","6","6"
"2005","Brandenburg","Male","5.67","6","424","4","5","7","7","7","5.56","5.78","1","7","6","6"
"2005","Bremen","Female","6.21","7","83","5","6","7","7","7","5.97","6.45","1","7","6","7"
"2005","Bremen","Male","5.5","6","63","3","4","7","7","7","5.19","5.81","3","7","6","7"
"2005","Hamburg","Female","6.16","6","149","5","6","7","7","7","6","6.32","2","7","6","6"
"2005","Hamburg","Male","5.95","6","142","4","5","7","7","7","5.78","6.12","3","7","6","6"
"2005","Hesse","Female","5.97","6","709","5","5","7","7","7","5.9","6.04","1","7","6","6"
"2005","Hesse","Male","5.66","6","656","4","5","7","7","7","5.57","5.75","1","7","6","6"
"2005","Lower Saxony","Female","6.03","6","928","5","5","7","7","7","5.96","6.1","1","7","6","6"
"2005","Lower Saxony","Male","5.75","6","861","4","5","7","7","7","5.68","5.82","1","7","6","6"
"2005","Mecklenburg-Western Pomerania","Female","6.21","6","273","5","6","7","7","7","6.1","6.32","1","7","6","6"
"2005","Mecklenburg-Western Pomerania","Male","5.61","6","231","4","5","6","7","7","5.48","5.74","2","7","6","6"
"2005","North Rhine-Westphalia","Female","5.96","6","2254","5","5","7","7","7","5.92","6","1","7","6","6"
"2005","North Rhine-Westphalia","Male","5.6","6","2103","4","5","6","7","7","5.55","5.65","1","7","6","6"
"2005","Rhineland-Palatinate,Saarland","Female","5.86","6","659","4","5","7","7","7","5.78","5.94","1","7","6","6"
"2005","Rhineland-Palatinate,Saarland","Male","5.52","6","576","4","5","6","7","7","5.43","5.61","1","7","6","6"
"2005","Saxony","Female","6.07","6","776","5","6","7","7","7","6","6.14","1","7","6","6"
"2005","Saxony","Male","5.68","6","747","4","5","6","7","7","5.6","5.76","1","7","6","6"
"2005","Saxony-Anhalt","Female","6.06","6","475","5","6","7","7","7","5.97","6.15","1","7","6","6"
"2005","Saxony-Anhalt","Male","5.62","6","420","4","5","6","7","7","5.52","5.72","3","7","6","6"
"2005","Schleswig-Holstein","Female","5.96","6","346","4","6","7","7","7","5.85","6.07","1","7","6","6"
"2005","Schleswig-Holstein","Male","5.64","6","303","4","5","6","7","7","5.52","5.76","2","7","6","6"
"2005","Thuringia","Female","5.98","6","461","5","5","7","7","7","5.88","6.08","1","7","6","6"
"2005","Thuringia","Male","5.61","6","430","4","5","6","7","7","5.51","5.71","1","7","5","6"
"2006","Baden-W?rttemberg","Female","","","","","","","","","","","","","",""
"2006","Baden-W?rttemberg","Male","","","","","","","","","","","","","",""
"2006","Bavaria","Female","","","","","","","","","","","","","",""
"2006","Bavaria","Male","","","","","","","","","","","","","",""
"2006","Berlin","Female","","","","","","","","","","","","","",""
"2006","Berlin","Male","","","","","","","","","","","","","",""
"2006","Brandenburg","Female","","","","","","","","","","","","","",""
"2006","Brandenburg","Male","","","","","","","","","","","","","",""
"2006","Bremen","Female","","","","","","","","","","","","","",""
"2006","Bremen","Male","","","","","","","","","","","","","",""
"2006","Hamburg","Female","","","","","","","","","","","","","",""
"2006","Hamburg","Male","","","","","","","","","","","","","",""
"2006","Hesse","Female","","","","","","","","","","","","","",""
"2006","Hesse","Male","","","","","","","","","","","","","",""
"2006","Lower Saxony","Female","","","","","","","","","","","","","",""
"2006","Lower Saxony","Male","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Female","","","","","","","","","","","","","",""
"2006","Mecklenburg-Western Pomerania","Male","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Female","","","","","","","","","","","","","",""
"2006","North Rhine-Westphalia","Male","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Female","","","","","","","","","","","","","",""
"2006","Rhineland-Palatinate,Saarland","Male","","","","","","","","","","","","","",""
"2006","Saxony","Female","","","","","","","","","","","","","",""
"2006","Saxony","Male","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Female","","","","","","","","","","","","","",""
"2006","Saxony-Anhalt","Male","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Female","","","","","","","","","","","","","",""
"2006","Schleswig-Holstein","Male","","","","","","","","","","","","","",""
"2006","Thuringia","Female","","","","","","","","","","","","","",""
"2006","Thuringia","Male","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Female","","","","","","","","","","","","","",""
"2007","Baden-W?rttemberg","Male","","","","","","","","","","","","","",""
"2007","Bavaria","Female","","","","","","","","","","","","","",""
"2007","Bavaria","Male","","","","","","","","","","","","","",""
"2007","Berlin","Female","","","","","","","","","","","","","",""
"2007","Berlin","Male","","","","","","","","","","","","","",""
"2007","Brandenburg","Female","","","","","","","","","","","","","",""
"2007","Brandenburg","Male","","","","","","","","","","","","","",""
"2007","Bremen","Female","","","","","","","","","","","","","",""
"2007","Bremen","Male","","","","","","","","","","","","","",""
"2007","Hamburg","Female","","","","","","","","","","","","","",""
"2007","Hamburg","Male","","","","","","","","","","","","","",""
"2007","Hesse","Female","","","","","","","","","","","","","",""
"2007","Hesse","Male","","","","","","","","","","","","","",""
"2007","Lower Saxony","Female","","","","","","","","","","","","","",""
"2007","Lower Saxony","Male","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Female","","","","","","","","","","","","","",""
"2007","Mecklenburg-Western Pomerania","Male","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Female","","","","","","","","","","","","","",""
"2007","North Rhine-Westphalia","Male","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Female","","","","","","","","","","","","","",""
"2007","Rhineland-Palatinate,Saarland","Male","","","","","","","","","","","","","",""
"2007","Saxony","Female","","","","","","","","","","","","","",""
"2007","Saxony","Male","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Female","","","","","","","","","","","","","",""
"2007","Saxony-Anhalt","Male","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Female","","","","","","","","","","","","","",""
"2007","Schleswig-Holstein","Male","","","","","","","","","","","","","",""
"2007","Thuringia","Female","","","","","","","","","","","","","",""
"2007","Thuringia","Male","","","","","","","","","","","","","",""
"2008","Baden-W?rttemberg","Female","","","","","","","","","","","","","",""
"2008","Baden-W?rttemberg","Male","","","","","","","","","","","","","",""
"2008","Bavaria","Female","","","","","","","","","","","","","",""
"2008","Bavaria","Male","","","","","","","","","","","","","",""
"2008","Berlin","Female","","","","","","","","","","","","","",""
"2008","Berlin","Male","","","","","","","","","","","","","",""
"2008","Brandenburg","Female","","","","","","","","","","","","","",""
"2008","Brandenburg","Male","","","","","","","","","","","","","",""
