"hgowner","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","Not Employed","(Married) couple without C. ","640","0.50896820962222","0.48081187272549","0.53712454651895","2"
"Main tenant","1984","Not Employed","1-pers.-HH","473","0.711744479825","0.677109393337653","0.746379566312348","2"
"Main tenant","1984","Not Employed","Single parent ","145","0.575083716892433","0.51105901392468","0.639108419860186","2"
"Main tenant","1984","Not Employed","Couple + C. LE 16 ","610","0.571580112566599","0.539087651651544","0.604072573481654","2"
"Main tenant","1984","Not Employed","Couple + C. GT 16 ","294","0.325594193094354","0.290680642314626","0.360507743874082","2"
"Main tenant","1984","Not Employed","Couple + C. LE and GT 16","324","0.313985157951871","0.277003045113518","0.350967270790225","2"
"Main tenant","1984","Employed","1-pers.-HH","530","0.781632822970817","0.750535119495822","0.812730526445812","2"
"Main tenant","1984","Employed","Single parent ","242","0.598642653008507","0.547289926609537","0.649995379407478","2"
"Main tenant","1984","Employed","(Married) couple without C. ","1014","0.609804982365771","0.585070140607467","0.634539824124076","2"
"Main tenant","1984","Employed","Couple + C. LE 16 ","1464","0.566494424538633","0.545744235102252","0.587244613975014","2"
"Main tenant","1984","Employed","Couple + C. GT 16 ","621","0.357552329238222","0.33150890245388","0.383595756022564","2"
"Main tenant","1984","Employed","Couple + C. LE and GT 16","597","0.330980414240684","0.303359934285963","0.358600894195405","2"
"Owner","1984","Not Employed","1-pers.-HH","162","0.261193082254045","0.227602949669219","0.294783214838872","1"
"Owner","1984","Not Employed","(Married) couple without C. ","554","0.476529951712418","0.44840012611363","0.504659777311206","1"
"Owner","1984","Not Employed","Single parent ","80","0.402107566702134","0.33860182374515","0.465613309659118","1"
"Owner","1984","Not Employed","Couple + C. LE 16 ","271","0.417783934500386","0.385400179936956","0.450167689063816","1"
"Owner","1984","Not Employed","Couple + C. GT 16 ","394","0.668716809677131","0.633648416761154","0.703785202593109","1"
"Owner","1984","Not Employed","Couple + C. LE and GT 16","274","0.67870966808929","0.641499532706365","0.715919803472215","1"
"Owner","1984","Employed","1-pers.-HH","94","0.174924402922649","0.146328401147143","0.203520404698155","1"
"Owner","1984","Employed","(Married) couple without C. ","465","0.384728897916349","0.360058085261227","0.409399710571472","1"
"Owner","1984","Employed","Single parent ","105","0.388499479840798","0.337436317744179","0.439562641937418","1"
"Owner","1984","Employed","Couple + C. LE 16 ","695","0.42044552837832","0.39977607927218","0.441114977484459","1"
"Owner","1984","Employed","Couple + C. GT 16 ","674","0.637502530684575","0.611380743386636","0.663624317982514","1"
"Owner","1984","Employed","Couple + C. LE and GT 16","509","0.666155284635892","0.638474993792744","0.693835575479039","1"
"Resident or shared accommodation","1984","Not Employed","Couple + C. LE and GT 16","","","","","5"
"Resident or shared accommodation","1984","Not Employed","Couple + C. GT 16 ","","","","","5"
"Resident or shared accommodation","1984","Not Employed","1-pers.-HH","","","","","5"
"Resident or shared accommodation","1984","Employed","1-pers.-HH","","","","","5"
"Resident or shared accommodation","1984","Not Employed","(Married) couple without C. ","","","","","5"
"Resident or shared accommodation","1984","Not Employed","Single parent ","","","","","5"
"Resident or shared accommodation","1984","Employed","(Married) couple without C. ","","","","","5"
"Resident or shared accommodation","1984","Not Employed","Couple + C. LE 16 ","","","","","5"
"Resident or shared accommodation","1984","Employed","Single parent ","","","","","5"
"Resident or shared accommodation","1984","Employed","Couple + C. LE 16 ","","","","","5"
"Resident or shared accommodation","1984","Employed","Couple + C. GT 16 ","","","","","5"
"Resident or shared accommodation","1984","Employed","Couple + C. LE and GT 16","","","","","5"
"Subtenant","1984","Not Employed","(Married) couple without C. ","9","","","","3"
"Subtenant","1984","Not Employed","Single parent ","4","","","","3"
"Subtenant","1984","Not Employed","Couple + C. LE 16 ","7","","","","3"
"Subtenant","1984","Not Employed","Couple + C. GT 16 ","2","","","","3"
"Subtenant","1984","Not Employed","1-pers.-HH","20","","","","3"
"Subtenant","1984","Not Employed","Couple + C. LE and GT 16","5","","","","3"
"Subtenant","1984","Employed","1-pers.-HH","50","0.0420815219774578","0.026968781001911","0.0571942629530046","3"
"Subtenant","1984","Employed","(Married) couple without C. ","15","","","","3"
"Subtenant","1984","Employed","Couple + C. LE 16 ","25","","","","3"
"Subtenant","1984","Employed","Single parent ","3","","","","3"
"Subtenant","1984","Employed","Couple + C. GT 16 ","4","","","","3"
"Subtenant","1984","Employed","Couple + C. LE and GT 16","7","","","","3"
"Tenant","1984","Not Employed","(Married) couple without C. ","8","","","","4"
"Tenant","1984","Not Employed","Single parent ","","","","","4"
"Tenant","1984","Not Employed","1-pers.-HH","2","","","","4"
"Tenant","1984","Not Employed","Couple + C. LE 16 ","3","","","","4"
"Tenant","1984","Not Employed","Couple + C. GT 16 ","2","","","","4"
"Tenant","1984","Employed","Couple + C. LE and GT 16","2","","","","4"
"Tenant","1984","Not Employed","Couple + C. LE and GT 16","2","","","","4"
"Tenant","1984","Employed","1-pers.-HH","4","","","","4"
