"hgowner","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Main tenant","1984","Full Time","East Germany","","","","","2"
"Main tenant","1984","Full Time","West Germany","3574","0.524671688590296","0.51168222989581","0.537661147284782","2"
"Main tenant","1984","Part Time","West Germany","1143","0.529960590973975","0.507459368555002","0.552461813392948","2"
"Main tenant","1984","Part Time","East Germany","","","","","2"
"Main tenant","1984","Not Working","West Germany","2646","0.513122838248541","0.498776675367332","0.527469001129749","2"
"Main tenant","1984","Not Working","East Germany","","","","","2"
"Owner","1984","Full Time","West Germany","2013","0.463783686062291","0.450812546194868","0.476754825929715","1"
"Owner","1984","Full Time","East Germany","","","","","1"
"Owner","1984","Part Time","West Germany","717","0.456781355559992","0.434323995238861","0.479238715881122","1"
"Owner","1984","Part Time","East Germany","","","","","1"
"Owner","1984","Not Working","West Germany","1953","0.472413609325513","0.458084362105554","0.486742856545471","1"
"Owner","1984","Not Working","East Germany","","","","","1"
"Resident or shared accommodation","1984","Full Time","West Germany","","","","","5"
"Resident or shared accommodation","1984","Full Time","East Germany","","","","","5"
"Resident or shared accommodation","1984","Part Time","West Germany","","","","","5"
"Resident or shared accommodation","1984","Not Working","West Germany","","","","","5"
"Resident or shared accommodation","1984","Part Time","East Germany","","","","","5"
"Resident or shared accommodation","1984","Not Working","East Germany","","","","","5"
"Subtenant","1984","Full Time","East Germany","","","","","3"
"Subtenant","1984","Full Time","West Germany","79","0.00990917310762547","0.00733281266126944","0.0124855335539815","3"
"Subtenant","1984","Part Time","East Germany","","","","","3"
"Subtenant","1984","Part Time","West Germany","27","","","","3"
"Subtenant","1984","Not Working","West Germany","47","0.0113099519420575","0.00827483209667853","0.0143450717874365","3"
"Subtenant","1984","Not Working","East Germany","","","","","3"
"Tenant","1984","Full Time","West Germany","12","","","","4"
"Tenant","1984","Full Time","East Germany","","","","","4"
"Tenant","1984","Part Time","West Germany","3","","","","4"
"Tenant","1984","Part Time","East Germany","","","","","4"
"Tenant","1984","Not Working","West Germany","17","","","","4"
"Tenant","1984","Not Working","East Germany","","","","","4"
"Main tenant","1985","Full Time","West Germany","3032","0.519302552908536","0.505434416953517","0.533170688863555","2"
"Main tenant","1985","Part Time","West Germany","1105","0.528023071695402","0.505384632069173","0.550661511321631","2"
"Main tenant","1985","Full Time","East Germany","","","","","2"
"Main tenant","1985","Part Time","East Germany","","","","","2"
"Main tenant","1985","Not Working","West Germany","2368","0.517016043679142","0.501962376183748","0.532069711174537","2"
"Main tenant","1985","Not Working","East Germany","","","","","2"
"Owner","1985","Full Time","West Germany","1875","0.466595529428152","0.452748055176811","0.480443003679493","1"
"Owner","1985","Full Time","East Germany","","","","","1"
"Owner","1985","Part Time","West Germany","741","0.461339536403104","0.438733337588355","0.483945735217852","1"
"Owner","1985","Part Time","East Germany","","","","","1"
"Owner","1985","Not Working","West Germany","1810","0.469808403010847","0.454773495282831","0.484843310738862","1"
"Owner","1985","Not Working","East Germany","","","","","1"
"Resident or shared accommodation","1985","Full Time","West Germany","","","","","5"
"Resident or shared accommodation","1985","Full Time","East Germany","","","","","5"
"Resident or shared accommodation","1985","Part Time","West Germany","","","","","5"
"Resident or shared accommodation","1985","Part Time","East Germany","","","","","5"
"Resident or shared accommodation","1985","Not Working","West Germany","","","","","5"
"Resident or shared accommodation","1985","Not Working","East Germany","","","","","5"
"Subtenant","1985","Full Time","West Germany","79","0.0141019176633119","0.0108290604977235","0.0173747748289003","3"
"Subtenant","1985","Full Time","East Germany","","","","","3"
"Subtenant","1985","Part Time","West Germany","22","","","","3"
"Subtenant","1985","Part Time","East Germany","","","","","3"
"Subtenant","1985","Not Working","West Germany","55","0.0131755533100111","0.00974054068229262","0.0166105659377296","3"
"Subtenant","1985","Not Working","East Germany","","","","","3"
"Tenant","1985","Full Time","West Germany","","","","","4"
"Tenant","1985","Full Time","East Germany","","","","","4"
"Tenant","1985","Part Time","West Germany","","","","","4"
"Tenant","1985","Part Time","East Germany","","","","","4"
"Tenant","1985","Not Working","West Germany","","","","","4"
"Tenant","1985","Not Working","East Germany","","","","","4"
"Main tenant","1986","Full Time","East Germany","","","","","2"
"Main tenant","1986","Full Time","West Germany","2893","0.518706573658103","0.504660623550426","0.53275252376578","2"
"Main tenant","1986","Part Time","East Germany","","","","","2"
"Main tenant","1986","Part Time","West Germany","1080","0.532454997674886","0.509601268197091","0.555308727152681","2"
"Main tenant","1986","Not Working","West Germany","2089","0.506325621354658","0.490720399446493","0.521930843262824","2"
"Main tenant","1986","Not Working","East Germany","","","","","2"
"Owner","1986","Full Time","West Germany","1867","0.464366942286324","0.450346890609813","0.478386993962835","1"
"Owner","1986","Full Time","East Germany","","","","","1"
"Owner","1986","Part Time","West Germany","718","0.451730991732612","0.428935933231478","0.474526050233745","1"
"Owner","1986","Part Time","East Germany","","","","","1"
"Owner","1986","Not Working","West Germany","1789","0.475230463862911","0.459643154803449","0.490817772922372","1"
"Owner","1986","Not Working","East Germany","","","","","1"
"Resident or shared accommodation","1986","Full Time","West Germany","","","","","5"
"Resident or shared accommodation","1986","Full Time","East Germany","","","","","5"
"Resident or shared accommodation","1986","Part Time","West Germany","","","","","5"
"Resident or shared accommodation","1986","Part Time","East Germany","","","","","5"
"Resident or shared accommodation","1986","Not Working","West Germany","","","","","5"
