"plj0047","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","lower secondary degree","West Germany","199","0.482144319804343","0.436281730636197","0.52800690897249"
"Big worries","1992","lower secondary degree","East Germany","","","",""
"Big worries","1992","secondary school degree","West Germany","54","0.536178976814143","0.444231678077495","0.62812627555079"
"Big worries","1992","secondary school degree","East Germany","","","",""
"Big worries","1992","college entrance qualification","West Germany","30","0.447530283039414","0.333465359473192","0.561595206605636"
"Big worries","1992","college entrance qualification","East Germany","","","",""
"Big worries","1992","Other degree","West Germany","322","0.398200950555098","0.366165652838542","0.430236248271655"
"Big worries","1992","Other degree","East Germany","","","",""
"Big worries","1992","no degree/no degree yet","West Germany","228","0.414577410451231","0.375546387346856","0.453608433555606"
"Big worries","1992","no degree/no degree yet","East Germany","","","",""
"Some worries","1992","lower secondary degree","West Germany","192","0.381977433637535","0.337382380112752","0.426572487162317"
"Some worries","1992","lower secondary degree","East Germany","","","",""
"Some worries","1992","secondary school degree","West Germany","35","0.223662715949036","0.146832706188354","0.300492725709718"
"Some worries","1992","secondary school degree","East Germany","","","",""
"Some worries","1992","college entrance qualification","West Germany","37","0.482456146193216","0.367828556526694","0.597083735859737"
"Some worries","1992","college entrance qualification","East Germany","","","",""
"Some worries","1992","Other degree","West Germany","403","0.409953827200509","0.377768172998295","0.442139481402724"
"Some worries","1992","Other degree","East Germany","","","",""
"Some worries","1992","no degree/no degree yet","West Germany","250","0.379162368166083","0.340723197391157","0.417601538941008"
"Some worries","1992","no degree/no degree yet","East Germany","","","",""
"No worries","1992","lower secondary degree","West Germany","65","0.135878246558122","0.104427706620673","0.167328786495571"
"No worries","1992","lower secondary degree","East Germany","","","",""
"No worries","1992","secondary school degree","West Germany","24","","",""
"No worries","1992","secondary school degree","East Germany","","","",""
"No worries","1992","college entrance qualification","West Germany","6","","",""
"No worries","1992","college entrance qualification","East Germany","","","",""
"No worries","1992","Other degree","West Germany","172","0.191845222244392","0.166077582747153","0.217612861741631"
"No worries","1992","Other degree","East Germany","","","",""
"No worries","1992","no degree/no degree yet","West Germany","134","0.206260221382686","0.174203493358694","0.238316949406679"
"No worries","1992","no degree/no degree yet","East Germany","","","",""
"Big worries","1993","lower secondary degree","West Germany","226","0.560940474782344","0.515037058208662","0.606843891356026"
"Big worries","1993","lower secondary degree","East Germany","","","",""
"Big worries","1993","secondary school degree","West Germany","59","0.496282093884165","0.408632263063696","0.583931924704634"
"Big worries","1993","secondary school degree","East Germany","","","",""
"Big worries","1993","college entrance qualification","West Germany","44","0.672266070337129","0.568098606934453","0.776433533739805"
"Big worries","1993","college entrance qualification","East Germany","","","",""
"Big worries","1993","Other degree","West Germany","376","0.454395124393004","0.420981042849134","0.487809205936873"
"Big worries","1993","Other degree","East Germany","","","",""
"Big worries","1993","no degree/no degree yet","West Germany","282","0.503435155860341","0.463226956644085","0.543643355076597"
"Big worries","1993","no degree/no degree yet","East Germany","","","",""
"Some worries","1993","lower secondary degree","West Germany","174","0.344712019599208","0.300750850351751","0.388673188846666"
"Some worries","1993","lower secondary degree","East Germany","","","",""
"Some worries","1993","secondary school degree","West Germany","49","0.306139904515985","0.225344062467844","0.386935746564125"
"Some worries","1993","secondary school degree","East Germany","","","",""
"Some worries","1993","college entrance qualification","West Germany","31","0.27855054576777","0.179065970271175","0.378035121264365"
"Some worries","1993","college entrance qualification","East Germany","","","",""
"Some worries","1993","Other degree","West Germany","378","0.430483047015441","0.397254991288638","0.463711102742244"
"Some worries","1993","Other degree","East Germany","","","",""
"Some worries","1993","no degree/no degree yet","West Germany","237","0.397553144905915","0.358197064786779","0.43690922502505"
"Some worries","1993","no degree/no degree yet","East Germany","","","",""
"No worries","1993","lower secondary degree","West Germany","49","0.0943475056184476","0.0673097321126674","0.121385279124228"
"No worries","1993","lower secondary degree","East Germany","","","",""
"No worries","1993","secondary school degree","West Germany","17","","",""
"No worries","1993","secondary school degree","East Germany","","","",""
"No worries","1993","college entrance qualification","West Germany","3","","",""
"No worries","1993","college entrance qualification","East Germany","","","",""
"No worries","1993","Other degree","West Germany","99","0.115121828591556","0.0937030769028435","0.136540580280268"
"No worries","1993","Other degree","East Germany","","","",""
"No worries","1993","no degree/no degree yet","West Germany","75","0.0990116992337441","0.0749925455269616","0.123030852940527"
"No worries","1993","no degree/no degree yet","East Germany","","","",""
"Big worries","1994","lower secondary degree","West Germany","192","0.494595894209514","0.446837284091022","0.542354504328007"
"Big worries","1994","lower secondary degree","East Germany","","","",""
"Big worries","1994","secondary school degree","West Germany","58","0.53453710034644","0.444154127435844","0.624920073257035"
"Big worries","1994","secondary school degree","East Germany","","","",""
"Big worries","1994","college entrance qualification","West Germany","42","0.589828632157248","0.481365999592567","0.69829126472193"
"Big worries","1994","college entrance qualification","East Germany","","","",""
"Big worries","1994","Other degree","West Germany","345","0.450261970935436","0.415721404536549","0.484802537334323"
"Big worries","1994","Other degree","East Germany","","","",""
"Big worries","1994","no degree/no degree yet","West Germany","257","0.493096709763371","0.451799329657","0.534394089869743"
"Big worries","1994","no degree/no degree yet","East Germany","","","",""
"Some worries","1994","lower secondary degree","West Germany","187","0.416075077204191","0.368991288690238","0.463158865718144"
"Some worries","1994","lower secondary degree","East Germany","","","",""
"Some worries","1994","secondary school degree","West Germany","47","0.338303668785202","0.252572671203101","0.424034666367302"
"Some worries","1994","secondary school degree","East Germany","","","",""
"Some worries","1994","college entrance qualification","West Germany","30","0.348092291878418","0.243047431863038","0.453137151893797"
"Some worries","1994","college entrance qualification","East Germany","","","",""
"Some worries","1994","Other degree","West Germany","340","0.416176142588536","0.381954690028211","0.450397595148862"
"Some worries","1994","Other degree","East Germany","","","",""
"Some worries","1994","no degree/no degree yet","West Germany","243","0.42900671761271","0.388123841639021","0.4698895935864"
"Some worries","1994","no degree/no degree yet","East Germany","","","",""
"No worries","1994","lower secondary degree","West Germany","42","0.0893290285862948","0.0620841990280319","0.116573858144558"
"No worries","1994","lower secondary degree","East Germany","","","",""
"No worries","1994","secondary school degree","West Germany","12","","",""
"No worries","1994","secondary school degree","East Germany","","","",""
"No worries","1994","college entrance qualification","West Germany","7","","",""
"No worries","1994","college entrance qualification","East Germany","","","",""
"No worries","1994","Other degree","West Germany","112","0.133561886476028","0.109944655519182","0.157179117432874"
"No worries","1994","Other degree","East Germany","","","",""
"No worries","1994","no degree/no degree yet","West Germany","63","0.0778965726239182","0.0557583430643173","0.100034802183519"
"No worries","1994","no degree/no degree yet","East Germany","","","",""
"Big worries","1995","lower secondary degree","West Germany","160","0.464376361746935","0.414558779537143","0.514193943956726"
"Big worries","1995","lower secondary degree","East Germany","","","",""
"Big worries","1995","secondary school degree","West Germany","45","0.408768010251298","0.320067830472715","0.497468190029882"
"Big worries","1995","secondary school degree","East Germany","","","",""
"Big worries","1995","college entrance qualification","West Germany","35","0.46390568682051","0.355967128487079","0.571844245153942"
"Big worries","1995","college entrance qualification","East Germany","","","",""
