"plj0047","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Big worries","1992","in school","","","",""
"Big worries","1992","inadequately","195","0.40991407528503","0.36751983443865","0.45230831613141"
"Big worries","1992","general elemantary","327","0.424624846520662","0.390814099536184","0.458435593505141"
"Big worries","1992","middle vocational","238","0.421576856283409","0.383526637177488","0.45962707538933"
"Big worries","1992","vocational + Abi","36","0.383612258830366","0.282587848849735","0.484636668810998"
"Big worries","1992","higher vocational","","","",""
"Big worries","1992","higher education","","","",""
"Some worries","1992","in school","","","",""
"Some worries","1992","inadequately","209","0.387654377755188","0.345656874295372","0.429651881215003"
"Some worries","1992","general elemantary","354","0.412794137016305","0.379116744076198","0.446471529956411"
"Some worries","1992","middle vocational","281","0.372636891300366","0.335380707864571","0.409893074736161"
"Some worries","1992","vocational + Abi","41","0.405267171824833","0.30327079230507","0.507263551344597"
"Some worries","1992","higher vocational","","","",""
"Some worries","1992","higher education","","","",""
"No worries","1992","in school","","","",""
"No worries","1992","inadequately","113","0.202431546959782","0.167795692964061","0.237067400955503"
"No worries","1992","general elemantary","140","0.162581016463033","0.137341395385757","0.187820637540309"
"No worries","1992","middle vocational","128","0.205786252416225","0.174635192368291","0.236937312464159"
"No worries","1992","vocational + Abi","","","",""
"No worries","1992","higher vocational","","","",""
"No worries","1992","higher education","","","",""
"Big worries","1993","in school","","","",""
"Big worries","1993","inadequately","239","0.515870033540661","0.472196811716289","0.559543255365032"
"Big worries","1993","general elemantary","386","0.526266934656063","0.491536698924546","0.56099717038758"
"Big worries","1993","middle vocational","284","0.455340375586854","0.416907851721036","0.493772899452673"
"Big worries","1993","vocational + Abi","42","0.422542507109374","0.318144050489652","0.526940963729095"
"Big worries","1993","higher vocational","","","",""
"Big worries","1993","higher education","","","",""
"Some worries","1993","in school","","","",""
"Some worries","1993","inadequately","201","0.380011714284642","0.337593309448815","0.422430119120468"
"Some worries","1993","general elemantary","316","0.362449272262541","0.329012924869698","0.395885619655383"
"Some worries","1993","middle vocational","281","0.416989609127328","0.378938353020998","0.455040865233658"
"Some worries","1993","vocational + Abi","39","0.531310031327026","0.425843247527667","0.636776815126384"
"Some worries","1993","higher vocational","","","",""
"Some worries","1993","higher education","","","",""
"No worries","1993","in school","","","",""
"No worries","1993","inadequately","63","0.104118252174698","0.0774279876957857","0.13080851665361"
"No worries","1993","general elemantary","92","0.111283793081397","0.0894094333517835","0.13315815281101"
"No worries","1993","middle vocational","80","0.127670015285817","0.101915517277156","0.153424513294478"
"No worries","1993","vocational + Abi","","","",""
"No worries","1993","higher vocational","","","",""
"No worries","1993","higher education","","","",""
"Big worries","1994","in school","","","",""
"Big worries","1994","inadequately","210","0.467420319202993","0.422313183285432","0.512527455120554"
"Big worries","1994","general elemantary","348","0.525255162820959","0.4888053125347","0.561705013107218"
"Big worries","1994","middle vocational","265","0.448577419002037","0.409648235240921","0.487506602763153"
"Big worries","1994","vocational + Abi","40","0.402386383317498","0.29624785906054","0.508524907574456"
"Big worries","1994","higher vocational","","","",""
"Big worries","1994","higher education","","","",""
"Some worries","1994","in school","","","",""
"Some worries","1994","inadequately","208","0.457737062542617","0.412695633365161","0.502778491720073"
"Some worries","1994","general elemantary","281","0.351129152579904","0.316287958231252","0.385970346928556"
