"plj0014_v3","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Yes","2004","Not Employed","Full Time","","","",""
"Yes","2004","Not Employed","Part Time","","","",""
"Yes","2004","Not Employed","Not Working","7576","0.921007935755591","0.915177744892877","0.926838126618305"
"Yes","2004","Employed","Full Time","7877","0.920195907697827","0.91442786451249","0.925963950883164"
"Yes","2004","Employed","Part Time","4652","0.906550920217611","0.898508969804499","0.914592870630723"
"Yes","2004","Employed","Not Working","","","",""
"No","2004","Not Employed","Full Time","","","",""
"No","2004","Not Employed","Part Time","","","",""
"No","2004","Not Employed","Not Working","646","0.0789920642444088","0.0731618733816949","0.0848222551071227"
"No","2004","Employed","Full Time","602","0.0798040923021726","0.0740360491168355","0.0855721354875098"
"No","2004","Employed","Part Time","380","0.0934490797823887","0.0854071293692767","0.101491030195501"
"No","2004","Employed","Not Working","","","",""
"Yes","2005","Not Employed","Full Time","","","",""
"Yes","2005","Not Employed","Part Time","","","",""
"Yes","2005","Not Employed","Not Working","7322","0.920074287309272","0.914105397138486","0.926043177480058"
"Yes","2005","Employed","Full Time","7488","0.918575647521377","0.912602491456018","0.924548803586736"
"Yes","2005","Employed","Part Time","4458","0.896120937717334","0.887516512819628","0.904725362615041"
"Yes","2005","Employed","Not Working","","","",""
"No","2005","Not Employed","Full Time","","","",""
"No","2005","Not Employed","Part Time","","","",""
"No","2005","Not Employed","Not Working","607","0.0799257126907278","0.0739568225199415","0.0858946028615142"
"No","2005","Employed","Full Time","565","0.0814243524786228","0.075451196413264","0.0873975085439817"
"No","2005","Employed","Part Time","372","0.103879062282666","0.0952746373849588","0.112483487180372"
"No","2005","Employed","Not Working","","","",""
"Yes","2006","Not Employed","Full Time","","","",""
"Yes","2006","Not Employed","Part Time","","","",""
"Yes","2006","Not Employed","Not Working","7980","0.910337950292513","0.90429873818484","0.916377162400186"
"Yes","2006","Employed","Full Time","7930","0.917565290754863","0.911700952942771","0.923429628566956"
"Yes","2006","Employed","Part Time","4699","0.912606845138505","0.904804678970406","0.920409011306604"
"Yes","2006","Employed","Not Working","","","",""
"No","2006","Not Employed","Full Time","","","",""
"No","2006","Not Employed","Part Time","","","",""
"No","2006","Not Employed","Not Working","617","0.0896620497074874","0.0836228375998143","0.0957012618151604"
"No","2006","Employed","Full Time","519","0.0824347092451368","0.0765703714330444","0.0882990470572291"
"No","2006","Employed","Part Time","334","0.0873931548614952","0.0795909886933959","0.0951953210295945"
"No","2006","Employed","Not Working","","","",""
"Yes","2007","Not Employed","Full Time","","","",""
"Yes","2007","Not Employed","Part Time","","","",""
"Yes","2007","Not Employed","Not Working","7494","0.913078730230044","0.906909629390406","0.919247831069681"
"Yes","2007","Employed","Full Time","7434","0.923532607864055","0.917666276587307","0.929398939140803"
"Yes","2007","Employed","Part Time","4409","0.896106141980231","0.887409770203494","0.904802513756967"
"Yes","2007","Employed","Not Working","","","",""
"No","2007","Not Employed","Full Time","","","",""
"No","2007","Not Employed","Part Time","","","",""
"No","2007","Not Employed","Not Working","517","0.0869212697699563","0.0807521689303189","0.0930903706095938"
"No","2007","Employed","Full Time","449","0.0764673921359452","0.0706010608591973","0.0823337234126931"
"No","2007","Employed","Part Time","320","0.103893858019769","0.0951974862430327","0.112590229796506"
"No","2007","Employed","Not Working","","","",""
"Yes","2008","Not Employed","Full Time","","","",""
"Yes","2008","Not Employed","Part Time","","","",""
"Yes","2008","Not Employed","Not Working","7047","0.913695373167332","0.907340932726147","0.920049813608517"
"Yes","2008","Employed","Full Time","7111","0.922869126598747","0.916832617471058","0.928905635726437"
"Yes","2008","Employed","Part Time","4141","0.895618135520654","0.886609367204522","0.904626903836786"
"Yes","2008","Employed","Not Working","","","",""
"No","2008","Not Employed","Full Time","","","",""
"No","2008","Not Employed","Part Time","","","",""
"No","2008","Not Employed","Not Working","455","0.0863046268326678","0.0799501863914831","0.0926590672738525"
"No","2008","Employed","Full Time","393","0.0771308734012527","0.071094364273563","0.0831673825289423"
"No","2008","Employed","Part Time","284","0.104381864479346","0.0953730961632139","0.113390632795478"
"No","2008","Employed","Not Working","","","",""
"Yes","2009","Not Employed","Full Time","","","",""
"Yes","2009","Not Employed","Part Time","","","",""
"Yes","2009","Not Employed","Not Working","6492","0.914602377066612","0.907998592060354","0.921206162072869"
"Yes","2009","Employed","Full Time","6684","0.92353912358006","0.917320239020409","0.92975800813971"
"Yes","2009","Employed","Part Time","3961","0.889714881871213","0.880277334483854","0.899152429258572"
"Yes","2009","Employed","Not Working","","","",""
"No","2009","Not Employed","Full Time","","","",""
"No","2009","Not Employed","Part Time","","","",""
"No","2009","Not Employed","Not Working","388","0.0853976229333885","0.0787938379271308","0.0920014079396462"
"No","2009","Employed","Full Time","330","0.0764608764199401","0.0702419918602895","0.0826797609795907"
"No","2009","Employed","Part Time","271","0.110285118128787","0.100847570741428","0.119722665516146"
"No","2009","Employed","Not Working","","","",""
"Yes","2010","Not Employed","Full Time","","","",""
"Yes","2010","Not Employed","Part Time","","","",""
"Yes","2010","Not Employed","Not Working","7736","0.907033970907093","0.900845065530643","0.913222876283543"
"Yes","2010","Employed","Full Time","8748","0.934503374666598","0.929463035301189","0.939543714032007"
"Yes","2010","Employed","Part Time","5931","0.882445014987609","0.87452879178686","0.890361238188359"
"Yes","2010","Employed","Not Working","","","",""
"No","2010","Not Employed","Full Time","","","",""
"No","2010","Not Employed","Part Time","","","",""
"No","2010","Not Employed","Not Working","721","0.092966029092907","0.086777123716457","0.0991549344693569"
"No","2010","Employed","Full Time","507","0.0654966253334021","0.0604562859679928","0.0705369646988114"
"No","2010","Employed","Part Time","428","0.117554985012391","0.109638761811641","0.12547120821314"
"No","2010","Employed","Not Working","","","",""
"Yes","2011","Not Employed","Full Time","","","",""
"Yes","2011","Not Employed","Part Time","","","",""
"Yes","2011","Not Employed","Not Working","8042","0.927285710091825","0.92176225390864","0.932809166275009"
"Yes","2011","Employed","Full Time","7994","0.941717004202643","0.936693508865424","0.946740499539861"
"Yes","2011","Employed","Part Time","5116","0.901586931987466","0.893650240229013","0.90952362374592"
"Yes","2011","Employed","Not Working","","","",""
"No","2011","Not Employed","Full Time","","","",""
"No","2011","Not Employed","Part Time","","","",""
"No","2011","Not Employed","Not Working","448","0.0727142899081755","0.067190833724991","0.0782377460913599"
"No","2011","Employed","Full Time","361","0.0582829957973574","0.0532595004601389","0.0633064911345759"
"No","2011","Employed","Part Time","295","0.0984130680125337","0.0904763762540804","0.106349759770987"
"No","2011","Employed","Not Working","","","",""
"Yes","2012","Not Employed","Full Time","","","",""
"Yes","2012","Not Employed","Part Time","","","",""
"Yes","2012","Not Employed","Not Working","9216","0.917723908402644","0.912290471087705","0.923157345717582"
"Yes","2012","Employed","Full Time","9910","0.929378508413222","0.924464903790489","0.934292113035954"
"Yes","2012","Employed","Part Time","7032","0.896968940329466","0.890076955228001","0.903860925430931"
"Yes","2012","Employed","Not Working","","","",""
"No","2012","Not Employed","Full Time","","","",""
"No","2012","Not Employed","Part Time","","","",""
"No","2012","Not Employed","Not Working","609","0.0822760915973562","0.0768426542824175","0.087709528912295"
"No","2012","Employed","Full Time","533","0.0706214915867781","0.0657078869640454","0.0755350962095108"
"No","2012","Employed","Part Time","442","0.103031059670534","0.0961390745690693","0.109923044771999"
"No","2012","Employed","Not Working","","","",""
"Yes","2013","Not Employed","Full Time","","","",""
"Yes","2013","Not Employed","Part Time","","","",""
"Yes","2013","Not Employed","Not Working","8368","0.946682198961207","0.942010685600883","0.95135371232153"
"Yes","2013","Employed","Full Time","9253","0.959488841446671","0.955571431995051","0.963406250898291"
"Yes","2013","Employed","Part Time","6776","0.936968274277936","0.931347871594883","0.942588676960988"
"Yes","2013","Employed","Not Working","","","",""
"No","2013","Not Employed","Full Time","","","",""
"No","2013","Not Employed","Part Time","","","",""
"No","2013","Not Employed","Not Working","517","0.0533178010387933","0.0486462876784698","0.0579893143991168"
"No","2013","Employed","Full Time","477","0.0405111585533289","0.0365937491017086","0.0444285680049492"
"No","2013","Employed","Part Time","406","0.0630317257220642","0.0574113230390115","0.0686521284051168"
"No","2013","Employed","Not Working","","","",""
"Yes","2014","Not Employed","Full Time","","","",""
"Yes","2014","Not Employed","Part Time","","","",""
"Yes","2014","Not Employed","Not Working","8318","0.909969134814945","0.904182014382461","0.915756255247428"
"Yes","2014","Employed","Full Time","9181","0.919731401543906","0.914469815785613","0.9249929873022"
"Yes","2014","Employed","Part Time","6607","0.883158971280575","0.87592409279783","0.89039384976332"
"Yes","2014","Employed","Not Working","","","",""
"No","2014","Not Employed","Full Time","","","",""
"No","2014","Not Employed","Part Time","","","",""
"No","2014","Not Employed","Not Working","1079","0.0900308651850552","0.0842437447525721","0.0958179856175384"
"No","2014","Employed","Full Time","1063","0.0802685984560936","0.0750070126978002","0.0855301842143871"
"No","2014","Employed","Part Time","966","0.116841028719425","0.10960615023668","0.12407590720217"
"No","2014","Employed","Not Working","","","",""
"Yes","2015","Not Employed","Full Time","","","",""
"Yes","2015","Not Employed","Part Time","","","",""
"Yes","2015","Not Employed","Not Working","7976","0.879858596730646","0.87357849592294","0.886138697538352"
"Yes","2015","Employed","Full Time","8639","0.929668001235011","0.924532547523532","0.93480345494649"
"Yes","2015","Employed","Part Time","6328","0.895152688853323","0.888046174967801","0.902259202738844"
"Yes","2015","Employed","Not Working","","","",""
"No","2015","Not Employed","Full Time","","","",""
"No","2015","Not Employed","Part Time","","","",""
"No","2015","Not Employed","Not Working","2320","0.120141403269354","0.113861302461648","0.12642150407706"
"No","2015","Employed","Full Time","885","0.0703319987649888","0.0651965450535097","0.0754674524764678"
"No","2015","Employed","Part Time","811","0.104847311146677","0.0977407972611559","0.111953825032199"
"No","2015","Employed","Not Working","","","",""
"Yes","2016","Not Employed","Full Time","","","",""
"Yes","2016","Not Employed","Part Time","","","",""
"Yes","2016","Not Employed","Not Working","7239","0.896873535605406","0.890316956112737","0.903430115098075"
"Yes","2016","Employed","Full Time","8045","0.900827622688897","0.89471670344209","0.906938541935703"
"Yes","2016","Employed","Part Time","5990","0.878919484493239","0.87126428466416","0.886574684322318"
"Yes","2016","Employed","Not Working","","","",""
"No","2016","Not Employed","Full Time","","","",""
"No","2016","Not Employed","Part Time","","","",""
"No","2016","Not Employed","Not Working","1026","0.103126464394594","0.096569884901925","0.109683043887263"
"No","2016","Employed","Full Time","1145","0.0991723773111032","0.0930614580642967","0.10528329655791"
"No","2016","Employed","Part Time","986","0.121080515506762","0.113425315677683","0.128735715335841"
"No","2016","Employed","Not Working","","","",""
"Yes","2017","Not Employed","Full Time","","","",""
"Yes","2017","Not Employed","Part Time","","","",""
"Yes","2017","Not Employed","Not Working","7715","0.877866801631733","0.871755539811533","0.883978063451933"
"Yes","2017","Employed","Full Time","9356","0.899559062548934","0.89380251592388","0.905315609173988"
"Yes","2017","Employed","Part Time","6767","0.867772332173666","0.860278004764948","0.875266659582384"
"Yes","2017","Employed","Not Working","","","",""
"No","2017","Not Employed","Full Time","","","",""
"No","2017","Not Employed","Part Time","","","",""
"No","2017","Not Employed","Not Working","3313","0.122133198368267","0.116021936548067","0.128244460188467"
"No","2017","Employed","Full Time","1118","0.100440937451066","0.0946843908260118","0.10619748407612"
"No","2017","Employed","Part Time","1081","0.132227667826334","0.124733340417616","0.139721995235052"
"No","2017","Employed","Not Working","","","",""
"Yes","2018","Not Employed","Full Time","","","",""
"Yes","2018","Not Employed","Part Time","","","",""
"Yes","2018","Not Employed","Not Working","7442","0.867548612666884","0.861402118377344","0.873695106956424"
"Yes","2018","Employed","Full Time","8962","0.890472795185703","0.884379196652469","0.896566393718937"
"Yes","2018","Employed","Part Time","6676","0.861972913724698","0.854372077614476","0.869573749834919"
"Yes","2018","Employed","Not Working","","","",""
"No","2018","Not Employed","Full Time","","","",""
"No","2018","Not Employed","Part Time","","","",""
"No","2018","Not Employed","Not Working","4242","0.132451387333116","0.126304893043576","0.138597881622656"
"No","2018","Employed","Full Time","1128","0.109527204814297","0.103433606281063","0.115620803347531"
"No","2018","Employed","Part Time","1235","0.138027086275303","0.130426250165081","0.145627922385524"
"No","2018","Employed","Not Working","","","",""
"Yes","2019","Not Employed","Full Time","","","",""
"Yes","2019","Not Employed","Part Time","","","",""
"Yes","2019","Not Employed","Not Working","7430","0.872278609480887","0.865989722024113","0.878567496937662"
"Yes","2019","Employed","Full Time","9691","0.887221455095607","0.881274392120762","0.893168518070451"
"Yes","2019","Employed","Part Time","6512","0.852634489163493","0.844748273959171","0.860520704367816"
"Yes","2019","Employed","Not Working","","","",""
"No","2019","Not Employed","Full Time","","","",""
"No","2019","Not Employed","Part Time","","","",""
"No","2019","Not Employed","Not Working","3391","0.127721390519113","0.121432503062338","0.134010277975887"
"No","2019","Employed","Full Time","1177","0.112778544904393","0.106831481929549","0.118725607879238"
"No","2019","Employed","Part Time","1249","0.147365510836507","0.139479295632184","0.155251726040829"
"No","2019","Employed","Not Working","","","",""
