"plj0588","year","bula_h","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very often","2013","Schleswig-Holstein","(0) in school","","","",""
"Very often","2013","Schleswig-Holstein","(1a) inadequately completed","","","",""
"Very often","2013","Schleswig-Holstein","(1b) general elementary school","","","",""
"Very often","2013","Schleswig-Holstein","(1c) basic vocational qualification","","","",""
"Very often","2013","Schleswig-Holstein","(2b) intermediate general qualification","","","",""
"Very often","2013","Schleswig-Holstein","(2a) intermediate vocational","","","",""
"Very often","2013","Schleswig-Holstein","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Schleswig-Holstein","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","Schleswig-Holstein","(3a) lower tertiary education","","","",""
"Very often","2013","Schleswig-Holstein","(3b) higher tertiary education","","","",""
"Very often","2013","Hamburg","(0) in school","","","",""
"Very often","2013","Hamburg","(1a) inadequately completed","","","",""
"Very often","2013","Hamburg","(1b) general elementary school","","","",""
"Very often","2013","Hamburg","(1c) basic vocational qualification","","","",""
"Very often","2013","Hamburg","(2b) intermediate general qualification","","","",""
"Very often","2013","Hamburg","(2a) intermediate vocational","","","",""
"Very often","2013","Hamburg","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Hamburg","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","Hamburg","(3a) lower tertiary education","","","",""
"Very often","2013","Hamburg","(3b) higher tertiary education","","","",""
"Very often","2013","Lower Saxony","(0) in school","","","",""
"Very often","2013","Lower Saxony","(1a) inadequately completed","","","",""
"Very often","2013","Lower Saxony","(1b) general elementary school","","","",""
"Very often","2013","Lower Saxony","(1c) basic vocational qualification","","","",""
"Very often","2013","Lower Saxony","(2b) intermediate general qualification","","","",""
"Very often","2013","Lower Saxony","(2a) intermediate vocational","","","",""
"Very often","2013","Lower Saxony","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Lower Saxony","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","Lower Saxony","(3a) lower tertiary education","","","",""
"Very often","2013","Lower Saxony","(3b) higher tertiary education","","","",""
"Very often","2013","Bremen","(0) in school","","","",""
"Very often","2013","Bremen","(1a) inadequately completed","","","",""
"Very often","2013","Bremen","(1b) general elementary school","","","",""
"Very often","2013","Bremen","(1c) basic vocational qualification","","","",""
"Very often","2013","Bremen","(2b) intermediate general qualification","","","",""
"Very often","2013","Bremen","(2a) intermediate vocational","","","",""
"Very often","2013","Bremen","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Bremen","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","Bremen","(3a) lower tertiary education","","","",""
"Very often","2013","Bremen","(3b) higher tertiary education","","","",""
"Very often","2013","North Rhine-Westphalia","(0) in school","","","",""
"Very often","2013","North Rhine-Westphalia","(1a) inadequately completed","","","",""
"Very often","2013","North Rhine-Westphalia","(1b) general elementary school","","","",""
"Very often","2013","North Rhine-Westphalia","(1c) basic vocational qualification","","","",""
"Very often","2013","North Rhine-Westphalia","(2b) intermediate general qualification","","","",""
"Very often","2013","North Rhine-Westphalia","(2a) intermediate vocational","","","",""
"Very often","2013","North Rhine-Westphalia","(2c_gen) general maturity certificate","","","",""
"Very often","2013","North Rhine-Westphalia","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","North Rhine-Westphalia","(3a) lower tertiary education","","","",""
"Very often","2013","North Rhine-Westphalia","(3b) higher tertiary education","","","",""
"Very often","2013","Hesse","(0) in school","","","",""
"Very often","2013","Hesse","(1a) inadequately completed","","","",""
"Very often","2013","Hesse","(1b) general elementary school","","","",""
"Very often","2013","Hesse","(1c) basic vocational qualification","","","",""
"Very often","2013","Hesse","(2b) intermediate general qualification","","","",""
"Very often","2013","Hesse","(2a) intermediate vocational","","","",""
"Very often","2013","Hesse","(2c_gen) general maturity certificate","","","",""
"Very often","2013","Hesse","(2c_voc) vocational maturity certificate","","","",""
"Very often","2013","Hesse","(3a) lower tertiary education","","","",""
"Very often","2013","Hesse","(3b) higher tertiary education","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","(0) in school","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","(1a) inadequately completed","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","(1b) general elementary school","","","",""
"Very often","2013","Rhineland-Palatinate,Saarland","(1c) basic vocational qualification","","","",""
