"year","e11103","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","Full Time","East Germany","","","","","","","","","","","","","",""
"1984","Full Time","West Germany","44.32","40","5022","40","40","46","56","75","44.09","44.55","1","80","40","40"
"1984","Not Working","East Germany","","","","","","","","","","","","","",""
"1984","Not Working","West Germany","34.95","40","147","10","27","40","45","80","32.61","37.29","1","80","40","40"
"1984","Part Time","East Germany","","","","","","","","","","","","","",""
"1984","Part Time","West Germany","25.88","25","1387","10","17","40","40","50","25.2","26.56","1","80","25","25"
"1985","Full Time","East Germany","","","","","","","","","","","","","",""
"1985","Full Time","West Germany","44.45","41","4473","40","40","47","55","72","44.22","44.68","2","80","40","40"
"1985","Not Working","East Germany","","","","","","","","","","","","","",""
"1985","Not Working","West Germany","33.38","40","144","9","18","43","50","70","30.58","36.18","1","75","40","40"
"1985","Part Time","East Germany","","","","","","","","","","","","","",""
"1985","Part Time","West Germany","25.56","24","1387","8","15","40","41","55","24.84","26.28","1","80","23","25"
"1986","Full Time","East Germany","","","","","","","","","","","","","",""
"1986","Full Time","West Germany","44.41","40","4388","39","40","46","55","72","44.18","44.64","2","80","40","40"
"1986","Not Working","East Germany","","","","","","","","","","","","","",""
"1986","Not Working","West Germany","32.77","40","125","9","20","40","55","68","29.89","35.65","1","70","38","40"
"1986","Part Time","East Germany","","","","","","","","","","","","","",""
"1986","Part Time","West Germany","26.58","25","1304","8","17","40","41","60","25.85","27.31","1","75","25","28"
"1987","Full Time","East Germany","","","","","","","","","","","","","",""
"1987","Full Time","West Germany","43.92","40","4490","39","40","45","55","72","43.7","44.14","4","80","40","40"
"1987","Not Working","East Germany","","","","","","","","","","","","","",""
"1987","Not Working","West Germany","31.39","40","94","5","15","40","50","72","27.79","34.99","1","72","35","40"
"1987","Part Time","East Germany","","","","","","","","","","","","","",""
"1987","Part Time","West Germany","25.7","25","1323","9","15","39","40","50","25.02","26.38","1","80","25","28"
"1988","Full Time","East Germany","","","","","","","","","","","","","",""
"1988","Full Time","West Germany","43.97","40","4212","38","40","45","55","72","43.74","44.2","1","80","40","40"
