"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","2.18","2","7100","1","2","3","3","4","2.16","2.2","1","4","2","2"
"1991","","","","","","","","","","","","","",""
"1992","2.2","2","10925","1","2","3","3","4","2.19","2.21","1","4","2","2"
"1993","","","","","","","","","","","","","",""
"1994","","","","","","","","","","","","","",""
"1995","2.17","2","11191","1","2","3","3","4","2.16","2.18","1","4","2","2"
"1996","","","","","","","","","","","","","",""
"1997","","","","","","","","","","","","","",""
"1998","","","","","","","","","","","","","",""
"1999","","","","","","","","","","","","","",""
"2000","","","","","","","","","","","","","",""
"2001","","","","","","","","","","","","","",""
"2002","","","","","","","","","","","","","",""
"2003","","","","","","","","","","","","","",""
"2004","2.18","2","21523","1","2","3","3","4","2.17","2.19","1","4","2","2"
"2005","","","","","","","","","","","","","",""
"2006","","","","","","","","","","","","","",""
"2007","","","","","","","","","","","","","",""
"2008","2.25","2","19294","1","2","3","3","4","2.24","2.26","1","4","2","2"
"2009","","","","","","","","","","","","","",""
"2010","2.03","2","7291","1","2","2","3","4","2.01","2.05","1","4","2","2"
"2011","","","","","","","","","","","","","",""
"2012","2.16","2","27569","1","2","3","3","4","2.15","2.17","1","4","2","2"
"2013","","","","","","","","","","","","","",""
"2014","","","","","","","","","","","","","",""
"2015","","","","","","","","","","","","","",""
"2016","2.16","2","24266","1","2","3","3","4","2.15","2.17","1","4","2","2"
