"erwst","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"Full-time","1984","lower secondary degree","West Germany","2553","0.38593508730293","0.373745516217332","0.398124658388528"
"Full-time","1984","lower secondary degree","East Germany","","","",""
"Full-time","1984","secondary school degree","West Germany","875","0.433691983975531","0.411751959516199","0.455632008434863"
"Full-time","1984","secondary school degree","East Germany","","","",""
"Full-time","1984","college entrance qualification","West Germany","621","0.470087936358135","0.442904480812236","0.497271391904035"
"Full-time","1984","college entrance qualification","East Germany","","","",""
"Full-time","1984","Other degree","West Germany","1013","0.677447398381045","0.65341188802701","0.701482908735079"
"Full-time","1984","Other degree","East Germany","","","",""
"Full-time","1984","no degree/no degree yet","West Germany","617","0.285318631632831","0.260809349467199","0.309827913798463"
"Full-time","1984","no degree/no degree yet","East Germany","","","",""
"Part-time","1984","lower secondary degree","West Germany","364","0.0555575173369278","0.0498218583410409","0.0612931763328147"
"Part-time","1984","lower secondary degree","East Germany","","","",""
"Part-time","1984","secondary school degree","West Germany","138","0.062065144966459","0.0513836932916305","0.0727465966412876"
"Part-time","1984","secondary school degree","East Germany","","","",""
"Part-time","1984","college entrance qualification","West Germany","81","0.0607391569686669","0.0477302533700661","0.0737480605672677"
"Part-time","1984","college entrance qualification","East Germany","","","",""
"Part-time","1984","Other degree","West Germany","43","0.0240970687824316","0.0162120868278669","0.0319820507369964"
"Part-time","1984","Other degree","East Germany","","","",""
"Part-time","1984","no degree/no degree yet","West Germany","30","0.0142174158545202","0.00779186745492886","0.0206429642541115"
"Part-time","1984","no degree/no degree yet","East Germany","","","",""
"Non-working","1984","lower secondary degree","West Germany","2828","0.50780524068803","0.495287059513916","0.520323421862144"
"Non-working","1984","lower secondary degree","East Germany","","","",""
"Non-working","1984","secondary school degree","West Germany","726","0.401034902177418","0.379337292162585","0.422732512192251"
"Non-working","1984","secondary school degree","East Germany","","","",""
"Non-working","1984","college entrance qualification","West Germany","484","0.388926968322748","0.362375178922517","0.41547875772298"
"Non-working","1984","college entrance qualification","East Germany","","","",""
"Non-working","1984","Other degree","West Germany","361","0.268689734176228","0.24589725033069","0.291482218021767"
"Non-working","1984","Other degree","East Germany","","","",""
"Non-working","1984","no degree/no degree yet","West Germany","630","0.675082375106953","0.649662447164594","0.700502303049312"
"Non-working","1984","no degree/no degree yet","East Germany","","","",""
"Other","1984","lower secondary degree","West Germany","382","0.0507021546721121","0.0452087877727054","0.0561955215715189"
"Other","1984","lower secondary degree","East Germany","","","",""
"Other","1984","secondary school degree","West Germany","221","0.103207968880592","0.0897393662106765","0.116676571550507"
"Other","1984","secondary school degree","East Germany","","","",""
"Other","1984","college entrance qualification","West Germany","109","0.0802459383504497","0.0654493839939484","0.0950424927069509"
"Other","1984","college entrance qualification","East Germany","","","",""
"Other","1984","Other degree","West Germany","36","0.0297657986602955","0.0210277925588786","0.0385038047617123"
"Other","1984","Other degree","East Germany","","","",""
