"erwst","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Full-time","1984","1-pers.-HH","West Germany","558","0.315601186813103","0.290670663437675","0.34053171018853","1"
"Full-time","1984","1-pers.-HH","East Germany","","","","","1"
"Full-time","1984","(Married) couple without C. ","West Germany","1193","0.368744139726755","0.350562638848468","0.386925640605041","1"
"Full-time","1984","(Married) couple without C. ","East Germany","","","","","1"
"Full-time","1984","Single parent ","West Germany","240","0.376490658614435","0.337026086910341","0.41595523031853","1"
"Full-time","1984","Single parent ","East Germany","","","","","1"
"Full-time","1984","Couple + C. LE 16 ","West Germany","1726","0.541703256755","0.524112444936912","0.559294068573087","1"
"Full-time","1984","Couple + C. LE 16 ","East Germany","","","","","1"
"Full-time","1984","Couple + C. GT 16 ","West Germany","917","0.435090958145686","0.413325203276793","0.45685671301458","1"
"Full-time","1984","Couple + C. GT 16 ","East Germany","","","","","1"
"Full-time","1984","Couple + C. LE and GT 16","West Germany","776","0.440649329662191","0.417186925810651","0.464111733513731","1"
"Full-time","1984","Couple + C. LE and GT 16","East Germany","","","","","1"
"Non-working","1984","Couple + C. LE 16 ","East Germany","","","","","5"
"Non-working","1984","1-pers.-HH","East Germany","","","","","5"
"Non-working","1984","(Married) couple without C. ","East Germany","","","","","5"
"Non-working","1984","Couple + C. LE 16 ","West Germany","998","0.322878065821927","0.306370444931761","0.339385686712094","5"
"Non-working","1984","1-pers.-HH","West Germany","706","0.633181200062529","0.607329014958525","0.659033385166533","5"
"Non-working","1984","(Married) couple without C. ","West Germany","1326","0.561730353359056","0.543032183572287","0.580428523145824","5"
"Non-working","1984","Single parent ","West Germany","253","0.472012113024656","0.431349305512146","0.512674920537165","5"
"Non-working","1984","Single parent ","East Germany","","","","","5"
"Non-working","1984","Couple + C. GT 16 ","East Germany","","","","","5"
"Non-working","1984","Couple + C. LE and GT 16","West Germany","640","0.364008925594007","0.341270238032603","0.386747613155411","5"
"Non-working","1984","Couple + C. LE and GT 16","East Germany","","","","","5"
"Non-working","1984","Couple + C. GT 16 ","West Germany","744","0.392371306000391","0.370934395298208","0.413808216702575","5"
"Other","1984","1-pers.-HH","West Germany","43","0.0300811447456689","0.0209184685532178","0.0392438209381199","6"
"Other","1984","1-pers.-HH","East Germany","","","","","6"
"Other","1984","(Married) couple without C. ","West Germany","60","0.0224482818985305","0.016865818533388","0.028030745263673","6"
"Other","1984","(Married) couple without C. ","East Germany","","","","","6"
"Other","1984","Single parent ","West Germany","52","0.0830675571526301","0.0605877180639167","0.105547396241343","6"
"Other","1984","Single parent ","East Germany","","","","","6"
"Other","1984","Couple + C. LE 16 ","West Germany","124","0.0479285098113239","0.0403869094114082","0.0554701102112397","6"
"Other","1984","Couple + C. LE 16 ","East Germany","","","","","6"
"Other","1984","Couple + C. GT 16 ","West Germany","216","0.109722715546926","0.0960010963803237","0.123444334713528","6"
"Other","1984","Couple + C. GT 16 ","East Germany","","","","","6"
"Other","1984","Couple + C. LE and GT 16","West Germany","218","0.142378867628965","0.125864788100099","0.158892947157831","6"
"Other","1984","Couple + C. LE and GT 16","East Germany","","","","","6"
"Part-time","1984","1-pers.-HH","East Germany","","","","","2"
"Part-time","1984","(Married) couple without C. ","West Germany","126","0.0470772250156592","0.0390954636871332","0.0550589863441852","2"
"Part-time","1984","1-pers.-HH","West Germany","28","","","","2"
"Part-time","1984","(Married) couple without C. ","East Germany","","","","","2"
"Part-time","1984","Couple + C. LE 16 ","East Germany","","","","","2"
"Part-time","1984","Single parent ","West Germany","34","0.0684296712082787","0.0478641907767409","0.0889951516398166","2"
"Part-time","1984","Single parent ","East Germany","","","","","2"
"Part-time","1984","Couple + C. LE 16 ","West Germany","234","0.0874901676117494","0.0775147709391961","0.0974655642843027","2"
