"pli0092_h","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Rarely","1988","Employed","Urban Area","768","0.163921644146161","0.153741407444637","0.174101880847684","4"
"Rarely","1988","Not Employed","Rural Area","73","0.0926621324015327","0.0711049819835789","0.114219282819487","4"
"Rarely","1988","Not Employed","Urban Area","249","0.0807234529102401","0.0706906005380383","0.0907563052824419","4"
"Rarely","1988","Employed","Rural Area","242","0.195080599911512","0.173605882496418","0.216555317326606","4"
"Daily","1989","Employed","Rural Area","","","","","1"
"Daily","1989","Not Employed","Urban Area","","","","","1"
"Daily","1989","Employed","Urban Area","","","","","1"
"Daily","1989","Not Employed","Rural Area","","","","","1"
"Min 1x per month","1989","Employed","Rural Area","","","","","3"
"Min 1x per month","1989","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1989","Employed","Urban Area","","","","","3"
"Min 1x per month","1989","Not Employed","Urban Area","","","","","3"
"Min 1x per week","1989","Employed","Rural Area","","","","","2"
"Min 1x per week","1989","Employed","Urban Area","","","","","2"
"Min 1x per week","1989","Not Employed","Urban Area","","","","","2"
"Min 1x per week","1989","Not Employed","Rural Area","","","","","2"
"Never","1989","Not Employed","Urban Area","","","","","5"
"Never","1989","Not Employed","Rural Area","","","","","5"
"Never","1989","Employed","Urban Area","","","","","5"
"Never","1989","Employed","Rural Area","","","","","5"
"Rarely","1989","Employed","Urban Area","","","","","4"
"Rarely","1989","Employed","Rural Area","","","","","4"
"Rarely","1989","Not Employed","Urban Area","","","","","4"
"Rarely","1989","Not Employed","Rural Area","","","","","4"
"Daily","1990","Employed","Rural Area","53","0.0476390083477033","0.0357978365452189","0.0594801801501877","1"
"Daily","1990","Not Employed","Urban Area","91","0.0327186445165693","0.0259568342211934","0.0394804548119452","1"
"Daily","1990","Employed","Urban Area","224","0.0492773777829323","0.0432120318505664","0.0553427237152982","1"
"Daily","1990","Not Employed","Rural Area","24","","","","1"
"Min 1x per month","1990","Employed","Urban Area","482","0.108141928200615","0.099439312720101","0.116844543681129","3"
"Min 1x per month","1990","Employed","Rural Area","144","0.117348435826424","0.0994569739714923","0.135239897681355","3"
"Min 1x per month","1990","Not Employed","Rural Area","37","0.0561249527087001","0.0385787715971101","0.0736711338202901","3"
"Min 1x per month","1990","Not Employed","Urban Area","142","0.0484155769843955","0.0402571742460281","0.056573979722763","3"
"Min 1x per week","1990","Employed","Rural Area","320","0.266035347721213","0.241470177867829","0.290600517574596","2"
"Min 1x per week","1990","Not Employed","Urban Area","507","0.190105404695783","0.175191189514811","0.205019619876754","2"
"Min 1x per week","1990","Not Employed","Rural Area","109","0.163434272222394","0.135245967202039","0.191622577242749","2"
"Min 1x per week","1990","Employed","Urban Area","1270","0.292689347968498","0.279939252850337","0.30543944308666","2"
"Never","1990","Not Employed","Urban Area","1587","0.612013795522864","0.593492230947546","0.630535360098181","5"
"Never","1990","Not Employed","Rural Area","396","0.609742918682227","0.572555490870718","0.646930346493736","5"
"Never","1990","Employed","Urban Area","1875","0.313000719613628","0.300006336230879","0.325995102996378","5"
"Never","1990","Employed","Rural Area","395","0.281619426837118","0.25661475716988","0.306624096504355","5"
"Rarely","1990","Employed","Rural Area","331","0.287357781267543","0.2622007273064","0.312514835228685","4"
"Rarely","1990","Not Employed","Urban Area","332","0.116746578280389","0.104541131904768","0.128952024656009","4"
"Rarely","1990","Not Employed","Rural Area","95","0.137518847280478","0.111264375824568","0.163773318736388","4"
"Rarely","1990","Employed","Urban Area","1041","0.236890626434326","0.224976225813444","0.248805027055207","4"
"Daily","1991","Employed","Rural Area","","","","","1"
"Daily","1991","Not Employed","Rural Area","","","","","1"
"Daily","1991","Employed","Urban Area","","","","","1"
"Daily","1991","Not Employed","Urban Area","","","","","1"
"Min 1x per month","1991","Employed","Urban Area","","","","","3"
"Min 1x per month","1991","Employed","Rural Area","","","","","3"
"Min 1x per month","1991","Not Employed","Urban Area","","","","","3"
"Min 1x per month","1991","Not Employed","Rural Area","","","","","3"
"Min 1x per week","1991","Employed","Urban Area","","","","","2"
"Min 1x per week","1991","Employed","Rural Area","","","","","2"
"Min 1x per week","1991","Not Employed","Rural Area","","","","","2"
"Min 1x per week","1991","Not Employed","Urban Area","","","","","2"
"Never","1991","Not Employed","Urban Area","","","","","5"
"Never","1991","Not Employed","Rural Area","","","","","5"
"Never","1991","Employed","Urban Area","","","","","5"
"Never","1991","Employed","Rural Area","","","","","5"
"Rarely","1991","Not Employed","Rural Area","","","","","4"
"Rarely","1991","Employed","Rural Area","","","","","4"
"Rarely","1991","Employed","Urban Area","","","","","4"
"Rarely","1991","Not Employed","Urban Area","","","","","4"
"Daily","1992","Not Employed","Urban Area","","","","","1"
"Daily","1992","Employed","Rural Area","","","","","1"
"Daily","1992","Not Employed","Rural Area","","","","","1"
"Daily","1992","Employed","Urban Area","","","","","1"
"Min 1x per month","1992","Employed","Rural Area","173","0.0652040780695959","0.0564379532982611","0.0739702028409307","3"
"Min 1x per month","1992","Not Employed","Rural Area","35","0.0208890454037608","0.0131681861142565","0.028609904693265","3"
"Min 1x per month","1992","Employed","Urban Area","441","0.0847852632769167","0.0776427371669367","0.0919277893868967","3"
"Min 1x per month","1992","Not Employed","Urban Area","114","0.0359892070774117","0.0291145565754227","0.0428638575794007","3"
"Min 1x per week","1992","Employed","Urban Area","1453","0.280475900226763","0.26895727639519","0.291994524058336","2"
"Min 1x per week","1992","Employed","Rural Area","558","0.222982811781171","0.208203205305922","0.237762418256419","2"
"Min 1x per week","1992","Not Employed","Urban Area","561","0.187147563199886","0.172752237971174","0.201542888428598","2"
"Min 1x per week","1992","Not Employed","Rural Area","199","0.143496716877339","0.124569973909196","0.162423459845481","2"
"Never","1992","Not Employed","Urban Area","1875","0.692069671408534","0.675031433489999","0.709107909327068","5"
"Never","1992","Not Employed","Rural Area","971","0.768918023241446","0.746161105311823","0.791674941171069","5"
"Never","1992","Employed","Urban Area","2830","0.434825027053846","0.422114051739575","0.447536002368118","5"
"Never","1992","Employed","Rural Area","1653","0.492807743845656","0.475056167166589","0.510559320524723","5"
"Rarely","1992","Employed","Urban Area","1119","0.199913809442475","0.189659180917944","0.210168437967006","4"
"Rarely","1992","Not Employed","Urban Area","270","0.0847935583141688","0.0745118684132175","0.0950752482151201","4"
"Rarely","1992","Not Employed","Rural Area","113","0.0666962144774542","0.0532266829205751","0.0801657460343333","4"
"Rarely","1992","Employed","Rural Area","663","0.219005366303577","0.204320727555087","0.233690005052067","4"
"Daily","1993","Not Employed","Urban Area","","","","","1"
"Daily","1993","Employed","Urban Area","","","","","1"
"Daily","1993","Employed","Rural Area","","","","","1"
"Daily","1993","Not Employed","Rural Area","","","","","1"
"Min 1x per month","1993","Not Employed","Rural Area","","","","","3"
"Min 1x per month","1993","Employed","Urban Area","","","","","3"
"Min 1x per month","1993","Employed","Rural Area","","","","","3"
"Min 1x per month","1993","Not Employed","Urban Area","","","","","3"
"Min 1x per week","1993","Employed","Rural Area","","","","","2"
"Min 1x per week","1993","Not Employed","Rural Area","","","","","2"
"Min 1x per week","1993","Employed","Urban Area","","","","","2"
"Min 1x per week","1993","Not Employed","Urban Area","","","","","2"
"Never","1993","Not Employed","Urban Area","","","","","5"
"Never","1993","Not Employed","Rural Area","","","","","5"
"Never","1993","Employed","Urban Area","","","","","5"
"Never","1993","Employed","Rural Area","","","","","5"
"Rarely","1993","Not Employed","Urban Area","","","","","4"
"Rarely","1993","Employed","Urban Area","","","","","4"
"Rarely","1993","Employed","Rural Area","","","","","4"
"Rarely","1993","Not Employed","Rural Area","","","","","4"
"Daily","1994","Not Employed","Urban Area","","","","","1"
"Daily","1994","Employed","Urban Area","","","","","1"
"Daily","1994","Employed","Rural Area","","","","","1"
"Daily","1994","Not Employed","Rural Area","","","","","1"
"Min 1x per month","1994","Employed","Urban Area","418","0.0753905277287362","0.0684097822539006","0.0823712732035717","3"
"Min 1x per month","1994","Not Employed","Urban Area","128","0.0388295437131872","0.0319165077862284","0.0457425796401461","3"
"Min 1x per month","1994","Not Employed","Rural Area","30","0.021767094120639","0.0143075757985679","0.0292266124427101","3"
"Min 1x per month","1994","Employed","Rural Area","202","0.0805579573124468","0.0704174446095517","0.0906984700153419","3"
"Min 1x per week","1994","Not Employed","Rural Area","204","0.136977094912538","0.11940091212875","0.154553277696326","2"
"Min 1x per week","1994","Employed","Urban Area","1363","0.287366741154254","0.275401663055522","0.299331819252987","2"
"Min 1x per week","1994","Employed","Rural Area","542","0.22765577453511","0.212031915973834","0.243279633096386","2"
"Min 1x per week","1994","Not Employed","Urban Area","552","0.174744033954892","0.161155175386363","0.188332892523422","2"
"Never","1994","Not Employed","Urban Area","2011","0.691100263186191","0.674566688483155","0.707633837889226","5"
"Never","1994","Not Employed","Rural Area","1082","0.746037541911774","0.72378628613986","0.768288797683688","5"
"Never","1994","Employed","Urban Area","2512","0.412630246872226","0.399613556878561","0.42564693686589","5"
"Never","1994","Employed","Rural Area","1404","0.468360324563535","0.449767633517948","0.486953015609123","5"
"Rarely","1994","Not Employed","Rural Area","154","0.0952182690550489","0.0802137708387637","0.110222767271334","4"
"Rarely","1994","Employed","Rural Area","619","0.223425943588908","0.207905585018133","0.238946302159683","4"
"Rarely","1994","Not Employed","Urban Area","309","0.09532615914573","0.0848176882092787","0.105834630082181","4"
"Rarely","1994","Employed","Urban Area","1202","0.224612484244784","0.213578290877964","0.235646677611604","4"
"Daily","1995","Not Employed","Urban Area","148","0.0431137695738885","0.0361037152706322","0.0501238238771448","1"
"Daily","1995","Not Employed","Rural Area","69","0.0477215843224483","0.0371464464878411","0.0582967221570555","1"
"Daily","1995","Employed","Urban Area","276","0.0538036091376438","0.0478972766340377","0.0597099416412499","1"
"Daily","1995","Employed","Rural Area","126","0.0531100181557128","0.0449113615838105","0.061308674727615","1"
"Min 1x per month","1995","Not Employed","Urban Area","158","0.0440313523163883","0.0369504913322936","0.051112213300483","3"
"Min 1x per month","1995","Not Employed","Rural Area","79","0.0516210754283817","0.040644898204694","0.0625972526520695","3"
"Min 1x per month","1995","Employed","Rural Area","242","0.0812449044308674","0.0712563496546765","0.0912334592070583","3"
"Min 1x per month","1995","Employed","Urban Area","481","0.0961347324873008","0.088418353415093","0.103851111559509","3"
"Min 1x per week","1995","Employed","Urban Area","1451","0.292466554567436","0.280558710587904","0.304374398546969","2"
"Min 1x per week","1995","Not Employed","Urban Area","582","0.171962527681189","0.158939104967146","0.184985950395232","2"
"Min 1x per week","1995","Not Employed","Rural Area","226","0.129804311132229","0.113131852000023","0.146476770264435","2"
"Min 1x per week","1995","Employed","Rural Area","607","0.249984146432398","0.234153590574104","0.265814702290692","2"
"Never","1995","Not Employed","Urban Area","1901","0.605849436537043","0.588984035928407","0.622714837145679","5"
"Never","1995","Not Employed","Rural Area","916","0.610920904994291","0.586735237313527","0.635106572675055","5"
"Never","1995","Employed","Urban Area","2041","0.312239381452696","0.300108732485535","0.324370030419857","5"
"Never","1995","Employed","Rural Area","1026","0.32787508083502","0.310712447941475","0.345037713728564","5"
"Rarely","1995","Not Employed","Rural Area","271","0.15993212412265","0.14174886695804","0.17811538128726","4"
"Rarely","1995","Employed","Urban Area","1357","0.245355722354923","0.234091770601906","0.256619674107941","4"
"Rarely","1995","Employed","Rural Area","873","0.287785850146002","0.27123406934043","0.304337630951574","4"
"Rarely","1995","Not Employed","Urban Area","436","0.135042913891491","0.123247412336212","0.14683841544677","4"
"Daily","1996","Not Employed","Urban Area","","","","","1"
"Daily","1996","Not Employed","Rural Area","","","","","1"
"Daily","1996","Employed","Urban Area","","","","","1"
"Daily","1996","Employed","Rural Area","","","","","1"
"Min 1x per month","1996","Not Employed","Rural Area","78","0.0539414432334907","0.0425736650503631","0.0653092214166183","3"
"Min 1x per month","1996","Not Employed","Urban Area","159","0.0527111356667291","0.0448361361887711","0.0605861351446871","3"
"Min 1x per month","1996","Employed","Urban Area","478","0.085674468474578","0.078300442780106","0.09304849416905","3"
"Min 1x per month","1996","Employed","Rural Area","206","0.0720548585513223","0.0626045402545148","0.0815051768481297","3"
"Min 1x per week","1996","Employed","Rural Area","619","0.249409897780468","0.23359698378157","0.265222811779367","2"
"Min 1x per week","1996","Not Employed","Urban Area","565","0.184055210078779","0.170397981579944","0.197712438577614","2"
"Min 1x per week","1996","Not Employed","Rural Area","237","0.16090960715513","0.142419021696454","0.179400192613807","2"
"Min 1x per week","1996","Employed","Urban Area","1471","0.301201934860436","0.28911452525683","0.313289344464042","2"
"Never","1996","Not Employed","Rural Area","981","0.650423793028511","0.626428589201829","0.674418996855192","5"
"Never","1996","Not Employed","Urban Area","1975","0.647993798550495","0.631162457769196","0.664825139331793","5"
"Never","1996","Employed","Urban Area","2260","0.364602422472359","0.351921201627318","0.3772836433174","5"
"Never","1996","Employed","Rural Area","1291","0.417184794981052","0.3991636109099","0.435205979052204","5"
"Rarely","1996","Not Employed","Urban Area","394","0.115239855703997","0.103986753602713","0.126492957805281","4"
"Rarely","1996","Employed","Urban Area","1325","0.248521174192627","0.237135242183413","0.259907106201841","4"
"Rarely","1996","Employed","Rural Area","760","0.261350448687157","0.245292706001697","0.277408191372618","4"
"Rarely","1996","Not Employed","Rural Area","221","0.134725156582868","0.117543830203071","0.151906482962666","4"
"Daily","1997","Not Employed","Urban Area","","","","","1"
"Daily","1997","Not Employed","Rural Area","","","","","1"
"Daily","1997","Employed","Urban Area","","","","","1"
"Daily","1997","Employed","Rural Area","","","","","1"
"Min 1x per month","1997","Not Employed","Urban Area","114","0.032061398755067","0.0258700818490135","0.0382527156611205","3"
"Min 1x per month","1997","Employed","Urban Area","395","0.0728067601361298","0.0658348487231412","0.0797786715491185","3"
"Min 1x per month","1997","Employed","Rural Area","188","0.0696512959198259","0.0601801162261259","0.0791224756135258","3"
"Min 1x per month","1997","Not Employed","Rural Area","66","0.0404644148926493","0.0306611800220916","0.050267649763207","3"
"Min 1x per week","1997","Not Employed","Rural Area","255","0.177456174806042","0.158448573507646","0.196463776104438","2"
"Min 1x per week","1997","Employed","Rural Area","584","0.246320901814952","0.230289907289261","0.262351896340644","2"
"Min 1x per week","1997","Not Employed","Urban Area","621","0.192608835169432","0.178749321369258","0.206468348969606","2"
"Min 1x per week","1997","Employed","Urban Area","1512","0.315101591417221","0.302635817217698","0.327567365616743","2"
"Never","1997","Not Employed","Urban Area","2019","0.670963797948784","0.654450292180756","0.687477303716813","5"
"Never","1997","Not Employed","Rural Area","1020","0.669094718905963","0.645684909235007","0.69250452857692","5"
"Never","1997","Employed","Urban Area","2255","0.378061246862011","0.365049495088157","0.391072998635865","5"
"Never","1997","Employed","Rural Area","1265","0.429285340595388","0.410869178010119","0.447701503180657","5"
"Rarely","1997","Employed","Rural Area","738","0.254742461669834","0.238531064094803","0.270953859244865","4"
"Rarely","1997","Not Employed","Urban Area","356","0.104365968126717","0.0936208141508772","0.115111122102556","4"
"Rarely","1997","Not Employed","Rural Area","211","0.112984691395346","0.0972347989630308","0.12873458382766","4"
"Rarely","1997","Employed","Urban Area","1173","0.234030401584638","0.222669238750876","0.245391564418401","4"
"Daily","1998","Not Employed","Urban Area","160","0.0435562616275494","0.0368703352390481","0.0502421880160507","1"
"Daily","1998","Not Employed","Rural Area","83","0.0482878590015971","0.0383899723169595","0.0581857456862346","1"
"Daily","1998","Employed","Urban Area","309","0.0559325489592639","0.0500059448917603","0.0618591530267676","1"
"Daily","1998","Employed","Rural Area","129","0.0474495524095754","0.0398958970217136","0.0550032077974372","1"
"Min 1x per month","1998","Employed","Rural Area","272","0.0885757307526733","0.0784805341502283","0.0986709273551184","3"
"Min 1x per month","1998","Not Employed","Urban Area","188","0.050416696722061","0.0432493187715209","0.0575840746726012","3"
"Min 1x per month","1998","Not Employed","Rural Area","81","0.0380182601083958","0.0291884730375731","0.0468480471792186","3"
"Min 1x per month","1998","Employed","Urban Area","565","0.102405772788803","0.0945863563717955","0.11022518920581","3"
"Min 1x per week","1998","Employed","Urban Area","1611","0.313630635282277","0.301664324410825","0.325596946153729","2"
"Min 1x per week","1998","Not Employed","Urban Area","646","0.185739914886419","0.173000755482409","0.198479074290429","2"
"Min 1x per week","1998","Not Employed","Rural Area","293","0.162338923038404","0.145312783204863","0.179365062871945","2"
"Min 1x per week","1998","Employed","Rural Area","719","0.257990072680279","0.242444616527539","0.273535528833018","2"
"Never","1998","Not Employed","Urban Area","2059","0.580098245768417","0.563931180252213","0.59626531128462","5"
"Never","1998","Not Employed","Rural Area","1024","0.575661764924291","0.552842036427719","0.598481493420863","5"
"Never","1998","Employed","Urban Area","1857","0.287776616932118","0.276100243876228","0.299452989988008","5"
"Never","1998","Employed","Rural Area","1001","0.310237811232014","0.293801885486792","0.326673736977236","5"
"Rarely","1998","Employed","Rural Area","922","0.295746832925459","0.279531660524411","0.311962005326507","4"
"Rarely","1998","Not Employed","Rural Area","321","0.175693192927313","0.158122349509687","0.193264036344938","4"
"Rarely","1998","Employed","Urban Area","1433","0.240254426037538","0.229235433609131","0.251273418465946","4"
"Rarely","1998","Not Employed","Urban Area","527","0.140188880995554","0.128816146749708","0.151561615241401","4"
"Daily","1999","Not Employed","Urban Area","","","","","1"
"Daily","1999","Not Employed","Rural Area","","","","","1"
"Daily","1999","Employed","Urban Area","","","","","1"
"Daily","1999","Employed","Rural Area","","","","","1"
"Min 1x per month","1999","Employed","Rural Area","232","0.074725900334287","0.0653462355964734","0.0841055650721006","3"
"Min 1x per month","1999","Not Employed","Rural Area","63","0.0394778699481993","0.0301075279580545","0.0488482119383441","3"
"Min 1x per month","1999","Employed","Urban Area","507","0.0868930822985861","0.0795953213016621","0.09419084329551","3"
"Min 1x per month","1999","Not Employed","Urban Area","125","0.0341667077604286","0.0279010492590509","0.0404323662618063","3"
"Min 1x per week","1999","Not Employed","Urban Area","623","0.190075035010871","0.176541881724418","0.203608188297323","2"
"Min 1x per week","1999","Employed","Urban Area","1671","0.323691221012082","0.31156922348845","0.335813218535714","2"
"Min 1x per week","1999","Employed","Rural Area","711","0.260634806996871","0.244975871244065","0.276293742749677","2"
"Min 1x per week","1999","Not Employed","Rural Area","283","0.172737108555473","0.154546824010679","0.190927393100267","2"
"Never","1999","Not Employed","Urban Area","2089","0.664150376203128","0.647860427636498","0.680440324769759","5"
"Never","1999","Not Employed","Rural Area","1086","0.65569017546012","0.632826347491111","0.678554003429129","5"
"Never","1999","Employed","Urban Area","2183","0.357383167745283","0.344967236083236","0.36979909940733","5"
"Never","1999","Employed","Rural Area","1276","0.405824844634561","0.38830851561356","0.423341173655563","5"
"Rarely","1999","Employed","Urban Area","1362","0.232032528944049","0.221095935518259","0.242969122369838","4"
"Rarely","1999","Employed","Rural Area","800","0.258814448034281","0.243191094320352","0.274437801748209","4"
"Rarely","1999","Not Employed","Urban Area","392","0.111607881025572","0.10074703020454","0.122468731846604","4"
"Rarely","1999","Not Employed","Rural Area","227","0.132094846036207","0.115801736838094","0.14838795523432","4"
"Daily","2000","Not Employed","Urban Area","","","","","1"
"Daily","2000","Not Employed","Rural Area","","","","","1"
"Daily","2000","Employed","Rural Area","","","","","1"
"Daily","2000","Employed","Urban Area","","","","","1"
"Min 1x per month","2000","Employed","Urban Area","","","","","3"
"Min 1x per month","2000","Employed","Rural Area","","","","","3"
"Min 1x per month","2000","Not Employed","Urban Area","","","","","3"
"Min 1x per month","2000","Not Employed","Rural Area","","","","","3"
"Min 1x per week","2000","Employed","Rural Area","","","","","2"
"Min 1x per week","2000","Not Employed","Rural Area","","","","","2"
"Min 1x per week","2000","Not Employed","Urban Area","","","","","2"
"Min 1x per week","2000","Employed","Urban Area","","","","","2"
"Never","2000","Not Employed","Urban Area","","","","","5"
"Never","2000","Not Employed","Rural Area","","","","","5"
"Never","2000","Employed","Urban Area","","","","","5"
"Never","2000","Employed","Rural Area","","","","","5"
"Rarely","2000","Employed","Rural Area","","","","","4"
"Rarely","2000","Employed","Urban Area","","","","","4"
"Rarely","2000","Not Employed","Urban Area","","","","","4"
"Rarely","2000","Not Employed","Rural Area","","","","","4"
"Daily","2001","Not Employed","Urban Area","","","","","1"
"Daily","2001","Not Employed","Rural Area","","","","","1"
"Daily","2001","Employed","Rural Area","","","","","1"
"Daily","2001","Employed","Urban Area","","","","","1"
"Min 1x per month","2001","Employed","Rural Area","316","0.0613495832707315","0.0544883352947013","0.0682108312467617","3"
"Min 1x per month","2001","Employed","Urban Area","746","0.0848807073167448","0.079162301072349","0.0905991135611405","3"
"Min 1x per month","2001","Not Employed","Urban Area","201","0.0380228826964047","0.0328563992605996","0.0431893661322099","3"
"Min 1x per month","2001","Not Employed","Rural Area","109","0.0374369578400282","0.0303689878849708","0.0445049277950855","3"
"Min 1x per week","2001","Not Employed","Rural Area","481","0.16854677107209","0.154608498322253","0.182485043821926","2"
"Min 1x per week","2001","Employed","Urban Area","3002","0.337548492389304","0.32784614574109","0.347250839037518","2"
"Min 1x per week","2001","Employed","Rural Area","1278","0.284907407371529","0.27200180207548","0.297813012667579","2"
"Min 1x per week","2001","Not Employed","Urban Area","1128","0.204529113446749","0.19363279308499","0.215425433808509","2"
"Never","2001","Not Employed","Urban Area","3365","0.659929793094201","0.647132346930422","0.67272723925798","5"
"Never","2001","Not Employed","Rural Area","1922","0.714233717312636","0.69741257461546","0.731054860009813","5"
"Never","2001","Employed","Urban Area","3544","0.376910271988075","0.366967077435801","0.386853466540348","5"
"Never","2001","Employed","Rural Area","2075","0.44400787120392","0.429801766058216","0.458213976349623","5"
"Rarely","2001","Not Employed","Rural Area","259","0.0797825537752463","0.0696939973745163","0.0898711101759762","4"
