"pli0092_h","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Full Time","Urban Area","","","","","1"
"Daily","1985","Full Time","Rural Area","","","","","1"
"Daily","1985","Part Time","Urban Area","","","","","1"
"Daily","1985","Part Time","Rural Area","","","","","1"
"Daily","1985","Not Working","Urban Area","","","","","1"
"Daily","1985","Not Working","Rural Area","","","","","1"
"Min 1x per month","1985","Full Time","Urban Area","215","0.0583260463247208","0.0510350128886667","0.0656170797607749","3"
"Min 1x per month","1985","Part Time","Urban Area","79","0.0506636436676328","0.0394296074543416","0.061897679880924","3"
"Min 1x per month","1985","Full Time","Rural Area","69","0.0720819205605388","0.055789770355393","0.0883740707656846","3"
"Min 1x per month","1985","Part Time","Rural Area","20","","","","3"
"Min 1x per month","1985","Not Working","Urban Area","125","0.0363991791850093","0.029968350699749","0.0428300076702696","3"
"Min 1x per month","1985","Not Working","Rural Area","34","0.0324278305453234","0.0208873356577563","0.0439683254328904","3"
"Min 1x per week","1985","Full Time","Rural Area","249","0.273533891270242","0.245452173942873","0.301615608597611","2"
"Min 1x per week","1985","Full Time","Urban Area","974","0.29208988868806","0.277943197902595","0.306236579473525","2"
"Min 1x per week","1985","Part Time","Urban Area","379","0.286448047636366","0.26328939517883","0.309606700093903","2"
"Min 1x per week","1985","Not Working","Urban Area","603","0.178429008482375","0.165281973141217","0.191576043823533","2"
"Min 1x per week","1985","Part Time","Rural Area","105","0.290780214534137","0.245418383768919","0.336142045299355","2"
"Min 1x per week","1985","Not Working","Rural Area","160","0.164791487356146","0.140620819847492","0.1889621548648","2"
"Never","1985","Full Time","Urban Area","2173","0.479785734217819","0.464243181978962","0.495328286456677","5"
"Never","1985","Full Time","Rural Area","487","0.490187645512343","0.458695897270705","0.521679393753981","5"
"Never","1985","Part Time","Urban Area","773","0.503631285698274","0.478019721503831","0.529242849892717","5"
"Never","1985","Part Time","Rural Area","206","0.515214172139828","0.465292791905605","0.565135552374052","5"
"Never","1985","Not Working","Urban Area","2224","0.703762706095142","0.688084168872427","0.719441243317858","5"
"Never","1985","Not Working","Rural Area","641","0.735740857289791","0.707013131329887","0.764468583249696","5"
"Rarely","1985","Part Time","Rural Area","54","0.146060953277833","0.110783418570771","0.181338487984894","4"
"Rarely","1985","Full Time","Rural Area","163","0.164196542656876","0.140859571031123","0.187533514282629","4"
"Rarely","1985","Part Time","Urban Area","233","0.159257022997727","0.140513187100594","0.17800085889486","4"
"Rarely","1985","Full Time","Urban Area","607","0.1697983307694","0.15811770658749","0.18147895495131","4"
"Rarely","1985","Not Working","Urban Area","306","0.0814091062374735","0.0720190085070687","0.0907992039678782","4"
"Rarely","1985","Not Working","Rural Area","70","0.0670398248087396","0.050746047005321","0.0833336026121582","4"
"Daily","1986","Full Time","Urban Area","","","","","1"
"Daily","1986","Full Time","Rural Area","","","","","1"
"Daily","1986","Part Time","Urban Area","","","","","1"
"Daily","1986","Part Time","Rural Area","","","","","1"
"Daily","1986","Not Working","Urban Area","","","","","1"
"Daily","1986","Not Working","Rural Area","","","","","1"
"Min 1x per month","1986","Full Time","Urban Area","266","0.0745562890067051","0.0662611799982112","0.0828513980151991","3"
"Min 1x per month","1986","Part Time","Urban Area","77","0.0609592084065243","0.048567292129343","0.0733511246837056","3"
"Min 1x per month","1986","Full Time","Rural Area","66","0.067496012218478","0.0516917284618932","0.0833002959750627","3"
"Min 1x per month","1986","Not Working","Urban Area","106","0.0302424592789715","0.0242003264972324","0.0362845920607106","3"
"Min 1x per month","1986","Part Time","Rural Area","24","","","","3"
"Min 1x per month","1986","Not Working","Rural Area","28","","","","3"
"Min 1x per week","1986","Full Time","Urban Area","990","0.295926065374099","0.281511362493155","0.310340768255042","2"
"Min 1x per week","1986","Full Time","Rural Area","257","0.285193145347703","0.256750216942235","0.313636073753171","2"
"Min 1x per week","1986","Part Time","Urban Area","408","0.310393437422133","0.286430859388399","0.334356015455867","2"
"Min 1x per week","1986","Part Time","Rural Area","103","0.276622985590756","0.232170118717392","0.32107585246412","2"
"Min 1x per week","1986","Not Working","Urban Area","630","0.181323241716132","0.167729685167872","0.194916798264391","2"
"Min 1x per week","1986","Not Working","Rural Area","155","0.171050704988373","0.144957374493145","0.197144035483601","2"
"Never","1986","Full Time","Urban Area","2038","0.46859046139959","0.45283190804329","0.484349014755891","5"
"Never","1986","Full Time","Rural Area","484","0.477349995389109","0.44588451598426","0.508815474793958","5"
"Never","1986","Part Time","Urban Area","754","0.487042840808471","0.461154708963655","0.512930972653288","5"
"Never","1986","Part Time","Rural Area","191","0.481916856871157","0.432262303472364","0.53157141026995","5"
"Never","1986","Not Working","Urban Area","2100","0.717629673289181","0.701747502849412","0.73351184372895","5"
"Never","1986","Not Working","Rural Area","571","0.752703557172941","0.722806804652129","0.782600309693753","5"
"Rarely","1986","Part Time","Rural Area","71","0.181244533710535","0.142963570637879","0.219525496783192","4"
"Rarely","1986","Full Time","Rural Area","161","0.16996084704471","0.146299789865829","0.193621904223591","4"
"Rarely","1986","Full Time","Urban Area","558","0.160927184219606","0.149322869906699","0.172531498532513","4"
"Rarely","1986","Part Time","Urban Area","193","0.141604513362872","0.123546962671073","0.15966206405467","4"
"Rarely","1986","Not Working","Urban Area","250","0.0708046257157156","0.0617549198197464","0.0798543316116848","4"
"Rarely","1986","Not Working","Rural Area","46","0.0453440229530461","0.0309266355040915","0.0597614104020007","4"
"Daily","1987","Full Time","Urban Area","","","","","1"
"Daily","1987","Full Time","Rural Area","","","","","1"
"Daily","1987","Part Time","Urban Area","","","","","1"
"Daily","1987","Part Time","Rural Area","","","","","1"
"Daily","1987","Not Working","Urban Area","","","","","1"
"Daily","1987","Not Working","Rural Area","","","","","1"
"Min 1x per month","1987","Full Time","Urban Area","","","","","3"
"Min 1x per month","1987","Part Time","Urban Area","","","","","3"
"Min 1x per month","1987","Full Time","Rural Area","","","","","3"
"Min 1x per month","1987","Part Time","Rural Area","","","","","3"
"Min 1x per month","1987","Not Working","Urban Area","","","","","3"
"Min 1x per month","1987","Not Working","Rural Area","","","","","3"
"Min 1x per week","1987","Full Time","Rural Area","","","","","2"
"Min 1x per week","1987","Full Time","Urban Area","","","","","2"
"Min 1x per week","1987","Part Time","Rural Area","","","","","2"
"Min 1x per week","1987","Part Time","Urban Area","","","","","2"
"Min 1x per week","1987","Not Working","Urban Area","","","","","2"
"Min 1x per week","1987","Not Working","Rural Area","","","","","2"
"Never","1987","Full Time","Urban Area","","","","","5"
"Never","1987","Full Time","Rural Area","","","","","5"
"Never","1987","Part Time","Urban Area","","","","","5"
"Never","1987","Not Working","Urban Area","","","","","5"
"Never","1987","Part Time","Rural Area","","","","","5"
"Never","1987","Not Working","Rural Area","","","","","5"
"Rarely","1987","Full Time","Urban Area","","","","","4"
"Rarely","1987","Full Time","Rural Area","","","","","4"
"Rarely","1987","Part Time","Urban Area","","","","","4"
"Rarely","1987","Part Time","Rural Area","","","","","4"
"Rarely","1987","Not Working","Urban Area","","","","","4"
"Rarely","1987","Not Working","Rural Area","","","","","4"
"Daily","1988","Full Time","Urban Area","","","","","1"
"Daily","1988","Full Time","Rural Area","","","","","1"
