"year","pgisced97","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","general elemantary","East Germany","","","","","","","","","","","","","",""
"1984","general elemantary","West Germany","3.85","3","3448","2","3","5","6","9","3.74","3.96","1","82","3","3"
"1984","higher education","East Germany","","","","","","","","","","","","","",""
"1984","higher education","West Germany","4.37","4","792","2","3","5","7","10","4.11","4.63","0","82","4","4"
"1984","higher vocational","East Germany","","","","","","","","","","","","","",""
"1984","higher vocational","West Germany","4.06","4","654","2","3","5","6","9","3.93","4.19","0","10","4","4"
"1984","in school","East Germany","","","","","","","","","","","","","",""
"1984","in school","West Germany","5.16","4","186","3","4","5","7","10","4.33","5.99","1","80","4","5"
"1984","inadequately","East Germany","","","","","","","","","","","","","",""
"1984","inadequately","West Germany","3.26","3","1017","2","3","4","5","8","3.19","3.33","0","10","3","3"
"1984","middle vocational","East Germany","","","","","","","","","","","","","",""
"1984","middle vocational","West Germany","3.87","3","5693","2","3","5","6","9","3.79","3.95","0","80","3","3"
"1984","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1984","vocational + Abi","West Germany","4.16","3","311","2","2","5","6","10","3.52","4.8","1","60","3","3"
"1985","general elemantary","East Germany","","","","","","","","","","","","","",""
"1985","general elemantary","West Germany","3.39","3","191","2","2","4","5","9","3.17","3.61","0","10","3","4"
"1985","higher education","East Germany","","","","","","","","","","","","","",""
"1985","higher education","West Germany","3.92","4","63","2","3","5","6","10","3.52","4.32","1","10","3","4"
"1985","higher vocational","East Germany","","","","","","","","","","","","","",""
"1985","higher vocational","West Germany","3.4","3","43","2","2","4","6","10","2.84","3.96","1","10","3","4"
"1985","in school","East Germany","","","","","","","","","","","","","",""
"1985","in school","West Germany","","","","","","","","","","","","","",""
"1985","inadequately","East Germany","","","","","","","","","","","","","",""
"1985","inadequately","West Germany","3.03","3","73","1","3","4","4","5","2.73","3.33","1","9","3","4"
"1985","middle vocational","East Germany","","","","","","","","","","","","","",""
"1985","middle vocational","West Germany","3.46","3","389","2","2","4","5","10","3.21","3.71","0","42","3","3"
"1985","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1985","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1986","general elemantary","East Germany","","","","","","","","","","","","","",""
"1986","general elemantary","West Germany","3","3","243","1","2","4","5","8","2.82","3.18","1","8","3","3"
"1986","higher education","East Germany","","","","","","","","","","","","","",""
"1986","higher education","West Germany","3.4","3","89","1","2","5","6","9","3","3.8","1","9","3","4"
"1986","higher vocational","East Germany","","","","","","","","","","","","","",""
"1986","higher vocational","West Germany","3.15","3","54","1","2","4","6","10","2.64","3.66","1","10","3","4"
"1986","in school","East Germany","","","","","","","","","","","","","",""
"1986","in school","West Germany","","","","","","","","","","","","","",""
"1986","inadequately","East Germany","","","","","","","","","","","","","",""
"1986","inadequately","West Germany","3.05","3","82","2","2","3","5","8","2.72","3.38","1","8","3","3"
"1986","middle vocational","East Germany","","","","","","","","","","","","","",""
"1986","middle vocational","West Germany","3.3","3","468","2","2","4","6","8","3.17","3.43","1","11","3","3"
"1986","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1986","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1987","general elemantary","East Germany","","","","","","","","","","","","","",""
"1987","general elemantary","West Germany","2.84","3","193","1","2","4","4","7","2.66","3.02","1","9","3","3"
"1987","higher education","East Germany","","","","","","","","","","","","","",""
"1987","higher education","West Germany","3.47","3","88","2","3","5","5","7","3.18","3.76","1","7","3","4"
"1987","higher vocational","East Germany","","","","","","","","","","","","","",""
"1987","higher vocational","West Germany","3.74","4","42","2","3","4","6","7","3.32","4.16","2","7","3","4"
"1987","in school","East Germany","","","","","","","","","","","","","",""
"1987","in school","West Germany","","","","","","","","","","","","","",""
"1987","inadequately","East Germany","","","","","","","","","","","","","",""
"1987","inadequately","West Germany","2.96","3","80","1","2","3","4","7","2.65","3.27","1","9","3","3"
"1987","middle vocational","East Germany","","","","","","","","","","","","","",""
"1987","middle vocational","West Germany","3.22","3","396","2","2","4","5","7","3.09","3.35","1","8","3","3"
"1987","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1987","vocational + Abi","West Germany","3.09","3","38","1","2","4","4","8","2.6","3.58","1","8","2","4"
"1988","general elemantary","East Germany","","","","","","","","","","","","","",""
"1988","general elemantary","West Germany","2.87","3","209","1","2","4","5","8","2.65","3.09","1","9","3","3"
"1988","higher education","East Germany","","","","","","","","","","","","","",""
"1988","higher education","West Germany","3.85","3","67","1","2","6","6","10","3.34","4.36","1","10","3","4"
"1988","higher vocational","East Germany","","","","","","","","","","","","","",""
"1988","higher vocational","West Germany","3.02","3","48","2","2","4","6","6","2.65","3.39","1","6","2","3"
"1988","in school","East Germany","","","","","","","","","","","","","",""
"1988","in school","West Germany","","","","","","","","","","","","","",""
"1988","inadequately","East Germany","","","","","","","","","","","","","",""
"1988","inadequately","West Germany","2.62","2","67","2","2","3","4","8","2.19","3.05","1","8","2","3"
"1988","middle vocational","East Germany","","","","","","","","","","","","","",""
"1988","middle vocational","West Germany","3.18","3","378","1","2","4","5","9","3.01","3.35","0","11","3","3"
"1988","vocational + Abi","East Germany","","","","","","","","","","","","","",""
"1988","vocational + Abi","West Germany","","","","","","","","","","","","","",""
"1989","general elemantary","East Germany","","","","","","","","","","","","","",""
"1989","general elemantary","West Germany","3.05","3","189","2","2","3","5","8","2.84","3.26","1","8","3","3"
"1989","higher education","East Germany","","","","","","","","","","","","","",""
"1989","higher education","West Germany","3.53","3","78","2","2","5","6","10","3.12","3.94","1","10","3","4"
"1989","higher vocational","East Germany","","","","","","","","","","","","","",""
"1989","higher vocational","West Germany","4.1","4","38","2","3","6","7","8","3.5","4.7","2","8","3","4"
"1989","in school","East Germany","","","","","","","","","","","","","",""
"1989","in school","West Germany","","","","","","","","","","","","","",""
"1989","inadequately","East Germany","","","","","","","","","","","","","",""
"1989","inadequately","West Germany","3.05","3","55","1","2","4","5","7","2.65","3.45","0","7","3","3"
