"ple0008","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence","value"
"Good","1992","(Married) couple without C. ","Male","580","0.328558388412233","0.305749823810808","0.351366953013657","2"
"Good","1992","Single parent ","Female","171","0.417105435274827","0.370337081744733","0.463873788804921","2"
"Good","1992","1-pers.-HH","Female","211","0.209977052954905","0.182866129343336","0.237087976566473","2"
"Good","1992","Single parent ","Male","95","0.449497967516873","0.382536727101014","0.516459207932732","2"
"Good","1992","1-pers.-HH","Male","218","0.442649508859364","0.398307153371683","0.486991864347046","2"
"Good","1992","(Married) couple without C. ","Female","561","0.329206575570299","0.306545959201809","0.351867191938789","2"
"Good","1992","Couple + C. LE 16 ","Male","862","0.516713331798079","0.492453849438382","0.540972814157777","2"
"Good","1992","Couple + C. LE 16 ","Female","877","0.517351511077093","0.493342196250573","0.541360825903613","2"
"Good","1992","Couple + C. GT 16 ","Male","608","0.408072118477075","0.383225261476421","0.43291897547773","2"
"Good","1992","Couple + C. LE and GT 16","Male","253","0.43823543578221","0.398763842087837","0.477707029476583","2"
"Good","1992","Couple + C. LE and GT 16","Female","246","0.447270494275047","0.405754662774936","0.488786325775157","2"
"Good","1992","Couple + C. GT 16 ","Female","510","0.407638356320878","0.380187869541393","0.435088843100363","2"
"Less good","1992","(Married) couple without C. ","Female","246","0.157649477949729","0.140076888500361","0.175222067399096","4"
"Less good","1992","Couple + C. LE 16 ","Male","94","0.0573622239267217","0.0460736339448253","0.0686508139086181","4"
"Less good","1992","1-pers.-HH","Male","42","0.0985088401615221","0.0719050869217412","0.125112593401303","4"
"Less good","1992","(Married) couple without C. ","Male","222","0.150102208449605","0.132757602393689","0.16744681450552","4"
"Less good","1992","Single parent ","Female","42","0.086845361291","0.0601350080568196","0.11355571452518","4"
"Less good","1992","1-pers.-HH","Female","185","0.232621428830368","0.204498002175339","0.260744855485397","4"
"Less good","1992","Single parent ","Male","13","","","","4"
"Less good","1992","Couple + C. LE 16 ","Female","105","0.0631322205701552","0.051447021535597","0.0748174196047134","4"
"Less good","1992","Couple + C. LE and GT 16","Male","41","0.067274118377734","0.0473465289405257","0.0872017078149424","4"
"Less good","1992","Couple + C. GT 16 ","Male","142","0.0971720481688141","0.0821979120255703","0.112146184312058","4"
"Less good","1992","Couple + C. GT 16 ","Female","146","0.118734053693748","0.100663968235449","0.136804139152046","4"
"Less good","1992","Couple + C. LE and GT 16","Female","54","0.0902386135436029","0.0663146986634434","0.114162528423762","4"
"Poor","1992","1-pers.-HH","Male","22","","","","5"
"Poor","1992","1-pers.-HH","Female","71","0.0998934571945952","0.079933756549381","0.119853157839809","5"
"Poor","1992","(Married) couple without C. ","Male","99","0.0705395122004329","0.0581052723331237","0.0829737520677421","5"
"Poor","1992","Couple + C. LE 16 ","Female","18","","","","5"
"Poor","1992","(Married) couple without C. ","Female","89","0.06048485578759","0.0489896093351924","0.0719801022399876","5"
"Poor","1992","Single parent ","Male","7","","","","5"
"Poor","1992","Single parent ","Female","21","","","","5"
"Poor","1992","Couple + C. LE 16 ","Male","19","","","","5"
"Poor","1992","Couple + C. GT 16 ","Male","40","0.0280174693775554","0.0196746607148033","0.0363602780403076","5"
"Poor","1992","Couple + C. GT 16 ","Female","41","0.0318003719473283","0.0219983059990786","0.0416024378955781","5"
"Poor","1992","Couple + C. LE and GT 16","Male","14","","","","5"
"Poor","1992","Couple + C. LE and GT 16","Female","16","","","","5"
"Satisfactory","1992","(Married) couple without C. ","Male","551","0.360688596857626","0.337369593741486","0.384007599973767","3"
"Satisfactory","1992","Single parent ","Male","48","0.245248344966503","0.187334121146378","0.303162568786629","3"
"Satisfactory","1992","1-pers.-HH","Female","320","0.371723179694422","0.339555192845102","0.403891166543743","3"
"Satisfactory","1992","Couple + C. LE 16 ","Female","355","0.223389115396737","0.203376485179712","0.243401745613762","3"
"Satisfactory","1992","1-pers.-HH","Male","123","0.271356122165581","0.231659637975842","0.311052606355321","3"
"Satisfactory","1992","(Married) couple without C. ","Female","604","0.364014790347123","0.340812754554176","0.387216826140069","3"
"Satisfactory","1992","Couple + C. LE 16 ","Male","349","0.228286681281051","0.207910510407889","0.248662852154214","3"
"Satisfactory","1992","Couple + C. LE and GT 16","Male","136","0.227432582775908","0.194086234544804","0.260778931007013","3"
"Satisfactory","1992","Single parent ","Female","125","0.314285414906453","0.270253460700082","0.358317369112824","3"
"Satisfactory","1992","Couple + C. GT 16 ","Female","361","0.307162099367387","0.281391845511282","0.332932353223492","3"
"Satisfactory","1992","Couple + C. GT 16 ","Male","385","0.267688932856057","0.245305246711477","0.290072619000636","3"
"Satisfactory","1992","Couple + C. LE and GT 16","Female","124","0.248249081516793","0.212178503608684","0.284319659424902","3"
"Very good","1992","1-pers.-HH","Male","77","0.140828243526126","0.109774822667441","0.171881664384811","1"
"Very good","1992","1-pers.-HH","Female","80","0.0857848813257096","0.0671439279922133","0.104425834659206","1"
"Very good","1992","(Married) couple without C. ","Male","177","0.0901112940801035","0.076206284278412","0.104016303881795","1"
"Very good","1992","(Married) couple without C. ","Female","152","0.0886443003452595","0.0749382464631158","0.102350354227403","1"
"Very good","1992","Single parent ","Male","49","0.224962055976242","0.16875429581465","0.281169816137833","1"
"Very good","1992","Single parent ","Female","68","0.127917877940778","0.09623836701067","0.159597388870886","1"
"Very good","1992","Couple + C. LE 16 ","Male","306","0.184186353501074","0.165368135445754","0.203004571556394","1"
"Very good","1992","Couple + C. LE 16 ","Female","309","0.183414167643441","0.164819484169212","0.20200885111767","1"
"Very good","1992","Couple + C. GT 16 ","Male","328","0.199049431120498","0.178863353998082","0.219235508242915","1"
"Very good","1992","Couple + C. GT 16 ","Female","173","0.134665118670659","0.115595644017784","0.153734593323533","1"
"Very good","1992","Couple + C. LE and GT 16","Male","163","0.242443928140788","0.208350804523624","0.276537051757952","1"
"Very good","1992","Couple + C. LE and GT 16","Female","111","0.186694034128776","0.154158009310827","0.219230058946725","1"
"Good","1993","1-pers.-HH","Male","","","","","2"
"Good","1993","(Married) couple without C. ","Female","","","","","2"
"Good","1993","1-pers.-HH","Female","","","","","2"
"Good","1993","(Married) couple without C. ","Male","","","","","2"
"Good","1993","Single parent ","Male","","","","","2"
"Good","1993","Single parent ","Female","","","","","2"
"Good","1993","Couple + C. LE 16 ","Male","","","","","2"
"Good","1993","Couple + C. LE 16 ","Female","","","","","2"
"Good","1993","Couple + C. LE and GT 16","Male","","","","","2"
"Good","1993","Couple + C. GT 16 ","Female","","","","","2"
"Good","1993","Couple + C. GT 16 ","Male","","","","","2"
"Good","1993","Couple + C. LE and GT 16","Female","","","","","2"
"Less good","1993","(Married) couple without C. ","Male","","","","","4"
"Less good","1993","1-pers.-HH","Female","","","","","4"
"Less good","1993","Single parent ","Male","","","","","4"
"Less good","1993","1-pers.-HH","Male","","","","","4"
"Less good","1993","(Married) couple without C. ","Female","","","","","4"
"Less good","1993","Couple + C. LE 16 ","Female","","","","","4"
"Less good","1993","Single parent ","Female","","","","","4"
"Less good","1993","Couple + C. LE 16 ","Male","","","","","4"
"Less good","1993","Couple + C. GT 16 ","Male","","","","","4"
"Less good","1993","Couple + C. LE and GT 16","Female","","","","","4"
"Less good","1993","Couple + C. LE and GT 16","Male","","","","","4"
"Less good","1993","Couple + C. GT 16 ","Female","","","","","4"
"Poor","1993","1-pers.-HH","Male","","","","","5"
"Poor","1993","1-pers.-HH","Female","","","","","5"
"Poor","1993","(Married) couple without C. ","Male","","","","","5"
"Poor","1993","(Married) couple without C. ","Female","","","","","5"
"Poor","1993","Single parent ","Male","","","","","5"
