"ple0008","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Schleswig-Holstein","no migration background","38","0.156335549013661","0.110000904432546","0.202670193594776"
"Very good","1992","Schleswig-Holstein","direct migration background","8","","",""
"Very good","1992","Schleswig-Holstein","indirect migration background","1","","",""
"Very good","1992","Hamburg","no migration background","15","","",""
"Very good","1992","Hamburg","direct migration background","5","","",""
"Very good","1992","Hamburg","indirect migration background","1","","",""
"Very good","1992","Lower Saxony","no migration background","124","0.136715067700025","0.112953472679766","0.160476662720285"
"Very good","1992","Lower Saxony","direct migration background","16","","",""
"Very good","1992","Lower Saxony","indirect migration background","17","","",""
"Very good","1992","Bremen","no migration background","9","","",""
"Very good","1992","Bremen","direct migration background","2","","",""
"Very good","1992","Bremen","indirect migration background","1","","",""
"Very good","1992","North Rhine-Westphalia","no migration background","282","0.135131559901759","0.119267874602398","0.150995245201119"
"Very good","1992","North Rhine-Westphalia","direct migration background","112","0.168514486226937","0.139445871300727","0.197583101153147"
"Very good","1992","North Rhine-Westphalia","indirect migration background","45","0.357481376437119","0.269116751147386","0.445846001726853"
"Very good","1992","Hesse","no migration background","81","0.125818820553017","0.0991034766846622","0.152534164421372"
"Very good","1992","Hesse","direct migration background","51","0.135231736432229","0.0978219905113985","0.17264148235306"
"Very good","1992","Hesse","indirect migration background","24","","",""
"Very good","1992","Rhineland-Palatinate,Saarland","no migration background","65","0.109418576711055","0.0828674364429451","0.135969716979164"
"Very good","1992","Rhineland-Palatinate,Saarland","direct migration background","20","","",""
"Very good","1992","Rhineland-Palatinate,Saarland","indirect migration background","7","","",""
"Very good","1992","Baden-Württemberg","no migration background","131","0.113602054952031","0.0939046970629876","0.133299412841075"
"Very good","1992","Baden-Württemberg","direct migration background","98","0.156531852311756","0.129160928089582","0.18390277653393"
"Very good","1992","Baden-Württemberg","indirect migration background","42","0.317517371037102","0.225352674142349","0.409682067931855"
"Very good","1992","Bavaria","no migration background","199","0.138450887650075","0.119078723028868","0.157823052271282"
"Very good","1992","Bavaria","direct migration background","53","0.144660963971208","0.10852478545634","0.180797142486076"
"Very good","1992","Bavaria","indirect migration background","21","","",""
"Very good","1992","Berlin","no migration background","76","0.125323967712384","0.0956432209274312","0.155004714497337"
"Very good","1992","Berlin","direct migration background","10","","",""
"Very good","1992","Berlin","indirect migration background","8","","",""
"Very good","1992","Brandenburg","no migration background","111","0.144948628852519","0.117779770264392","0.172117487440646"
"Very good","1992","Brandenburg","direct migration background","3","","",""
"Very good","1992","Brandenburg","indirect migration background","","","",""
"Very good","1992","Mecklenburg-Western Pomerania","no migration background","59","0.129465143491474","0.0966068188786199","0.162323468104328"
"Very good","1992","Mecklenburg-Western Pomerania","direct migration background","3","","",""
"Very good","1992","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"Very good","1992","Saxony","no migration background","160","0.128773958669568","0.109148830797351","0.148399086541785"
"Very good","1992","Saxony","direct migration background","3","","",""
"Very good","1992","Saxony","indirect migration background","","","",""
"Very good","1992","Saxony-Anhalt","no migration background","125","0.178935736237774","0.151356435173667","0.206515037301881"
"Very good","1992","Saxony-Anhalt","direct migration background","2","","",""
"Very good","1992","Saxony-Anhalt","indirect migration background","1","","",""
"Very good","1992","Thuringia","no migration background","99","0.135466199334248","0.109238168908633","0.161694229759863"
"Very good","1992","Thuringia","direct migration background","3","","",""
"Very good","1992","Thuringia","indirect migration background","1","","",""
"Good","1992","Schleswig-Holstein","no migration background","94","0.38097143710137","0.319013971868126","0.442928902334613"
"Good","1992","Schleswig-Holstein","direct migration background","7","","",""
"Good","1992","Schleswig-Holstein","indirect migration background","3","","",""
"Good","1992","Hamburg","no migration background","41","0.317370577774876","0.229178000371002","0.40556315517875"
"Good","1992","Hamburg","direct migration background","13","","",""
"Good","1992","Hamburg","indirect migration background","4","","",""
"Good","1992","Lower Saxony","no migration background","302","0.352579214939987","0.319533740566684","0.38562468931329"
"Good","1992","Lower Saxony","direct migration background","51","0.338660947557952","0.260267688980658","0.417054206135246"
"Good","1992","Lower Saxony","indirect migration background","10","","",""
"Good","1992","Bremen","no migration background","31","0.377473172111194","0.271906297764004","0.483040046458385"
"Good","1992","Bremen","direct migration background","4","","",""
