"ple0008","year","age_gr","migback","n","percent","lower_confidence","upper_confidence"
"Very good","1992","16-34 y.","no migration background","1060","0.2728059168722","0.258590097853662","0.287021735890738"
"Very good","1992","16-34 y.","direct migration background","249","0.280630846200942","0.250282456375103","0.31097923602678"
"Very good","1992","16-34 y.","indirect migration background","166","0.420749084163754","0.370915471745997","0.470582696581511"
"Very good","1992","35-65 y.","no migration background","488","0.0895052534483339","0.0818102924793266","0.0972002144173413"
"Very good","1992","35-65 y.","direct migration background","134","0.108800675544193","0.0934660306773971","0.12413532041099"
"Very good","1992","35-65 y.","indirect migration background","4","","",""
"Very good","1992","66 and older","no migration background","26","","",""
"Very good","1992","66 and older","direct migration background","6","","",""
"Very good","1992","66 and older","indirect migration background","","","",""
"Good","1992","16-34 y.","no migration background","1905","0.50401219493874","0.488054291000939","0.519970098876542"
"Good","1992","16-34 y.","direct migration background","420","0.513167956531688","0.479407260766882","0.546928652296493"
"Good","1992","16-34 y.","indirect migration background","155","0.412293801361648","0.362604721533516","0.461982881189779"
"Good","1992","35-65 y.","no migration background","2219","0.394232193965655","0.381059561528501","0.407404826402808"
"Good","1992","35-65 y.","direct migration background","558","0.35733976357733","0.33374031312038","0.38093921403428"
"Good","1992","35-65 y.","indirect migration background","12","","",""
"Good","1992","66 and older","no migration background","245","0.181825830160996","0.161120427147186","0.202531233174805"
"Good","1992","66 and older","direct migration background","30","0.211577829060891","0.143680110237303","0.279475547884479"
"Good","1992","66 and older","indirect migration background","","","",""
"Satisfactory","1992","16-34 y.","no migration background","638","0.176478213873481","0.164310669995125","0.188645757751838"
"Satisfactory","1992","16-34 y.","direct migration background","130","0.163207381665806","0.138245871057058","0.188168892274554"
"Satisfactory","1992","16-34 y.","indirect migration background","34","0.100519544440462","0.070166760020534","0.13087232886039"
"Satisfactory","1992","35-65 y.","no migration background","1792","0.351294378190422","0.338426620727993","0.364162135652852"
"Satisfactory","1992","35-65 y.","direct migration background","507","0.314906443281878","0.292032754001001","0.337780132562755"
"Satisfactory","1992","35-65 y.","indirect migration background","8","","",""
