"ple0008","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Full Time","Urban Area","779","0.175356951923597","0.164043432643911","0.186670471203284"
"Very good","1992","Full Time","Rural Area","364","0.158759508732905","0.143443216048431","0.174075801417379"
"Very good","1992","Part Time","Urban Area","280","0.165879129292052","0.147537837715297","0.184220420868806"
"Very good","1992","Part Time","Rural Area","165","0.181955701444637","0.156778000688784","0.20713340220049"
"Very good","1992","Not Working","Urban Area","358","0.0831242282453352","0.0730695570333865","0.093178899457284"
"Very good","1992","Not Working","Rural Area","153","0.0796741171412767","0.0651755481395127","0.0941726861430407"
"Good","1992","Full Time","Urban Area","2033","0.455651553230329","0.440834626004987","0.47046848045567"
"Good","1992","Full Time","Rural Area","1105","0.503154589537672","0.482199715240488","0.524109463834856"
"Good","1992","Part Time","Urban Area","683","0.439842971344984","0.415367939215825","0.464318003474143"
"Good","1992","Part Time","Rural Area","427","0.452299461689253","0.419818457944394","0.484780465434113"
"Good","1992","Not Working","Urban Area","917","0.286046024645951","0.269587084019792","0.302504965272109"
"Good","1992","Not Working","Rural Area","329","0.21805213328879","0.195943354142387","0.240160912435193"
"Satisfactory","1992","Full Time","Urban Area","1117","0.276492789167012","0.263186205684633","0.289799372649391"
"Satisfactory","1992","Full Time","Rural Area","561","0.255744010783458","0.237459320663209","0.274028700903708"
"Satisfactory","1992","Part Time","Urban Area","418","0.271201890709949","0.249280428324839","0.293123353095059"
"Satisfactory","1992","Part Time","Rural Area","235","0.281681914110562","0.252326872217303","0.31103695600382"
"Satisfactory","1992","Not Working","Urban Area","904","0.342278201907199","0.324997572727959","0.359558831086439"
"Satisfactory","1992","Not Working","Rural Area","486","0.38646285187687","0.360391112825446","0.412534590928294"
"Less good","1992","Full Time","Urban Area","350","0.08017968453472","0.0721001396765768","0.0882592293928633"
"Less good","1992","Full Time","Rural Area","126","0.0648752283959628","0.0545524184818324","0.0751980383100932"
"Less good","1992","Part Time","Urban Area","153","0.0919335212242192","0.0776867871841564","0.106180255264282"
"Less good","1992","Part Time","Rural Area","61","0.0630798220532568","0.047214775597942","0.0789448685085716"
"Less good","1992","Not Working","Urban Area","501","0.194437954710252","0.180023811512807","0.208852097907698"
"Less good","1992","Not Working","Rural Area","243","0.209869525021816","0.188066347643331","0.2316727024003"
"Poor","1992","Full Time","Urban Area","61","0.0123190211443419","0.00903731514038444","0.0156007271482994"
"Poor","1992","Full Time","Rural Area","31","0.0174666625500026","0.0119762837122609","0.0229570413877443"
"Poor","1992","Part Time","Urban Area","46","0.0311424874287963","0.0225775113960143","0.0397074634615783"
"Poor","1992","Part Time","Rural Area","14","","",""
"Poor","1992","Not Working","Urban Area","216","0.0941135904912623","0.0834792183129071","0.104747962669618"
"Poor","1992","Not Working","Rural Area","129","0.105941372671247","0.08946310744143","0.122419637901064"
"Very good","1993","Full Time","Urban Area","","","",""
"Very good","1993","Full Time","Rural Area","","","",""
"Very good","1993","Part Time","Urban Area","","","",""
"Very good","1993","Part Time","Rural Area","","","",""
"Very good","1993","Not Working","Urban Area","","","",""
"Very good","1993","Not Working","Rural Area","","","",""
"Good","1993","Full Time","Urban Area","","","",""
"Good","1993","Full Time","Rural Area","","","",""
"Good","1993","Part Time","Urban Area","","","",""
"Good","1993","Part Time","Rural Area","","","",""
"Good","1993","Not Working","Urban Area","","","",""
"Good","1993","Not Working","Rural Area","","","",""
"Satisfactory","1993","Full Time","Urban Area","","","",""
"Satisfactory","1993","Full Time","Rural Area","","","",""
"Satisfactory","1993","Part Time","Urban Area","","","",""
"Satisfactory","1993","Part Time","Rural Area","","","",""
"Satisfactory","1993","Not Working","Urban Area","","","",""
"Satisfactory","1993","Not Working","Rural Area","","","",""
"Less good","1993","Full Time","Urban Area","","","",""
"Less good","1993","Full Time","Rural Area","","","",""
"Less good","1993","Part Time","Urban Area","","","",""
"Less good","1993","Part Time","Rural Area","","","",""
"Less good","1993","Not Working","Urban Area","","","",""
"Less good","1993","Not Working","Rural Area","","","",""
"Poor","1993","Full Time","Urban Area","","","",""
"Poor","1993","Full Time","Rural Area","","","",""
"Poor","1993","Part Time","Urban Area","","","",""
"Poor","1993","Part Time","Rural Area","","","",""
"Poor","1993","Not Working","Urban Area","","","",""
"Poor","1993","Not Working","Rural Area","","","",""
"Very good","1994","Full Time","Urban Area","496","0.106324095701499","0.0967160373579703","0.115932154045029"
"Very good","1994","Full Time","Rural Area","228","0.108752673613534","0.0951827748799625","0.122322572347106"
"Very good","1994","Part Time","Urban Area","166","0.096772349528778","0.0822220895134037","0.111322609544152"
"Very good","1994","Part Time","Rural Area","102","0.14750132469578","0.12263180540092","0.17237084399064"
"Very good","1994","Not Working","Urban Area","251","0.0608101715005832","0.0523523988404762","0.0692679441606902"
"Very good","1994","Not Working","Rural Area","101","0.0464915258446267","0.0358648704150768","0.0571181812741767"
"Good","1994","Full Time","Urban Area","1816","0.459499421432971","0.443965885565395","0.475032957300546"
"Good","1994","Full Time","Rural Area","973","0.466987897407506","0.445241923468719","0.488733871346293"
"Good","1994","Part Time","Urban Area","673","0.41798385892659","0.393709723549681","0.442257994303499"
"Good","1994","Part Time","Rural Area","351","0.401715735325265","0.367333367177656","0.436098103472873"
"Good","1994","Not Working","Urban Area","980","0.274661274720322","0.258864793662241","0.290457755778403"
"Good","1994","Not Working","Rural Area","442","0.264005884641026","0.241757863174897","0.286253906107154"
"Satisfactory","1994","Full Time","Urban Area","1159","0.304636696841117","0.290290831459056","0.318982562223179"
"Satisfactory","1994","Full Time","Rural Area","639","0.330069940684966","0.30957365171888","0.350566229651053"
"Satisfactory","1994","Part Time","Urban Area","495","0.32165242103686","0.298663634295111","0.344641207778609"
"Satisfactory","1994","Part Time","Rural Area","219","0.307454260050833","0.275092132696215","0.339816387405451"
"Satisfactory","1994","Not Working","Urban Area","993","0.3558622137844","0.338917995825403","0.372806431743398"
"Satisfactory","1994","Not Working","Rural Area","588","0.394049984935006","0.369387236209267","0.418712733660745"
"Less good","1994","Full Time","Urban Area","418","0.113625741455348","0.103733910381144","0.123517572529552"
"Less good","1994","Full Time","Rural Area","157","0.0830087839499476","0.0709833120181433","0.0950342558817519"
"Less good","1994","Part Time","Urban Area","218","0.140658168214956","0.123547697597478","0.157768638832433"
"Less good","1994","Part Time","Rural Area","94","0.114094651077932","0.0917975255782084","0.136391776577656"
"Less good","1994","Not Working","Urban Area","622","0.219487414594987","0.204839156966501","0.234135672223473"
"Less good","1994","Not Working","Rural Area","259","0.204141463480883","0.183797715287837","0.224485211673929"
"Poor","1994","Full Time","Urban Area","65","0.0159140445690646","0.0120133983682839","0.0198146907698454"
"Poor","1994","Full Time","Rural Area","25","","",""
"Poor","1994","Part Time","Urban Area","34","0.022933202292816","0.0155661970611815","0.0303002075244505"
"Poor","1994","Part Time","Rural Area","15","","",""
"Poor","1994","Not Working","Urban Area","221","0.0891789253997079","0.0790924634197029","0.0992653873797128"
"Poor","1994","Not Working","Rural Area","118","0.0913111410984586","0.0767727312762575","0.10584955092066"
"Very good","1995","Full Time","Urban Area","426","0.0924081265659677","0.0832364425033706","0.101579810628565"
"Very good","1995","Full Time","Rural Area","222","0.104871861891312","0.0916857787759168","0.118057945006707"
"Very good","1995","Part Time","Urban Area","202","0.0942034367385024","0.0806636120378229","0.107743261439182"
"Very good","1995","Part Time","Rural Area","77","0.098921296462546","0.0784616699372154","0.119380922987877"
"Very good","1995","Not Working","Urban Area","271","0.064063082123708","0.0556368218059811","0.0724893424414349"
"Very good","1995","Not Working","Rural Area","114","0.0529719700286982","0.0419105141606641","0.0640334258967324"
"Good","1995","Full Time","Urban Area","1791","0.46545403259519","0.449656850239555","0.481251214950824"
"Good","1995","Full Time","Rural Area","994","0.479327316232207","0.457827130995041","0.500827501469374"
"Good","1995","Part Time","Urban Area","830","0.458156463933513","0.43506198375937","0.481250944107656"
"Good","1995","Part Time","Rural Area","389","0.454713515223469","0.420590080628727","0.488836949818212"
"Good","1995","Not Working","Urban Area","1011","0.27134243859093","0.25604114077391","0.286643736407951"
"Good","1995","Not Working","Rural Area","468","0.262328596373919","0.240603480388353","0.284053712359484"
