"ple0008","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Good","1992","Couple + C. LE and GT 16","middle vocational","185","0.439448381494976","0.391697017364941","0.487199745625012","2"
"Good","1992","1-pers.-HH","higher education","63","0.427655431205321","0.347678414038298","0.507632448372343","2"
"Good","1992","Couple + C. LE 16 ","higher education","376","0.604394964775465","0.565843118854039","0.642946810696891","2"
"Good","1992","(Married) couple without C. ","general elemantary","171","0.236743897841068","0.204014717620921","0.269473078061214","2"
"Good","1992","(Married) couple without C. ","middle vocational","651","0.348201640154338","0.326101195142335","0.370302085166342","2"
"Good","1992","Single parent ","vocational + Abi","8","","","","2"
"Good","1992","1-pers.-HH","in school","1","","","","2"
"Good","1992","1-pers.-HH","inadequately","11","","","","2"
"Good","1992","(Married) couple without C. ","in school","1","","","","2"
"Good","1992","1-pers.-HH","vocational + Abi","24","","","","2"
"Good","1992","Single parent ","higher vocational","10","","","","2"
"Good","1992","(Married) couple without C. ","higher vocational","79","0.315826286280003","0.256139601190711","0.375512971369296","2"
"Good","1992","(Married) couple without C. ","vocational + Abi","43","0.454924603201676","0.355827667310572","0.55402153909278","2"
"Good","1992","Single parent ","middle vocational","135","0.442922371644037","0.387715954347995","0.498128788940078","2"
"Good","1992","Couple + C. GT 16 ","middle vocational","597","0.44511717376728","0.418752671151655","0.471481676382905","2"
"Good","1992","Couple + C. GT 16 ","vocational + Abi","38","0.461673404255892","0.352430448019784","0.570916360492","2"
"Good","1992","Couple + C. GT 16 ","higher vocational","46","0.334080638255231","0.250725570321189","0.417435706189273","2"
"Good","1992","Couple + C. GT 16 ","higher education","105","0.396201167597057","0.335450307992331","0.456952027201782","2"
"Good","1992","Couple + C. LE and GT 16","in school","25","","","","2"
"Good","1992","Couple + C. LE and GT 16","inadequately","44","0.394708966511969","0.307975083058965","0.481442849964973","2"
"Good","1992","Couple + C. LE 16 ","middle vocational","935","0.514347447940601","0.491168245098273","0.537526650782929","2"
"Good","1992","Couple + C. LE 16 ","vocational + Abi","49","0.512827287589475","0.416763775235484","0.608890799943466","2"
"Good","1992","Couple + C. LE 16 ","higher vocational","111","0.450075165077015","0.384924587059996","0.515225743094034","2"
"Good","1992","Couple + C. LE and GT 16","higher vocational","31","0.521316916975222","0.394916817804373","0.64771701614607","2"
"Good","1992","Couple + C. LE and GT 16","higher education","54","0.520871799783717","0.422959020092613","0.618784579474821","2"
"Good","1992","1-pers.-HH","general elemantary","77","0.178521494941162","0.139017788107092","0.218025201775232","2"
"Good","1992","1-pers.-HH","middle vocational","223","0.297914573920263","0.263361919816673","0.332467228023853","2"
"Good","1992","1-pers.-HH","higher vocational","25","","","","2"
"Good","1992","(Married) couple without C. ","inadequately","24","","","","2"
"Good","1992","(Married) couple without C. ","higher education","160","0.376175438401597","0.328761901053129","0.423588975750065","2"
"Good","1992","Single parent ","in school","4","","","","2"
"Good","1992","Single parent ","inadequately","11","","","","2"
"Good","1992","Single parent ","general elemantary","53","0.342601551703618","0.269294770082575","0.415908333324661","2"
"Good","1992","Couple + C. GT 16 ","in school","42","0.464898832528141","0.364070788754533","0.56572687630175","2"
"Good","1992","Couple + C. GT 16 ","inadequately","39","0.244975291610717","0.177915643321987","0.312034939899448","2"
"Good","1992","Couple + C. GT 16 ","general elemantary","236","0.348909163852508","0.311572294177904","0.386246033527112","2"
"Good","1992","Couple + C. LE and GT 16","general elemantary","148","0.44053270217168","0.388522265698745","0.492543138644616","2"
"Good","1992","Couple + C. LE and GT 16","vocational + Abi","5","","","","2"
"Good","1992","Single parent ","higher education","38","0.512746436303071","0.395654251797201","0.629838620808942","2"
"Good","1992","Couple + C. LE 16 ","in school","","","","","2"
"Good","1992","Couple + C. LE 16 ","inadequately","53","0.411980895660437","0.322796388445353","0.501165402875522","2"
"Good","1992","Couple + C. LE 16 ","general elemantary","197","0.46139335606076","0.412843035603368","0.509943676518151","2"
"Less good","1992","Single parent ","middle vocational","23","","","","4"
"Less good","1992","Couple + C. LE and GT 16","higher vocational","1","","","","4"
"Less good","1992","1-pers.-HH","general elemantary","84","0.244852272210714","0.20049523610157","0.289209308319858","4"
"Less good","1992","Couple + C. GT 16 ","general elemantary","69","0.125272189871237","0.0993408638002619","0.151203515942213","4"
"Less good","1992","Couple + C. LE and GT 16","vocational + Abi","","","","","4"
"Less good","1992","(Married) couple without C. ","general elemantary","114","0.19627280871947","0.165692280165925","0.226853337273015","4"
"Less good","1992","1-pers.-HH","inadequately","10","","","","4"
"Less good","1992","Single parent ","general elemantary","20","","","","4"
"Less good","1992","Single parent ","inadequately","5","","","","4"
"Less good","1992","1-pers.-HH","higher vocational","10","","","","4"
"Less good","1992","(Married) couple without C. ","higher education","37","0.0825993348403189","0.055656474181303","0.109542195499335","4"
"Less good","1992","Couple + C. GT 16 ","inadequately","45","0.223851201118326","0.158857426968702","0.28884497526795","4"
"Less good","1992","Couple + C. LE and GT 16","middle vocational","35","0.0898210166420778","0.0623119137696798","0.117330119514476","4"
"Less good","1992","Couple + C. LE and GT 16","general elemantary","31","0.0914616529895316","0.0612617725820115","0.121661533397052","4"
"Less good","1992","Couple + C. LE 16 ","higher vocational","7","","","","4"
"Less good","1992","Couple + C. GT 16 ","in school","","","","","4"
"Less good","1992","Couple + C. LE and GT 16","higher education","4","","","","4"
"Less good","1992","1-pers.-HH","higher education","21","","","","4"
"Less good","1992","(Married) couple without C. ","in school","","","","","4"
"Less good","1992","(Married) couple without C. ","inadequately","14","","","","4"
"Less good","1992","(Married) couple without C. ","middle vocational","256","0.156269173552582","0.139424306145036","0.173114040960127","4"
"Less good","1992","Single parent ","in school","1","","","","4"
"Less good","1992","Single parent ","vocational + Abi","1","","","","4"
"Less good","1992","Single parent ","higher vocational","2","","","","4"
"Less good","1992","Single parent ","higher education","3","","","","4"
"Less good","1992","Couple + C. LE 16 ","in school","","","","","4"
"Less good","1992","Couple + C. LE 16 ","higher education","17","","","","4"
"Less good","1992","Couple + C. GT 16 ","middle vocational","128","0.103623521207333","0.0874555262797018","0.119791516134965","4"
"Less good","1992","Couple + C. GT 16 ","vocational + Abi","5","","","","4"
"Less good","1992","Couple + C. GT 16 ","higher vocational","13","","","","4"
"Less good","1992","Couple + C. GT 16 ","higher education","22","","","","4"
"Less good","1992","1-pers.-HH","in school","","","","","4"
"Less good","1992","1-pers.-HH","middle vocational","96","0.164704831362855","0.136681890326676","0.192727772399035","4"
"Less good","1992","1-pers.-HH","vocational + Abi","5","","","","4"
"Less good","1992","Couple + C. LE 16 ","inadequately","14","","","","4"
"Less good","1992","Couple + C. LE 16 ","general elemantary","45","0.120889061718408","0.0891396323084206","0.152638491128395","4"
"Less good","1992","Couple + C. LE and GT 16","in school","2","","","","4"
"Less good","1992","Couple + C. LE and GT 16","inadequately","20","","","","4"
"Less good","1992","(Married) couple without C. ","vocational + Abi","8","","","","4"
"Less good","1992","(Married) couple without C. ","higher vocational","34","0.162669372817382","0.1152810307176","0.210057714917164","4"
"Less good","1992","Couple + C. LE 16 ","middle vocational","105","0.0609385664339934","0.049844251684086","0.0720328811839007","4"
"Less good","1992","Couple + C. LE 16 ","vocational + Abi","8","","","","4"
"Poor","1992","Couple + C. GT 16 ","inadequately","16","","","","5"
"Poor","1992","Couple + C. GT 16 ","in school","","","","","5"
"Poor","1992","1-pers.-HH","inadequately","3","","","","5"
"Poor","1992","Couple + C. LE 16 ","inadequately","","","","","5"
"Poor","1992","1-pers.-HH","higher vocational","6","","","","5"
"Poor","1992","Couple + C. GT 16 ","general elemantary","12","","","","5"
"Poor","1992","(Married) couple without C. ","higher education","19","","","","5"
"Poor","1992","(Married) couple without C. ","middle vocational","98","0.0640614106089743","0.0527021279496594","0.0754206932682893","5"
"Poor","1992","Single parent ","inadequately","3","","","","5"
"Poor","1992","Single parent ","in school","1","","","","5"
"Poor","1992","1-pers.-HH","higher education","5","","","","5"
"Poor","1992","(Married) couple without C. ","in school","","","","","5"
"Poor","1992","Single parent ","vocational + Abi","1","","","","5"
