"ple0008","year","e11102","n","percent","lower_confidence","upper_confidence"
"Very good","1992","Not Employed","515","0.0822101802951441","0.0739645313098073","0.0904558292804808"
"Very good","1992","Employed","1618","0.171837353252204","0.16408702422075","0.179587682283658"
"Good","1992","Not Employed","1255","0.26612705749619","0.252860892983642","0.279393222008739"
"Good","1992","Employed","4289","0.462089754310624","0.451846885468966","0.472332623152281"
"Satisfactory","1992","Not Employed","1396","0.354855336968495","0.340492353856803","0.369218320080187"
"Satisfactory","1992","Employed","2349","0.271169659098398","0.262036157621734","0.280303160575062"
"Less good","1992","Not Employed","749","0.19921350792656","0.187223811543207","0.211203204309914"
"Less good","1992","Employed","692","0.077136541814008","0.0716550049246305","0.0826180787033856"
"Poor","1992","Not Employed","348","0.0975939173136103","0.0886854537725251","0.106502380854695"
"Poor","1992","Employed","153","0.0177666915247669","0.0150526646518795","0.0204807183976543"
"Very good","1993","Not Employed","","","",""
"Very good","1993","Employed","","","",""
"Good","1993","Not Employed","","","",""
"Good","1993","Employed","","","",""
"Satisfactory","1993","Not Employed","","","",""
"Satisfactory","1993","Employed","","","",""
"Less good","1993","Not Employed","","","",""
"Less good","1993","Employed","","","",""
"Poor","1993","Not Employed","","","",""
"Poor","1993","Employed","","","",""
"Very good","1994","Not Employed","352","0.0564588751980206","0.0497708319991503","0.0631469183968908"
"Very good","1994","Employed","992","0.108664247343438","0.10198617728505","0.115342317401827"
"Good","1994","Not Employed","1422","0.271423205941442","0.258537337385193","0.28430907449769"
"Good","1994","Employed","3813","0.447312723109325","0.436643511512747","0.457981934705904"
"Satisfactory","1994","Not Employed","1581","0.367467103758168","0.353496880923635","0.3814373265927"
"Satisfactory","1994","Employed","2512","0.313605207926265","0.303649650262261","0.32356076559027"
"Less good","1994","Not Employed","881","0.214823930216188","0.202923096196413","0.226724764235963"
"Less good","1994","Employed","887","0.112833851036485","0.106044798712037","0.119622903360934"
"Poor","1994","Not Employed","339","0.0898268848861821","0.0815414041318795","0.0981123656404847"
"Poor","1994","Employed","139","0.0175839705844855","0.0147636845070241","0.0204042566619469"
"Very good","1995","Not Employed","385","0.0606790485772494","0.0539384880342781","0.0674196091202208"
"Very good","1995","Employed","927","0.0960245833016358","0.0897648931491444","0.102284273454127"
"Good","1995","Not Employed","1479","0.268592205414712","0.256078206221973","0.281106204607451"
"Good","1995","Employed","4004","0.465698996743506","0.455100873708903","0.476297119778108"
"Satisfactory","1995","Not Employed","1679","0.368421313729274","0.35480198401183","0.382040643446717"
"Satisfactory","1995","Employed","2567","0.316096356190839","0.306217867327832","0.325974845053846"
"Less good","1995","Not Employed","933","0.217037466173645","0.205398685786352","0.228676246560938"
"Less good","1995","Employed","870","0.106034511140969","0.0994931623477589","0.112575859934179"
"Poor","1995","Not Employed","343","0.0852699661051201","0.0773847401561104","0.0931551920541297"
"Poor","1995","Employed","142","0.0161455526230509","0.0134677707657618","0.0188233344803399"
"Very good","1996","Not Employed","362","0.0594617633092877","0.0526711522603665","0.0662523743582089"
"Very good","1996","Employed","930","0.100562022824794","0.0941450390482539","0.106979006601335"
"Good","1996","Not Employed","1349","0.253300730931337","0.240812732934211","0.265788728928464"
"Good","1996","Employed","3911","0.459718984259425","0.449085284263899","0.470352684254951"
"Satisfactory","1996","Not Employed","1713","0.384936091783614","0.370964169095225","0.398908014472004"
"Satisfactory","1996","Employed","2658","0.326316378742985","0.316312330870242","0.336320426615728"
"Less good","1996","Not Employed","914","0.220181364758155","0.208282957767887","0.232079771748423"
"Less good","1996","Employed","795","0.0956260547174585","0.0893513907789015","0.101900718656016"
"Poor","1996","Not Employed","321","0.0821200492176055","0.0742365454750735","0.0900035529601374"
"Poor","1996","Employed","144","0.0177765594553373","0.0149571553194656","0.020595963591209"
"Very good","1997","Not Employed","341","0.0598381606279774","0.05308803343975","0.0665882878162047"
"Very good","1997","Employed","838","0.101783810027181","0.0952205567960314","0.10834706325833"
"Good","1997","Not Employed","1446","0.253984641576995","0.241596700220244","0.266372582933746"
"Good","1997","Employed","4010","0.47239474687135","0.461558061731734","0.483231432010965"
"Satisfactory","1997","Not Employed","1740","0.39642594189782","0.38250502487797","0.41034685891767"
"Satisfactory","1997","Employed","2448","0.314271601141319","0.304194908618449","0.324348293664189"
"Less good","1997","Not Employed","889","0.208358199407982","0.196799973316023","0.219916425499942"
"Less good","1997","Employed","724","0.0956873478038247","0.0893021268224747","0.102072568785175"
"Poor","1997","Not Employed","327","0.0813930564892253","0.0736112564078307","0.08917485657062"
"Poor","1997","Employed","133","0.0158624941563264","0.0131504110152967","0.0185745772973561"
"Very good","1998","Not Employed","448","0.0724176625507475","0.0655176968104341","0.079317628291061"
"Very good","1998","Employed","1032","0.118579195064732","0.111853149457647","0.125305240671818"
"Good","1998","Not Employed","1654","0.273361215112745","0.261495984506372","0.285226445719117"
"Good","1998","Employed","4464","0.487385808343541","0.476986710546393","0.49778490614069"
"Satisfactory","1998","Not Employed","1904","0.368794793997219","0.35595003013157","0.381639557862868"
"Satisfactory","1998","Employed","2517","0.289122651989529","0.27969068423324","0.298554619745819"
"Less good","1998","Not Employed","1013","0.203322098806695","0.192607346766767","0.214036850846623"
"Less good","1998","Employed","738","0.0883206719064776","0.0824170824823808","0.0942242613305743"
"Poor","1998","Not Employed","401","0.0821042295325936","0.0747957354930381","0.089412723572149"
"Poor","1998","Employed","124","0.0165916726957195","0.0139341563967706","0.0192491889946683"
"Very good","1999","Not Employed","376","0.0668823482943949","0.0599250938626655","0.0738396027261244"
"Very good","1999","Employed","931","0.106146245669708","0.0997051053338559","0.11258738600556"
"Good","1999","Not Employed","1433","0.26095551586949","0.248725346890219","0.273185684848761"
"Good","1999","Employed","4283","0.473936479201648","0.463495136008413","0.484377822394883"
"Satisfactory","1999","Not Employed","1811","0.373115596213182","0.35964678203988","0.386584410386484"
"Satisfactory","1999","Employed","2667","0.306543842594627","0.296902599995074","0.316185085194181"
"Less good","1999","Not Employed","954","0.211761002225393","0.200383003580982","0.223139000869805"
"Less good","1999","Employed","779","0.0973637683422366","0.0911646164685687","0.103562920215905"
