"year","age_gr","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1985","16-34 y.","Rural Area","736.4","711.8","784","365.24","511.5","920","1150.5","1636","715.06","757.74","151.48","2726.67","681.666687011719","716"
"1985","16-34 y.","Urban Area","810.48","766.79","3210","409.2","556.19","1014","1193.33","2045.33","794.8","826.16","0","10865","708.076965332031","730.476196289062"
"1985","35-65 y.","Rural Area","794.01","716","1092","402.73","537","954.67","1227.2","2215.33","771.47","816.55","177.83","4090","690","730.476196289062"
"1985","35-65 y.","Urban Area","871.42","784","4362","447.5","593.2","1022.67","1363.33","2386","856.42","886.42","0","13805","741.5","767"
"1985","66 and older","Rural Area","655.38","613.33","256","340.67","471.05","781","1022.67","1585","619.72","691.04","162","2147.5","570","682"
"1985","66 and older","Urban Area","782.03","716","776","409","537","920","1201.33","2215.33","749.68","814.38","87","7669.5","695.200012207031","750"
"1986","16-34 y.","Rural Area","772.97","740.44","774","387.27","547.86","954","1192.78","1739.5","750.16","795.78","77","2215.33","716","763.214294433594"
"1986","16-34 y.","Urban Area","844.71","789.64","3132","443.33","596.67","1022.67","1278.33","1874.67","830.74","858.68","0","9203.5","738.444458007812","767"
"1986","35-65 y.","Rural Area","828.11","750","1054","409.33","579.33","1008.67","1278","2045.33","778.87","877.35","167.6","24595","730.357177734375","767"
"1986","35-65 y.","Urban Area","931.82","844.11","4162","472.06","614","1075","1384.58","2434.76","910.37","953.27","0","22723.89","784","818"
"1986","66 and older","Rural Area","823.58","681.67","249","360","505","818","1045.33","1598","554.35","1092.81","68","24595","630.666687011719","697.333312988281"
"1986","66 and older","Urban Area","809.88","738.93","745","443.33","562.67","954.67","1244","2301","776.64","843.12","0","6817.33","733","784"
"1987","16-34 y.","Rural Area","831.7","767","780","440.69","588","1022.4","1227.33","2045.2","807.2","856.2","51","3933.08","733.478271484375","784"
"1987","16-34 y.","Urban Area","872.09","818","3107","454.44","613.33","1036.67","1306","2086","856.5","887.68","0","9203.5","760.416625976562","784"
