"year","hgtyp1hh","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1984","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1984","(Married) couple without C.","West Germany","939.49","818","2543","477.33","613.33","1090.67","1363.33","2386","899.64","979.34","122.67","28018.67","852","852"
"1984","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1984","1-pers.-HH","West Germany","781.03","716","1254","358","511","920","1278","2301","753.57","808.49","0","9715","716","767"
"1984","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1984","Couple + C. GT 16 ","West Germany","865.4","777.2","1875","511.2","613.6","971.33","1176","2556.5","834","896.8","196","15395","767","792.5"
"1984","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1984","Couple + C. LE 16","West Germany","721.71","674.8","2927","420.56","511.11","852.22","1081.54","1988.33","710.95","732.47","32.08","3124.44","613.599975585938","649.583312988281"
"1984","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1984","Couple + C. LE and GT 16","West Germany","662.08","619.7","1642","383.57","489.13","797.6","1000.43","1431.6","647.78","676.38","2.67","3647.27","577.826110839844","611.304382324219"
"1984","Single parent","East Germany","","","","","","","","","","","","","",""
"1984","Single parent","West Germany","735.03","629.23","546","314.62","443.33","852","1193.33","3886","681.83","788.23","82","8521.33","572.666687011719","639"
"1985","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1985","(Married) couple without C.","West Germany","926.54","852","2269","497.33","647.33","1124.67","1363.33","2386","908.27","944.81","162","6476.67","852","893.333312988281"
"1985","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1985","1-pers.-HH","West Germany","789.32","716","1109","358","511","971","1227","2556","754.82","823.82","0","13805","716","767"
"1985","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1985","Couple + C. GT 16 ","West Germany","850.32","818","1908","511.2","613.6","1022.4","1227.2","1917.5","834.19","866.45","51","5368.5","785.5","818"
"1985","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
"1985","Couple + C. LE 16","West Germany","752.28","681.9","2545","415","532.5","889.13","1136.11","2130.56","735.5","769.06","0","10865","639","666.95654296875"
"1985","Couple + C. LE and GT 16","East Germany","","","","","","","","","","","","","",""
"1985","Couple + C. LE and GT 16","West Germany","692.91","657.5","1435","390.26","511.33","840","981.6","1758.8","677.51","708.31","109.64","3408.67","602.5","622.608703613281"
"1985","Single parent","East Germany","","","","","","","","","","","","","",""
"1985","Single parent","West Germany","698.16","681.96","533","307","449.33","869","1150.5","1559.5","671.09","725.23","37.69","1874.67","613.599975585938","682"
"1986","(Married) couple without C.","East Germany","","","","","","","","","","","","","",""
"1986","(Married) couple without C.","West Germany","964.25","886","2252","519.33","682","1158.67","1431.33","2284","943.43","985.07","0","10226","886","954.666687011719"
"1986","1-pers.-HH","East Germany","","","","","","","","","","","","","",""
"1986","1-pers.-HH","West Germany","818.02","767","1060","409","552","1023","1278","2301","792.23","843.81","0","4862","767","818"
"1986","Couple + C. GT 16 ","East Germany","","","","","","","","","","","","","",""
"1986","Couple + C. GT 16 ","West Germany","959.44","887.6","1999","511.5","681.67","1056.67","1355","1994","914.47","1004.41","163.6","24595","852","895"
"1986","Couple + C. LE 16","East Germany","","","","","","","","","","","","","",""
