"m11126","year","regtyp","sex","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","Urban Area","Male","128","0.0368919101480113","0.0312493728853082","0.0425344474107144","5"
"Bad ","1992","Urban Area","Female","195","0.0563022448497574","0.0495890964579025","0.0630153932416124","5"
"Bad ","1992","Rural Area","Male","82","0.046496649878841","0.0375673088495213","0.0554259909081608","5"
"Bad ","1992","Rural Area","Female","92","0.0554643499930637","0.0460960194692089","0.0648326805169186","5"
"Good","1992","Rural Area","Female","927","0.359598747879443","0.33995695010953","0.379240545649356","2"
"Good","1992","Urban Area","Male","1844","0.419264087724344","0.404493270537597","0.434034904911092","2"
"Good","1992","Urban Area","Female","1789","0.358645808202461","0.344677983399599","0.372613633005323","2"
"Good","1992","Rural Area","Male","934","0.41610632349846","0.395202943736368","0.437009703260552","2"
"Poor","1992","Urban Area","Male","412","0.104892696837515","0.0957203276812828","0.114065065993748","4"
"Poor","1992","Rural Area","Female","257","0.143924657218335","0.129557539184398","0.158291775252273","4"
"Poor","1992","Urban Area","Female","592","0.145701760365679","0.135426707006583","0.155976813724776","4"
"Poor","1992","Rural Area","Male","173","0.0914244114728694","0.0792019385014304","0.103646884444309","4"
"Satisfactory","1992","Urban Area","Male","1108","0.278518812726515","0.265100091748088","0.291937533704943","3"
"Satisfactory","1992","Urban Area","Female","1331","0.321451597243911","0.307849836197128","0.335053358290694","3"
"Satisfactory","1992","Rural Area","Male","589","0.301784048706039","0.282317431435332","0.321250665976747","3"
"Satisfactory","1992","Rural Area","Female","693","0.316832576659078","0.297790050854748","0.335875102463409","3"
"Very good","1992","Urban Area","Male","795","0.160432492563614","0.149446347583742","0.171418637543487","1"
"Very good","1992","Urban Area","Female","622","0.117898589338192","0.108506537231264","0.127290641445119","1"
"Very good","1992","Rural Area","Male","358","0.14418856644379","0.129291459997553","0.159085672890027","1"
"Very good","1992","Rural Area","Female","324","0.124179668250079","0.110681376124927","0.137677960375231","1"
"Bad ","1993","Urban Area","Male","","","","","5"
"Bad ","1993","Urban Area","Female","","","","","5"
"Bad ","1993","Rural Area","Male","","","","","5"
"Bad ","1993","Rural Area","Female","","","","","5"
"Good","1993","Urban Area","Male","","","","","2"
"Good","1993","Urban Area","Female","","","","","2"
"Good","1993","Rural Area","Male","","","","","2"
"Good","1993","Rural Area","Female","","","","","2"
"Poor","1993","Rural Area","Male","","","","","4"
"Poor","1993","Urban Area","Female","","","","","4"
"Poor","1993","Rural Area","Female","","","","","4"
"Poor","1993","Urban Area","Male","","","","","4"
"Satisfactory","1993","Urban Area","Female","","","","","3"
"Satisfactory","1993","Urban Area","Male","","","","","3"
"Satisfactory","1993","Rural Area","Male","","","","","3"
"Satisfactory","1993","Rural Area","Female","","","","","3"
"Very good","1993","Urban Area","Male","","","","","1"
"Very good","1993","Urban Area","Female","","","","","1"
"Very good","1993","Rural Area","Male","","","","","1"
"Very good","1993","Rural Area","Female","","","","","1"
"Bad ","1994","Urban Area","Male","140","0.0395717061918215","0.0336382746749179","0.0455051377087251","5"
"Bad ","1994","Urban Area","Female","180","0.0536723089240314","0.0470581203128088","0.0602864975352541","5"
"Bad ","1994","Rural Area","Male","64","0.0328346143261125","0.0251726230772571","0.0404966055749678","5"
"Bad ","1994","Rural Area","Female","94","0.061261537924187","0.0513150448813818","0.0712080309669922","5"
"Good","1994","Rural Area","Female","871","0.345853018258319","0.32612483082164","0.365581205694999","2"
"Good","1994","Rural Area","Male","895","0.398655374885723","0.377603739079056","0.41970701069239","2"
"Good","1994","Urban Area","Male","1787","0.415171525662339","0.400174362787292","0.430168688537385","2"
"Good","1994","Urban Area","Female","1682","0.342408253853636","0.32848210763221","0.356334400075062","2"
"Poor","1994","Rural Area","Female","312","0.168399234259476","0.152877822296154","0.183920646222798","4"
"Poor","1994","Urban Area","Male","509","0.137705775113663","0.127217963225867","0.14819358700146","4"
"Poor","1994","Urban Area","Female","749","0.182949109304404","0.171602388592545","0.194295830016263","4"
"Poor","1994","Rural Area","Male","198","0.106744721787889","0.093468138636983","0.120021304938796","4"
"Satisfactory","1994","Urban Area","Male","1226","0.311066784182404","0.29697725583697","0.325156312527837","3"
"Satisfactory","1994","Rural Area","Female","766","0.352079426471699","0.33226940534362","0.371889447599778","3"
"Satisfactory","1994","Urban Area","Female","1421","0.344239543235566","0.33029566272979","0.358183423741343","3"
"Satisfactory","1994","Rural Area","Male","680","0.352835144456025","0.332289550529677","0.373380738382373","3"
"Very good","1994","Urban Area","Male","485","0.0964842088497729","0.0874979884301014","0.105470429269444","1"
"Very good","1994","Urban Area","Female","428","0.0767307846823622","0.0689193706247603","0.0845421987399642","1"
"Very good","1994","Rural Area","Female","190","0.0724067830863192","0.0616576822240073","0.083155883948631","1"
