"m11126","year","e11102","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Bad ","1992","Not Employed","in school","1","","","","5"
"Bad ","1992","Not Employed","vocational + Abi","9","","","","5"
"Bad ","1992","Not Employed","higher vocational","13","","","","5"
"Bad ","1992","Not Employed","higher education","25","","","","5"
"Bad ","1992","Employed","in school","1","","","","5"
"Bad ","1992","Employed","inadequately","12","","","","5"
"Bad ","1992","Employed","general elemantary","34","0.020291878803233","0.0132083404657405","0.0273754171407255","5"
"Bad ","1992","Employed","middle vocational","71","0.0163677732553935","0.0127763634846491","0.0199591830261379","5"
"Bad ","1992","Employed","vocational + Abi","4","","","","5"
"Bad ","1992","Employed","higher vocational","15","","","","5"
"Bad ","1992","Employed","higher education","13","","","","5"
"Bad ","1992","Not Employed","inadequately","29","","","","5"
"Bad ","1992","Not Employed","general elemantary","109","0.102410469824626","0.0858075452672663","0.119013394381986","5"
"Bad ","1992","Not Employed","middle vocational","159","0.0972556572719137","0.0840840193103817","0.110427295233446","5"
"Good","1992","Not Employed","in school","62","0.415020040121677","0.338191147102113","0.491848933141241","2"
"Good","1992","Not Employed","inadequately","76","0.304533076700032","0.25004163673655","0.359024516663514","2"
"Good","1992","Not Employed","general elemantary","318","0.204368778958309","0.182286865189107","0.226450692727511","2"
"Good","1992","Not Employed","vocational + Abi","46","0.45165805764028","0.354603034286918","0.548713080993642","2"
"Good","1992","Not Employed","higher vocational","44","0.224390962162705","0.161863018450089","0.28691890587532","2"
"Good","1992","Not Employed","higher education","89","0.311397051466793","0.256467196225752","0.366326906707835","2"
"Good","1992","Employed","in school","15","","","","2"
"Good","1992","Employed","inadequately","130","0.328570111235954","0.279847747983447","0.377292474488461","2"
"Good","1992","Employed","general elemantary","648","0.405947602507327","0.381276524203425","0.43061868081123","2"
"Good","1992","Employed","middle vocational","2298","0.46985190433538","0.455725459305867","0.483978349364892","2"
"Good","1992","Employed","vocational + Abi","135","0.507349469612007","0.449306617628623","0.565392321595391","2"
"Good","1992","Employed","higher vocational","279","0.448917929940635","0.40908646345964","0.488749396421629","2"
"Good","1992","Employed","higher education","737","0.507692955386908","0.481334942662886","0.53405096811093","2"
"Good","1992","Not Employed","middle vocational","596","0.284889559531844","0.26482522376333","0.304953895300358","2"
"Poor","1992","Not Employed","in school","2","","","","4"
"Poor","1992","Not Employed","inadequately","64","0.198673355139618","0.151429273154592","0.245917437124644","4"
"Poor","1992","Not Employed","vocational + Abi","9","","","","4"
"Poor","1992","Not Employed","higher vocational","43","0.285709147012763","0.217999639886719","0.353418654138807","4"
"Poor","1992","Not Employed","higher education","41","0.150324425264947","0.107930062616814","0.19271878791308","4"
"Poor","1992","Employed","in school","1","","","","4"
"Poor","1992","Employed","inadequately","63","0.147254438015836","0.110495926816138","0.184012949215534","4"
"Poor","1992","Employed","general elemantary","158","0.106913942148771","0.0913899079359869","0.122437976361555","4"
"Poor","1992","Employed","middle vocational","347","0.0773026650699797","0.0697433812470535","0.0848619488929059","4"
"Poor","1992","Employed","vocational + Abi","19","","","","4"
"Poor","1992","Employed","higher vocational","29","","","","4"
"Poor","1992","Employed","higher education","65","0.0548987872113763","0.0428895726288297","0.0669080017939229","4"
"Poor","1992","Not Employed","general elemantary","246","0.223136261001615","0.200336461532432","0.245936060470799","4"
"Poor","1992","Not Employed","middle vocational","336","0.196422735789065","0.178761964804452","0.214083506773678","4"
"Satisfactory","1992","Not Employed","in school","18","","","","3"
"Satisfactory","1992","Not Employed","inadequately","74","0.234331742765999","0.184177382852749","0.284486102679248","3"
"Satisfactory","1992","Not Employed","general elemantary","467","0.403575787820291","0.376709125888601","0.430442449751982","3"
"Satisfactory","1992","Not Employed","middle vocational","654","0.349387265499821","0.328193175396092","0.37058135560355","3"
"Satisfactory","1992","Not Employed","vocational + Abi","21","","","","3"
"Satisfactory","1992","Not Employed","higher vocational","67","0.386586399636059","0.313598641908653","0.459574157363465","3"
"Satisfactory","1992","Not Employed","higher education","84","0.327920894838826","0.272232909111824","0.383608880565828","3"
"Satisfactory","1992","Employed","in school","2","","","","3"
"Satisfactory","1992","Employed","inadequately","110","0.31928866548023","0.270928561625684","0.367648769334775","3"
"Satisfactory","1992","Employed","general elemantary","394","0.305339312862228","0.282201703337348","0.328476922387107","3"
"Satisfactory","1992","Employed","middle vocational","1254","0.270968689307102","0.25838852159137","0.283548857022834","3"
"Satisfactory","1992","Employed","vocational + Abi","68","0.218026376582511","0.170088782709929","0.265963970455092","3"
"Satisfactory","1992","Employed","higher vocational","177","0.303762206907706","0.266934019330553","0.340590394484858","3"
"Satisfactory","1992","Employed","higher education","312","0.239693043275209","0.217186112956426","0.262199973593992","3"
"Very good","1992","Not Employed","in school","75","0.452301887891109","0.374694267058507","0.529909508723712","1"
"Very good","1992","Not Employed","inadequately","31","0.114816636334802","0.0770688193310901","0.152564453338515","1"
