"m11126","year","pgisced97","sampreg","n","percent","lower_confidence","upper_confidence"
"Very good","1992","in school","West Germany","68","0.448285787394675","0.366488577561315","0.530082997228036"
"Very good","1992","in school","East Germany","17","","",""
"Very good","1992","inadequately","West Germany","62","0.136237514534853","0.108992630125189","0.163482398944517"
"Very good","1992","inadequately","East Germany","11","","",""
"Very good","1992","general elemantary","West Germany","345","0.104384567593353","0.0920119092784793","0.116757225908228"
"Very good","1992","general elemantary","East Germany","84","0.131773343764625","0.100762018092466","0.162784669436784"
"Very good","1992","middle vocational","West Germany","697","0.129636491030181","0.119844007621609","0.139428974438753"
"Very good","1992","middle vocational","East Germany","327","0.1425346278925","0.127988817294252","0.157080438490747"
"Very good","1992","vocational + Abi","West Germany","60","0.166070694634608","0.125168590504339","0.206972798764876"
"Very good","1992","vocational + Abi","East Germany","15","","",""
"Very good","1992","higher vocational","West Germany","77","0.127221810558801","0.0990121133567206","0.15543150776088"
"Very good","1992","higher vocational","East Germany","26","","",""
"Very good","1992","higher education","West Germany","147","0.179254483791045","0.15158129643648","0.206927671145609"
"Very good","1992","higher education","East Germany","142","0.152636904342582","0.129359852665957","0.175913956019207"
"Good","1992","in school","West Germany","58","0.429717966488375","0.348296200158885","0.511139732817866"
"Good","1992","in school","East Germany","19","","",""
"Good","1992","inadequately","West Germany","204","0.32817303019295","0.290880692746826","0.365465367639075"
"Good","1992","inadequately","East Germany","2","","",""
"Good","1992","general elemantary","West Germany","822","0.296210405363816","0.277734502803248","0.314686307924384"
"Good","1992","general elemantary","East Germany","144","0.259446065908797","0.219258483342676","0.299633648474919"
"Good","1992","middle vocational","West Germany","1883","0.398197676072682","0.383926651155756","0.412468700989608"
"Good","1992","middle vocational","East Germany","1011","0.426844739551609","0.406264968069756","0.447424511033461"
"Good","1992","vocational + Abi","West Germany","147","0.490767507872345","0.43582221594433","0.545712799800361"
"Good","1992","vocational + Abi","East Germany","34","0.504065754333598","0.385229410833337","0.62290209783386"
"Good","1992","higher vocational","West Germany","208","0.365732887032805","0.324958841824604","0.406506932241006"
"Good","1992","higher vocational","East Germany","115","0.461387005762409","0.397514896934227","0.525259114590592"
"Good","1992","higher education","West Germany","350","0.45930178089592","0.423347844619598","0.495255717172243"
"Good","1992","higher education","East Germany","476","0.485064269068625","0.452716854121807","0.517411684015444"
"Satisfactory","1992","in school","West Germany","12","","",""
"Satisfactory","1992","in school","East Germany","8","","",""
"Satisfactory","1992","inadequately","West Germany","178","0.283899349658637","0.248088990431215","0.319709708886059"
"Satisfactory","1992","inadequately","East Germany","6","","",""
"Satisfactory","1992","general elemantary","West Germany","722","0.362459753166798","0.34300759530255","0.381911911031046"
"Satisfactory","1992","general elemantary","East Germany","139","0.350258362682969","0.306520798094095","0.393995927271844"
"Satisfactory","1992","middle vocational","West Germany","1274","0.299233307231694","0.285883636137763","0.312582978325624"
"Satisfactory","1992","middle vocational","East Germany","634","0.297033023909558","0.278020522038457","0.316045525780659"
"Satisfactory","1992","vocational + Abi","West Germany","75","0.226459159142538","0.180457753718918","0.272460564566158"
"Satisfactory","1992","vocational + Abi","East Germany","14","","",""
"Satisfactory","1992","higher vocational","West Germany","174","0.336712248871915","0.296704313267497","0.376720184476333"
"Satisfactory","1992","higher vocational","East Germany","70","0.289411352615731","0.231307212799517","0.347515492431944"
"Satisfactory","1992","higher education","West Germany","172","0.250018971475748","0.218777496398559","0.281260446552937"
"Satisfactory","1992","higher education","East Germany","224","0.270049867944643","0.241313491546938","0.298786244342348"
"Poor","1992","in school","West Germany","2","","",""
"Poor","1992","in school","East Germany","1","","",""
"Poor","1992","inadequately","West Germany","124","0.165219470612796","0.135723940003336","0.194715001222257"
"Poor","1992","inadequately","East Germany","3","","",""
"Poor","1992","general elemantary","West Germany","336","0.170162602389033","0.154956684254044","0.185368520524021"
"Poor","1992","general elemantary","East Germany","68","0.191536739306937","0.155458429769641","0.227615048844234"
"Poor","1992","middle vocational","West Germany","499","0.126220093438376","0.116538560017038","0.135901626859715"
"Poor","1992","middle vocational","East Germany","184","0.0947414043252251","0.0825564002866503","0.1069264083638"
