"pli0165","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Min 1x per week","2014","Couple + C. GT 16 ","East Germany","","","","","2"
"Min 1x per week","2014","Couple + C. LE and GT 16","West Germany","","","","","2"
"Min 1x per week","2014","Couple + C. LE and GT 16","East Germany","","","","","2"
"Never","2014","(Married) couple without C. ","West Germany","","","","","5"
"Never","2014","Couple + C. GT 16 ","West Germany","","","","","5"
"Never","2014","Couple + C. GT 16 ","East Germany","","","","","5"
"Never","2014","1-pers.-HH","East Germany","","","","","5"
"Never","2014","(Married) couple without C. ","East Germany","","","","","5"
"Never","2014","Single parent ","West Germany","","","","","5"
"Never","2014","Single parent ","East Germany","","","","","5"
"Never","2014","Couple + C. LE 16 ","East Germany","","","","","5"
"Never","2014","1-pers.-HH","West Germany","","","","","5"
"Never","2014","Couple + C. LE 16 ","West Germany","","","","","5"
"Never","2014","Couple + C. LE and GT 16","West Germany","","","","","5"
"Never","2014","Couple + C. LE and GT 16","East Germany","","","","","5"
"Rarely","2014","1-pers.-HH","West Germany","","","","","4"
"Rarely","2014","(Married) couple without C. ","West Germany","","","","","4"
"Rarely","2014","(Married) couple without C. ","East Germany","","","","","4"
"Rarely","2014","1-pers.-HH","East Germany","","","","","4"
"Rarely","2014","Single parent ","West Germany","","","","","4"
"Rarely","2014","Single parent ","East Germany","","","","","4"
"Rarely","2014","Couple + C. LE 16 ","West Germany","","","","","4"
"Rarely","2014","Couple + C. LE 16 ","East Germany","","","","","4"
"Rarely","2014","Couple + C. GT 16 ","West Germany","","","","","4"
"Rarely","2014","Couple + C. GT 16 ","East Germany","","","","","4"
"Rarely","2014","Couple + C. LE and GT 16","West Germany","","","","","4"
"Rarely","2014","Couple + C. LE and GT 16","East Germany","","","","","4"
"Daily","2015","1-pers.-HH","West Germany","","","","","1"
"Daily","2015","1-pers.-HH","East Germany","","","","","1"
"Daily","2015","(Married) couple without C. ","West Germany","","","","","1"
"Daily","2015","(Married) couple without C. ","East Germany","","","","","1"
"Daily","2015","Single parent ","East Germany","","","","","1"
"Daily","2015","Couple + C. LE 16 ","West Germany","","","","","1"
"Daily","2015","Couple + C. LE 16 ","East Germany","","","","","1"
"Daily","2015","Couple + C. GT 16 ","West Germany","","","","","1"
"Daily","2015","Couple + C. GT 16 ","East Germany","","","","","1"
