"plh0110","year","e11102","e11103","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Not Employed","Full Time","","","",""
"Very important","1990","Not Employed","Part Time","","","",""
"Very important","1990","Not Employed","Not Working","1055","0.388481897442014","0.369579029661056","0.407384765222973"
"Very important","1990","Employed","Full Time","1155","0.3381316920374","0.321691950379589","0.354571433695212"
"Very important","1990","Employed","Part Time","570","0.400249589193039","0.373928140545748","0.42657103784033"
"Very important","1990","Employed","Not Working","","","",""
"Important","1990","Not Employed","Full Time","","","",""
"Important","1990","Not Employed","Part Time","","","",""
"Important","1990","Not Employed","Not Working","1016","0.40519459032062","0.386155029839628","0.424234150801612"
"Important","1990","Employed","Full Time","1295","0.404189249116117","0.387135777487403","0.421242720744831"
"Important","1990","Employed","Part Time","496","0.378965679280143","0.352903135359273","0.405028223201013"
"Important","1990","Employed","Not Working","","","",""
"Less important","1990","Not Employed","Full Time","","","",""
"Less important","1990","Not Employed","Part Time","","","",""
"Less important","1990","Not Employed","Not Working","289","0.113612644686551","0.101305345583838","0.125919943789265"
"Less important","1990","Employed","Full Time","539","0.186511178965444","0.172975049959488","0.2000473079714"
"Less important","1990","Employed","Part Time","200","0.16566466196166","0.145691615061402","0.185637708861919"
"Less important","1990","Employed","Not Working","","","",""
"Quite unimportant","1990","Not Employed","Full Time","","","",""
"Quite unimportant","1990","Not Employed","Part Time","","","",""
"Quite unimportant","1990","Not Employed","Not Working","194","0.0927108675508146","0.0814628542421247","0.103958880859504"
"Quite unimportant","1990","Employed","Full Time","192","0.0711678798810391","0.0622332434823915","0.0801025162796866"
"Quite unimportant","1990","Employed","Part Time","65","0.0551200695651577","0.0428597369056572","0.0673804022246582"
"Quite unimportant","1990","Employed","Not Working","","","",""
"Very important","1991","Not Employed","Full Time","","","",""
"Very important","1991","Not Employed","Part Time","","","",""
"Very important","1991","Not Employed","Not Working","","","",""
"Very important","1991","Employed","Full Time","","","",""
"Very important","1991","Employed","Part Time","","","",""
"Very important","1991","Employed","Not Working","","","",""
"Important","1991","Not Employed","Full Time","","","",""
"Important","1991","Not Employed","Part Time","","","",""
"Important","1991","Not Employed","Not Working","","","",""
"Important","1991","Employed","Full Time","","","",""
"Important","1991","Employed","Part Time","","","",""
"Important","1991","Employed","Not Working","","","",""
"Less important","1991","Not Employed","Full Time","","","",""
"Less important","1991","Not Employed","Part Time","","","",""
"Less important","1991","Not Employed","Not Working","","","",""
"Less important","1991","Employed","Full Time","","","",""
"Less important","1991","Employed","Part Time","","","",""
"Less important","1991","Employed","Not Working","","","",""
"Quite unimportant","1991","Not Employed","Full Time","","","",""
"Quite unimportant","1991","Not Employed","Part Time","","","",""
"Quite unimportant","1991","Not Employed","Not Working","","","",""
"Quite unimportant","1991","Employed","Full Time","","","",""
"Quite unimportant","1991","Employed","Part Time","","","",""
"Quite unimportant","1991","Employed","Not Working","","","",""
"Very important","1992","Not Employed","Full Time","","","",""
"Very important","1992","Not Employed","Part Time","","","",""
"Very important","1992","Not Employed","Not Working","1477","0.389926085075986","0.373684009681879","0.406168160470092"
"Very important","1992","Employed","Full Time","2506","0.410009390875922","0.396773115777765","0.423245665974078"
"Very important","1992","Employed","Part Time","1105","0.487072545184316","0.465785768154066","0.508359322214567"
"Very important","1992","Employed","Not Working","","","",""
"Important","1992","Not Employed","Full Time","","","",""
"Important","1992","Not Employed","Part Time","","","",""
"Important","1992","Not Employed","Not Working","1278","0.390387015028352","0.374141483109562","0.406632546947142"
"Important","1992","Employed","Full Time","1774","0.354718889228057","0.341843422902085","0.367594355554029"
"Important","1992","Employed","Part Time","671","0.329420179773783","0.309403803653475","0.349436555894092"
"Important","1992","Employed","Not Working","","","",""
"Less important","1992","Not Employed","Full Time","","","",""
"Less important","1992","Not Employed","Part Time","","","",""
"Less important","1992","Not Employed","Not Working","349","0.100521880033699","0.0905084065449921","0.110535353522406"
"Less important","1992","Employed","Full Time","751","0.169805081336481","0.159700653890101","0.17990950878286"
"Less important","1992","Employed","Part Time","255","0.1344151826943","0.119888578899919","0.148941786488682"
"Less important","1992","Employed","Not Working","","","",""
"Quite unimportant","1992","Not Employed","Full Time","","","",""
"Quite unimportant","1992","Not Employed","Part Time","","","",""
"Quite unimportant","1992","Not Employed","Not Working","360","0.119165019861963","0.108376029110503","0.129954010613423"
"Quite unimportant","1992","Employed","Full Time","273","0.0654666385595402","0.0588100186549794","0.0721232584641011"
"Quite unimportant","1992","Employed","Part Time","87","0.0490920923475999","0.0398905609181945","0.0582936237770054"
"Quite unimportant","1992","Employed","Not Working","","","",""
"Very important","1993","Not Employed","Full Time","","","",""
"Very important","1993","Not Employed","Part Time","","","",""
"Very important","1993","Not Employed","Not Working","","","",""
"Very important","1993","Employed","Full Time","","","",""
"Very important","1993","Employed","Part Time","","","",""
"Very important","1993","Employed","Not Working","","","",""
"Important","1993","Not Employed","Full Time","","","",""
"Important","1993","Not Employed","Part Time","","","",""
"Important","1993","Not Employed","Not Working","","","",""
"Important","1993","Employed","Full Time","","","",""
"Important","1993","Employed","Part Time","","","",""
"Important","1993","Employed","Not Working","","","",""
"Less important","1993","Not Employed","Full Time","","","",""
"Less important","1993","Not Employed","Part Time","","","",""
"Less important","1993","Not Employed","Not Working","","","",""
"Less important","1993","Employed","Full Time","","","",""
"Less important","1993","Employed","Part Time","","","",""
"Less important","1993","Employed","Not Working","","","",""
"Quite unimportant","1993","Not Employed","Full Time","","","",""
"Quite unimportant","1993","Not Employed","Part Time","","","",""
"Quite unimportant","1993","Not Employed","Not Working","","","",""
"Quite unimportant","1993","Employed","Full Time","","","",""
"Quite unimportant","1993","Employed","Part Time","","","",""
"Quite unimportant","1993","Employed","Not Working","","","",""
"Very important","1994","Not Employed","Full Time","","","",""
"Very important","1994","Not Employed","Part Time","","","",""
"Very important","1994","Not Employed","Not Working","","","",""
"Very important","1994","Employed","Full Time","","","",""
"Very important","1994","Employed","Part Time","","","",""
"Very important","1994","Employed","Not Working","","","",""
"Important","1994","Not Employed","Full Time","","","",""
"Important","1994","Not Employed","Part Time","","","",""
"Important","1994","Not Employed","Not Working","","","",""
"Important","1994","Employed","Full Time","","","",""
"Important","1994","Employed","Part Time","","","",""
"Important","1994","Employed","Not Working","","","",""
"Less important","1994","Not Employed","Full Time","","","",""
"Less important","1994","Not Employed","Part Time","","","",""
"Less important","1994","Not Employed","Not Working","","","",""
"Less important","1994","Employed","Full Time","","","",""
"Less important","1994","Employed","Part Time","","","",""
"Less important","1994","Employed","Not Working","","","",""
"Quite unimportant","1994","Not Employed","Full Time","","","",""
"Quite unimportant","1994","Not Employed","Part Time","","","",""
"Quite unimportant","1994","Not Employed","Not Working","","","",""
"Quite unimportant","1994","Employed","Full Time","","","",""
