"m11104","year","age_gr","n","percent","lower_confidence","upper_confidence"
"Almost never or never","1984","16-34 y.","2157","0.436158893350714","0.421782722881683","0.450535063819744"
"Almost never or never","1984","35-65 y.","4450","0.684750021728132","0.673214747361018","0.696285296095246"
"Almost never or never","1984","66 and older","1097","0.89125108052774","0.873887986298266","0.908614174757215"
"Several times a year","1984","16-34 y.","1224","0.274594236958287","0.261655893064062","0.287532580852512"
"Several times a year","1984","35-65 y.","927","0.156016778516387","0.147007563993838","0.165025993038936"
"Several times a year","1984","66 and older","65","0.0508540544599747","0.0386010130124405","0.063107095907509"
"At least once a month","1984","16-34 y.","1190","0.289246869691","0.276102607764688","0.302391131617312"
"At least once a month","1984","35-65 y.","855","0.159233199755481","0.150148952279617","0.168317447231344"
"At least once a month","1984","66 and older","73","0.0578948650122848","0.0448696674122954","0.0709200626122742"
"At lease once a week","1984","16-34 y.","","","",""
"At lease once a week","1984","35-65 y.","","","",""
"At lease once a week","1984","66 and older","","","",""
"Almost never or never","1985","16-34 y.","1663","0.350101929373398","0.3355893730398","0.364614485706997"
"Almost never or never","1985","35-65 y.","3880","0.642257528435237","0.629823612611381","0.654691444259092"
"Almost never or never","1985","66 and older","961","0.885371241533397","0.866458941810859","0.904283541255935"
"Several times a year","1985","16-34 y.","811","0.203666131447882","0.191413452803929","0.215918810091835"
"Several times a year","1985","35-65 y.","594","0.110445586999113","0.102314876224225","0.118576297774001"
"Several times a year","1985","66 and older","28","","",""
"At least once a month","1985","16-34 y.","302","0.0727441959915984","0.0648424512343724","0.0806459407488244"
"At least once a month","1985","35-65 y.","222","0.0429983149856409","0.0377363235227037","0.0482603064485782"
"At least once a month","1985","66 and older","18","","",""
"At lease once a week","1985","16-34 y.","1374","0.373487743187121","0.358770481721717","0.388205004652524"
"At lease once a week","1985","35-65 y.","1013","0.204298569580009","0.193839915430037","0.214757223729982"
"At lease once a week","1985","66 and older","83","0.0741584483054484","0.0586029655740963","0.0897139310368004"
"Almost never or never","1986","16-34 y.","1578","0.342096129612955","0.327535512515565","0.356656746710345"
"Almost never or never","1986","35-65 y.","3646","0.636028429091","0.623221637858835","0.648835220323165"
"Almost never or never","1986","66 and older","914","0.896392040357129","0.877753649041245","0.915030431673013"
"Several times a year","1986","16-34 y.","724","0.194694908937476","0.182541950845273","0.206847867029679"
"Several times a year","1986","35-65 y.","537","0.103696852144442","0.0955820379211687","0.111811666367716"
"Several times a year","1986","66 and older","18","","",""
"At least once a month","1986","16-34 y.","305","0.079641167279065","0.0713317248929042","0.0879506096652257"
"At least once a month","1986","35-65 y.","244","0.0473477373577497","0.0416946571036144","0.053000817611885"
"At least once a month","1986","66 and older","18","","",""
"At lease once a week","1986","16-34 y.","1471","0.383567794170505","0.368643692188106","0.398491896152903"
"At lease once a week","1986","35-65 y.","995","0.212926981406808","0.202030376724736","0.223823586088879"
"At lease once a week","1986","66 and older","77","0.0718408932066664","0.0560480637342656","0.0876337226790671"
"Almost never or never","1987","16-34 y.","","","",""
"Almost never or never","1987","35-65 y.","","","",""
"Almost never or never","1987","66 and older","","","",""
"Several times a year","1987","16-34 y.","","","",""
"Several times a year","1987","35-65 y.","","","",""
"Several times a year","1987","66 and older","","","",""
"At least once a month","1987","16-34 y.","","","",""
"At least once a month","1987","35-65 y.","","","",""
"At least once a month","1987","66 and older","","","",""
"At lease once a week","1987","16-34 y.","","","",""
