"m11104","year","bula_h","sex","n","percent","lower_confidence","upper_confidence","value"
"Several times a year","1984","Schleswig-Holstein","Female","31","0.147360859185479","0.0978627415932993","0.196858976777659","2"
"Several times a year","1984","Bremen","Male","9","","","","2"
"Several times a year","1984","Hamburg","Female","29","","","","2"
"Several times a year","1984","Lower Saxony","Female","97","0.155204875821676","0.126586899976677","0.183822851666675","2"
"Several times a year","1984","Hamburg","Male","28","","","","2"
"Several times a year","1984","Lower Saxony","Male","124","0.198971607464989","0.166893471973763","0.231049742956216","2"
"Several times a year","1984","Schleswig-Holstein","Male","39","0.211124785553238","0.15294247617969","0.269307094926786","2"
"Several times a year","1984","North Rhine-Westphalia","Female","252","0.148638320373829","0.131331739552611","0.165944901195047","2"
"Several times a year","1984","Bremen","Female","6","","","","2"
"Several times a year","1984","North Rhine-Westphalia","Male","349","0.215057012033677","0.19491255507874","0.235201468988614","2"
"Several times a year","1984","Hesse","Male","109","0.159899813775112","0.131165713579323","0.188633913970901","2"
"Several times a year","1984","Hesse","Female","105","0.147072793263139","0.119148897525696","0.174996689000583","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","Male","74","0.170464921188875","0.134372588451901","0.206557253925849","2"
"Several times a year","1984","Rhineland-Palatinate,Saarland","Female","54","0.121886485787599","0.0910718349408286","0.15270113663437","2"
"Several times a year","1984","Baden-Württemberg","Male","209","0.18491092667776","0.162143951837205","0.207677901518316","2"
"Several times a year","1984","Bavaria","Female","201","0.179350109227077","0.15643773889698","0.202262479557174","2"
"Several times a year","1984","Baden-Württemberg","Female","180","0.175715570097287","0.153387064124355","0.198044076070219","2"
"Several times a year","1984","Bavaria","Male","228","0.22301171367556","0.196923175980932","0.249100251370188","2"
"Several times a year","1984","Berlin","Male","53","0.234551587304406","0.174927138449038","0.294176036159775","2"
"Several times a year","1984","Berlin","Female","39","0.157353731235637","0.108104481655703","0.20660298081557","2"
"Several times a year","1984","Brandenburg","Male","","","","","2"
"Several times a year","1984","Brandenburg","Female","","","","","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","Male","","","","","2"
"Several times a year","1984","Mecklenburg-Western Pomerania","Female","","","","","2"
"Several times a year","1984","Saxony-Anhalt","Female","","","","","2"
"Several times a year","1984","Thuringia","Male","","","","","2"
"Several times a year","1984","Thuringia","Female","","","","","2"
"Several times a year","1984","Saxony","Male","","","","","2"
"Several times a year","1984","Saxony","Female","","","","","2"
"Several times a year","1984","Saxony-Anhalt","Male","","","","","2"
"Almost never or never","1985","Schleswig-Holstein","Male","78","0.454286974084938","0.378771290554328","0.529802657615548","1"
"Almost never or never","1985","Schleswig-Holstein","Female","114","0.647533926380411","0.577935611012143","0.717132241748679","1"
"Almost never or never","1985","Hamburg","Male","67","0.472452015199156","0.388853676984643","0.55605035341367","1"
"Almost never or never","1985","Hamburg","Female","82","0.560178882202281","0.47766213568904","0.642695628715522","1"
"Almost never or never","1985","Lower Saxony","Male","283","0.555260950015061","0.512993891178368","0.597528008851753","1"
"Almost never or never","1985","Lower Saxony","Female","351","0.631041040538205","0.59111240281101","0.670969678265399","1"
"Almost never or never","1985","Bremen","Male","33","0.717601253259134","0.596406691394437","0.838795815123831","1"
"Almost never or never","1985","Bremen","Female","41","0.663683392970283","0.546083513112115","0.781283272828451","1"
"Almost never or never","1985","North Rhine-Westphalia","Male","776","0.526554293008708","0.500960710864384","0.552147875153031","1"
"Almost never or never","1985","North Rhine-Westphalia","Female","970","0.638900085829754","0.614429329125486","0.663370842534022","1"
"Almost never or never","1985","Hesse","Male","325","0.55699687129601","0.515928289310752","0.598065453281267","1"
"Almost never or never","1985","Hesse","Female","374","0.654827557344309","0.615309805744035","0.694345308944583","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","Male","209","0.566446296945804","0.516554481518638","0.616338112372969","1"
"Almost never or never","1985","Rhineland-Palatinate,Saarland","Female","258","0.665246833049638","0.617985881756418","0.712507784342859","1"
"Almost never or never","1985","Baden-Württemberg","Male","568","0.529550043042168","0.498949237187761","0.560150848896575","1"
"Almost never or never","1985","Baden-Württemberg","Female","710","0.660263845617945","0.631141196422863","0.689386494813027","1"
"Almost never or never","1985","Bavaria","Male","452","0.504540254922268","0.471875535292047","0.537204974552489","1"
"Almost never or never","1985","Bavaria","Female","600","0.603710082129894","0.573287631648206","0.634132532611581","1"
"Almost never or never","1985","Berlin","Male","85","0.481248257768494","0.407220697598801","0.555275817938188","1"
"Almost never or never","1985","Berlin","Female","128","0.670894149250722","0.60408036130876","0.737707937192684","1"
"Almost never or never","1985","Brandenburg","Male","","","","","1"
"Almost never or never","1985","Brandenburg","Female","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","Male","","","","","1"
"Almost never or never","1985","Mecklenburg-Western Pomerania","Female","","","","","1"
"Almost never or never","1985","Saxony","Male","","","","","1"
"Almost never or never","1985","Saxony","Female","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","Male","","","","","1"
"Almost never or never","1985","Saxony-Anhalt","Female","","","","","1"
"Almost never or never","1985","Thuringia","Male","","","","","1"
"Almost never or never","1985","Thuringia","Female","","","","","1"
"At lease once a week","1985","Schleswig-Holstein","Male","51","0.320868136180676","0.250068633847793","0.391667638513559","4"
"At lease once a week","1985","Hamburg","Female","38","0.294107648650585","0.218361058271188","0.369854239029982","4"
"At lease once a week","1985","Hesse","Male","146","0.287381610186667","0.249967283594972","0.324795936778361","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","Male","92","0.234510409852187","0.191854501617065","0.27716631808731","4"
"At lease once a week","1985","Schleswig-Holstein","Female","40","0.205164842088127","0.146334847528744","0.263994836647511","4"
"At lease once a week","1985","Hamburg","Male","44","0.323028893491578","0.244723160551256","0.401334626431901","4"
"At lease once a week","1985","Hesse","Female","96","0.205629940355456","0.172035662997797","0.239224217713115","4"
"At lease once a week","1985","Rhineland-Palatinate,Saarland","Female","64","0.174608631091433","0.136588683017621","0.212628579165245","4"
"At lease once a week","1985","Baden-Württemberg","Male","238","0.248001606495667","0.221525242289305","0.27447797070203","4"
"At lease once a week","1985","Baden-Württemberg","Female","166","0.197726226077014","0.173235894032891","0.222216558121137","4"
"At lease once a week","1985","Bavaria","Male","256","0.293414092225307","0.263666637902675","0.323161546547939","4"
"At lease once a week","1985","Lower Saxony","Female","120","0.218883042353526","0.184666923031495","0.253099161675557","4"
"At lease once a week","1985","Bremen","Male","5","","","","4"
"At lease once a week","1985","Lower Saxony","Male","150","0.271630939310841","0.233798338927859","0.309463539693824","4"
"At lease once a week","1985","Bremen","Female","9","","","","4"
"At lease once a week","1985","North Rhine-Westphalia","Male","397","0.274772294962062","0.251890079611471","0.297654510312654","4"
"At lease once a week","1985","Bavaria","Female","206","0.217095405669865","0.191453328436029","0.242737482903701","4"
"At lease once a week","1985","Berlin","Male","45","0.293580383848144","0.226108325557826","0.361052442138462","4"
"At lease once a week","1985","Berlin","Female","33","0.174344803749405","0.120396827978999","0.228292779519811","4"
"At lease once a week","1985","Brandenburg","Male","","","","","4"
"At lease once a week","1985","Brandenburg","Female","","","","","4"
"At lease once a week","1985","North Rhine-Westphalia","Female","274","0.207413966826274","0.186757338298334","0.228070595354214","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","Male","","","","","4"
"At lease once a week","1985","Mecklenburg-Western Pomerania","Female","","","","","4"
"At lease once a week","1985","Saxony","Male","","","","","4"
"At lease once a week","1985","Saxony","Female","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","Male","","","","","4"
"At lease once a week","1985","Saxony-Anhalt","Female","","","","","4"
"At lease once a week","1985","Thuringia","Male","","","","","4"
"At lease once a week","1985","Thuringia","Female","","","","","4"
"At least once a month","1985","Lower Saxony","Female","20","","","","3"
"At least once a month","1985","Lower Saxony","Male","26","","","","3"
"At least once a month","1985","Schleswig-Holstein","Female","6","","","","3"
"At least once a month","1985","Hamburg","Female","6","","","","3"
"At least once a month","1985","Hamburg","Male","14","","","","3"
"At least once a month","1985","Schleswig-Holstein","Male","11","","","","3"
"At least once a month","1985","Bremen","Female","4","","","","3"
"At least once a month","1985","North Rhine-Westphalia","Female","51","0.0347627531693687","0.0254303960001808","0.0440951103385565","3"
"At least once a month","1985","Bremen","Male","5","","","","3"
"At least once a month","1985","North Rhine-Westphalia","Male","78","0.0553475463803013","0.0436266825729206","0.067068410187682","3"
"At least once a month","1985","Hesse","Male","28","","","","3"
"At least once a month","1985","Hesse","Female","16","","","","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","Male","23","","","","3"
"At least once a month","1985","Rhineland-Palatinate,Saarland","Female","14","","","","3"
"At least once a month","1985","Baden-Württemberg","Male","72","0.0720783583977608","0.0562228293191497","0.0879338874763718","3"
"At least once a month","1985","Baden-Württemberg","Female","35","0.0354983356247714","0.0241205768105836","0.0468760944389592","3"
"At least once a month","1985","Saxony-Anhalt","Male","","","","","3"
"At least once a month","1985","Saxony-Anhalt","Female","","","","","3"
"At least once a month","1985","Thuringia","Male","","","","","3"
"At least once a month","1985","Thuringia","Female","","","","","3"
"At least once a month","1985","Bavaria","Male","65","0.0687434536000123","0.0522132889628926","0.0852736182371319","3"
"At least once a month","1985","Bavaria","Female","45","0.0456458705918657","0.0326642475917906","0.0586274935919408","3"
"At least once a month","1985","Berlin","Female","11","","","","3"
"At least once a month","1985","Berlin","Male","12","","","","3"
"At least once a month","1985","Brandenburg","Male","","","","","3"
"At least once a month","1985","Brandenburg","Female","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","Male","","","","","3"
"At least once a month","1985","Mecklenburg-Western Pomerania","Female","","","","","3"
"At least once a month","1985","Saxony","Male","","","","","3"
"At least once a month","1985","Saxony","Female","","","","","3"
"Several times a year","1985","Schleswig-Holstein","Female","21","","","","2"
"Several times a year","1985","Hamburg","Male","12","","","","2"
"Several times a year","1985","Hamburg","Female","13","","","","2"
"Several times a year","1985","Lower Saxony","Male","72","0.127827800929168","0.0994280449202353","0.156227556938101","2"
"Several times a year","1985","Lower Saxony","Female","70","0.120300969029972","0.0933813890140367","0.147220549045907","2"
"Several times a year","1985","Schleswig-Holstein","Male","27","","","","2"
"Several times a year","1985","North Rhine-Westphalia","Female","185","0.118923194174603","0.102431798931135","0.135414589418071","2"
"Several times a year","1985","Bremen","Male","10","","","","2"
"Several times a year","1985","North Rhine-Westphalia","Male","211","0.143325865648929","0.125364286406243","0.161287444891614","2"
"Several times a year","1985","Bremen","Female","8","","","","2"
"Several times a year","1985","Hesse","Male","63","0.113173553407861","0.0869813685485503","0.139365738267172","2"
"Several times a year","1985","Hesse","Female","70","0.111639183591496","0.0854625545535907","0.137815812629402","2"
"Several times a year","1985","Rhineland-Palatinate,Saarland","Male","55","0.146122293559859","0.110560425718863","0.181684161400854","2"
"Several times a year","1985","Rhineland-Palatinate,Saarland","Female","47","0.115909461496576","0.0838499781286772","0.147968944864474","2"
"Several times a year","1985","Baden-Württemberg","Male","144","0.150369992064404","0.128456168891624","0.172283815237184","2"
"Several times a year","1985","Baden-Württemberg","Female","105","0.10651159268027","0.0875426057424247","0.125480579618115","2"
"Several times a year","1985","Bavaria","Male","127","0.133302199252413","0.111095738791891","0.155508659712936","2"
"Several times a year","1985","Bavaria","Female","142","0.133548641608376","0.112391095416679","0.154706187800072","2"
"Several times a year","1985","Berlin","Male","33","0.159729563786978","0.105450635845059","0.214008491728896","2"
"Several times a year","1985","Berlin","Female","18","","","","2"
"Several times a year","1985","Brandenburg","Male","","","","","2"
"Several times a year","1985","Brandenburg","Female","","","","","2"
"Several times a year","1985","Mecklenburg-Western Pomerania","Male","","","","","2"
"Several times a year","1985","Mecklenburg-Western Pomerania","Female","","","","","2"
"Several times a year","1985","Saxony-Anhalt","Female","","","","","2"
"Several times a year","1985","Thuringia","Female","","","","","2"
"Several times a year","1985","Saxony","Male","","","","","2"
"Several times a year","1985","Thuringia","Male","","","","","2"
"Several times a year","1985","Saxony","Female","","","","","2"
"Several times a year","1985","Saxony-Anhalt","Male","","","","","2"
"Almost never or never","1986","Schleswig-Holstein","Male","78","0.493612924372086","0.415408228328284","0.571817620415887","1"
"Almost never or never","1986","Schleswig-Holstein","Female","100","0.624059212594308","0.549701347599328","0.698417077589287","1"
"Almost never or never","1986","Hamburg","Male","67","0.51441350753221","0.427146054864723","0.601680960199697","1"
"Almost never or never","1986","Hamburg","Female","76","0.605301169475942","0.51961479632763","0.690987542624253","1"
"Almost never or never","1986","Lower Saxony","Male","280","0.551876675629829","0.509854672815829","0.59389867844383","1"
"Almost never or never","1986","Lower Saxony","Female","331","0.60338221104333","0.562973384468556","0.643791037618104","1"
"Almost never or never","1986","Bremen","Male","36","0.76321488946996","0.645382766907747","0.881047012032172","1"
"Almost never or never","1986","Bremen","Female","39","0.608813515792558","0.483219728313124","0.734407303271992","1"
"Almost never or never","1986","North Rhine-Westphalia","Male","718","0.495479611456264","0.469391848533741","0.521567374378787","1"
"Almost never or never","1986","North Rhine-Westphalia","Female","914","0.642054042074261","0.617207005699091","0.666901078449431","1"
"Almost never or never","1986","Hesse","Male","292","0.534022389443934","0.49118810786812","0.576856671019749","1"
"Almost never or never","1986","Hesse","Female","362","0.681345907351476","0.641258498242476","0.721433316460475","1"
"Almost never or never","1986","Rhineland-Palatinate,Saarland","Male","215","0.574237254879735","0.52439109545058","0.62408341430889","1"
"Almost never or never","1986","Rhineland-Palatinate,Saarland","Female","278","0.717956184992914","0.673180783473649","0.762731586512179","1"
"Almost never or never","1986","Baden-Württemberg","Male","532","0.520361180785554","0.489535539822078","0.551186821749029","1"
"Almost never or never","1986","Baden-Württemberg","Female","666","0.643013016676213","0.613001163174713","0.673024870177712","1"
"Almost never or never","1986","Bavaria","Male","397","0.480492794441691","0.446806056041027","0.514179532842354","1"
"Almost never or never","1986","Bavaria","Female","543","0.609193986721363","0.57761327990395","0.640774693538775","1"
"Almost never or never","1986","Berlin","Male","94","0.545252204711709","0.471264852901369","0.619239556522049","1"
"Almost never or never","1986","Berlin","Female","120","0.73369382256131","0.668389818763945","0.798997826358674","1"
"Almost never or never","1986","Brandenburg","Male","","","","","1"
"Almost never or never","1986","Brandenburg","Female","","","","","1"
"Almost never or never","1986","Mecklenburg-Western Pomerania","Male","","","","","1"
"Almost never or never","1986","Mecklenburg-Western Pomerania","Female","","","","","1"
"Almost never or never","1986","Saxony","Male","","","","","1"
"Almost never or never","1986","Saxony","Female","","","","","1"
"Almost never or never","1986","Saxony-Anhalt","Male","","","","","1"
"Almost never or never","1986","Saxony-Anhalt","Female","","","","","1"
"Almost never or never","1986","Thuringia","Male","","","","","1"
"Almost never or never","1986","Thuringia","Female","","","","","1"
"At lease once a week","1986","Schleswig-Holstein","Male","44","0.289845636445807","0.218878378025558","0.360812894866055","4"
"At lease once a week","1986","Hamburg","Male","35","0.287149695733231","0.208151682640238","0.366147708826225","4"
"At lease once a week","1986","Schleswig-Holstein","Female","39","0.229054684640631","0.164543403764649","0.293565965516613","4"
"At lease once a week","1986","Hamburg","Female","27","","","","4"
"At lease once a week","1986","Baden-Württemberg","Male","265","0.260434384361259","0.233354922798368","0.287513845924149","4"
"At lease once a week","1986","Baden-Württemberg","Female","163","0.185252388301972","0.160916332026036","0.209588444577909","4"
"At lease once a week","1986","Rhineland-Palatinate,Saarland","Female","59","0.157701295880716","0.12143669304274","0.193965898718691","4"
"At lease once a week","1986","Bavaria","Male","265","0.317565140048","0.286176915594822","0.348953364501177","4"
"At lease once a week","1986","Lower Saxony","Male","162","0.283900309008929","0.245800163968271","0.322000454049586","4"
"At lease once a week","1986","Lower Saxony","Female","134","0.23795461306509","0.20277983409644","0.27312939203374","4"
"At lease once a week","1986","Bremen","Male","3","","","","4"
"At lease once a week","1986","Bremen","Female","11","","","","4"
"At lease once a week","1986","North Rhine-Westphalia","Male","423","0.311199183151565","0.287041758419908","0.335356607883223","4"
"At lease once a week","1986","North Rhine-Westphalia","Female","288","0.208081542301029","0.187041961425026","0.229121123177031","4"
"At lease once a week","1986","Hesse","Male","157","0.309376228052613","0.269685098267799","0.349067357837426","4"
"At lease once a week","1986","Hesse","Female","91","0.191603231019692","0.157743920460352","0.225462541579033","4"
"At lease once a week","1986","Rhineland-Palatinate,Saarland","Male","93","0.229141069791458","0.186772762505151","0.271509377077764","4"
"At lease once a week","1986","Bavaria","Female","214","0.229033159151763","0.20183556713817","0.256230751165357","4"
"At lease once a week","1986","Berlin","Male","44","0.281468260047661","0.214647538697407","0.348288981397915","4"
"At lease once a week","1986","Berlin","Female","26","","","","4"
"At lease once a week","1986","Brandenburg","Male","","","","","4"
"At lease once a week","1986","Brandenburg","Female","","","","","4"
"At lease once a week","1986","Mecklenburg-Western Pomerania","Male","","","","","4"
"At lease once a week","1986","Mecklenburg-Western Pomerania","Female","","","","","4"
"At lease once a week","1986","Saxony","Male","","","","","4"
"At lease once a week","1986","Saxony","Female","","","","","4"
"At lease once a week","1986","Saxony-Anhalt","Male","","","","","4"
"At lease once a week","1986","Saxony-Anhalt","Female","","","","","4"
"At lease once a week","1986","Thuringia","Male","","","","","4"
"At lease once a week","1986","Thuringia","Female","","","","","4"
"At least once a month","1986","Lower Saxony","Male","30","0.050349443195482","0.0318722413592259","0.0688266450317381","3"
"At least once a month","1986","Lower Saxony","Female","28","","","","3"
"At least once a month","1986","Hamburg","Female","8","","","","3"
"At least once a month","1986","Schleswig-Holstein","Male","11","","","","3"
"At least once a month","1986","Schleswig-Holstein","Female","5","","","","3"
"At least once a month","1986","Hamburg","Male","11","","","","3"
"At least once a month","1986","Bremen","Male","3","","","","3"
"At least once a month","1986","Bremen","Female","3","","","","3"
"At least once a month","1986","North Rhine-Westphalia","Male","84","0.0561573755540585","0.0441447544486715","0.0681699966594454","3"
"At least once a month","1986","North Rhine-Westphalia","Female","60","0.0426509923842173","0.0321777829492129","0.0531242018192217","3"
"At least once a month","1986","Hesse","Female","19","","","","3"
"At least once a month","1986","Hesse","Male","17","","","","3"
"At least once a month","1986","Rhineland-Palatinate,Saarland","Male","28","","","","3"
"At least once a month","1986","Rhineland-Palatinate,Saarland","Female","15","","","","3"
"At least once a month","1986","Baden-Württemberg","Male","69","0.0645471672734609","0.049385322400494","0.0797090121464278","3"
"At least once a month","1986","Thuringia","Male","","","","","3"
"At least once a month","1986","Thuringia","Female","","","","","3"
"At least once a month","1986","Saxony-Anhalt","Female","","","","","3"
"At least once a month","1986","Baden-Württemberg","Female","42","0.0480819405749368","0.0346806222912853","0.0614832588585883","3"
"At least once a month","1986","Bavaria","Male","57","0.0630766138760131","0.0466855945711324","0.0794676331808938","3"
"At least once a month","1986","Berlin","Male","15","","","","3"
"At least once a month","1986","Bavaria","Female","52","0.0549242936652582","0.0401781329381676","0.0696704543923488","3"
"At least once a month","1986","Berlin","Female","10","","","","3"
"At least once a month","1986","Brandenburg","Male","","","","","3"
"At least once a month","1986","Mecklenburg-Western Pomerania","Male","","","","","3"
"At least once a month","1986","Brandenburg","Female","","","","","3"
"At least once a month","1986","Mecklenburg-Western Pomerania","Female","","","","","3"
"At least once a month","1986","Saxony","Male","","","","","3"
"At least once a month","1986","Saxony","Female","","","","","3"
"At least once a month","1986","Saxony-Anhalt","Male","","","","","3"
"Several times a year","1986","Schleswig-Holstein","Male","24","","","","2"
"Several times a year","1986","Hamburg","Male","13","","","","2"
"Several times a year","1986","Hamburg","Female","14","","","","2"
"Several times a year","1986","Lower Saxony","Female","70","0.110485178116579","0.0845897856077359","0.136380570625422","2"
"Several times a year","1986","Schleswig-Holstein","Female","19","","","","2"
"Several times a year","1986","Lower Saxony","Male","66","0.11387357216576","0.0870314857618437","0.140715658569676","2"
"Several times a year","1986","North Rhine-Westphalia","Male","186","0.137163829838112","0.119213660218352","0.155113999457872","2"
"Several times a year","1986","Bremen","Male","8","","","","2"
"Several times a year","1986","Bremen","Female","5","","","","2"
"Several times a year","1986","North Rhine-Westphalia","Female","168","0.107213423240493","0.0911780719077939","0.123248774573192","2"
"Several times a year","1986","Hesse","Male","55","0.115429997291025","0.0879918567729416","0.142868137809109","2"
"Several times a year","1986","Hesse","Female","47","0.0918155410354812","0.0669722261570938","0.116658855913869","2"
"Several times a year","1986","Rhineland-Palatinate,Saarland","Male","42","0.11792127901163","0.0854086600453899","0.150433897977871","2"
"Several times a year","1986","Rhineland-Palatinate,Saarland","Female","36","0.0850575347642851","0.0572997044615709","0.112815365066999","2"
"Several times a year","1986","Baden-Württemberg","Male","143","0.154657267579727","0.132347035601269","0.176967499558184","2"
"Several times a year","1986","Baden-Württemberg","Female","108","0.123652654446878","0.103032277276161","0.144273031617596","2"
"Several times a year","1986","Bavaria","Female","108","0.106848560461616","0.0868540713310413","0.12684304959219","2"
"Several times a year","1986","Bavaria","Male","126","0.138865451634297","0.115549542793391","0.162181360475202","2"
"Several times a year","1986","Berlin","Male","21","","","","2"
