"plb0050","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"No","2001","Full Time","3895","0.442552638151146","0.432128877056349","0.452976399245943","2"
"No","2001","Part Time","2044","0.581611305541616","0.565422942825146","0.597799668258087","2"
"No","2001","Not Working","159","0.727987913809537","0.668367170041295","0.787608657577779","2"
"Yes","2001","Full Time","4827","0.557447361848854","0.547023600754057","0.567871122943651","1"
"Yes","2001","Part Time","1523","0.418388694458384","0.402200331741913","0.434577057174854","1"
"Yes","2001","Not Working","55","0.272012086190463","0.212391342422221","0.331632829958705","1"
"No","2002","Full Time","","","","","2"
"No","2002","Part Time","","","","","2"
"No","2002","Not Working","","","","","2"
"Yes","2002","Full Time","","","","","1"
"Yes","2002","Part Time","","","","","1"
"Yes","2002","Not Working","","","","","1"
"No","2003","Full Time","","","","","2"
"No","2003","Part Time","","","","","2"
"No","2003","Not Working","","","","","2"
"Yes","2003","Full Time","","","","","1"
"Yes","2003","Part Time","","","","","1"
"Yes","2003","Not Working","","","","","1"
"No","2004","Not Working","","","","","2"
"No","2004","Full Time","","","","","2"
"No","2004","Part Time","","","","","2"
"Yes","2004","Full Time","","","","","1"
"Yes","2004","Part Time","","","","","1"
"Yes","2004","Not Working","","","","","1"
"No","2005","Full Time","","","","","2"
"No","2005","Not Working","","","","","2"
"No","2005","Part Time","","","","","2"
"Yes","2005","Full Time","","","","","1"
"Yes","2005","Part Time","","","","","1"
"Yes","2005","Not Working","","","","","1"
"No","2006","Full Time","3580","0.446396472237954","0.435581214508291","0.457211729967617","2"
"No","2006","Part Time","2219","0.597305332885203","0.581744600158655","0.612866065611752","2"
"No","2006","Not Working","140","0.719419506911091","0.656521063599606","0.782317950222575","2"
"Yes","2006","Full Time","4536","0.553603527762046","0.542788270032383","0.564418785491709","1"
"Yes","2006","Part Time","1597","0.402694667114797","0.387133934388248","0.418255399841345","1"
"Yes","2006","Not Working","56","0.280580493088909","0.217682049777425","0.343478936400393","1"
"No","2007","Full Time","","","","","2"
"No","2007","Part Time","","","","","2"
"No","2007","Not Working","","","","","2"
"Yes","2007","Full Time","","","","","1"
"Yes","2007","Part Time","","","","","1"
"Yes","2007","Not Working","","","","","1"
"No","2008","Full Time","","","","","2"
"No","2008","Part Time","","","","","2"
"No","2008","Not Working","","","","","2"
"Yes","2008","Full Time","","","","","1"
"Yes","2008","Part Time","","","","","1"
"Yes","2008","Not Working","","","","","1"
"No","2009","Full Time","","","","","2"
"No","2009","Part Time","","","","","2"
"No","2009","Not Working","","","","","2"
"Yes","2009","Full Time","","","","","1"
"Yes","2009","Part Time","","","","","1"
"Yes","2009","Not Working","","","","","1"
"No","2010","Full Time","","","","","2"
"No","2010","Part Time","","","","","2"
"No","2010","Not Working","","","","","2"
"Yes","2010","Full Time","","","","","1"
"Yes","2010","Part Time","","","","","1"
"Yes","2010","Not Working","","","","","1"
"No","2011","Full Time","3083","0.421318337019124","0.409999170639769","0.432637503398479","2"
"No","2011","Part Time","2010","0.552577712169288","0.536462311785848","0.568693112552728","2"
"No","2011","Not Working","91","0.563395134281737","0.485815255539776","0.640975013023699","2"
"Yes","2011","Full Time","4227","0.578681662980876","0.567362496601521","0.590000829360231","1"
"Yes","2011","Part Time","1647","0.447422287830712","0.431306887447272","0.463537688214151","1"
"Yes","2011","Not Working","66","0.436604865718263","0.359024986976301","0.514184744460224","1"
"No","2012","Full Time","","","","","2"
"No","2012","Part Time","","","","","2"
"No","2012","Not Working","","","","","2"
"Yes","2012","Full Time","","","","","1"
"Yes","2012","Part Time","","","","","1"
"Yes","2012","Not Working","","","","","1"
"No","2013","Full Time","","","","","2"
"No","2013","Part Time","","","","","2"
"No","2013","Not Working","","","","","2"
"Yes","2013","Full Time","","","","","1"
"Yes","2013","Part Time","","","","","1"
"Yes","2013","Not Working","","","","","1"
"No","2014","Full Time","","","","","2"
"No","2014","Part Time","","","","","2"
"No","2014","Not Working","","","","","2"
"Yes","2014","Full Time","","","","","1"
