"pli0098_h","year","pgcasmin","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","in school","","","",""
"Daily","1990","(0) in school","inadequately","","","",""
"Daily","1990","(0) in school","general elemantary","","","",""
"Daily","1990","(0) in school","middle vocational","","","",""
"Daily","1990","(0) in school","vocational + Abi","","","",""
"Daily","1990","(0) in school","higher vocational","","","",""
"Daily","1990","(0) in school","higher education","","","",""
"Daily","1990","(1a) inadequately completed","in school","","","",""
"Daily","1990","(1a) inadequately completed","inadequately","12","","",""
"Daily","1990","(1a) inadequately completed","general elemantary","","","",""
"Daily","1990","(1a) inadequately completed","middle vocational","1","","",""
"Daily","1990","(1a) inadequately completed","vocational + Abi","","","",""
"Daily","1990","(1a) inadequately completed","higher vocational","","","",""
"Daily","1990","(1a) inadequately completed","higher education","","","",""
"Daily","1990","(1b) general elementary school","in school","","","",""
"Daily","1990","(1b) general elementary school","inadequately","","","",""
"Daily","1990","(1b) general elementary school","general elemantary","28","","",""
"Daily","1990","(1b) general elementary school","middle vocational","","","",""
"Daily","1990","(1b) general elementary school","vocational + Abi","","","",""
"Daily","1990","(1b) general elementary school","higher vocational","","","",""
"Daily","1990","(1b) general elementary school","higher education","","","",""
"Daily","1990","(1c) basic vocational qualification","in school","","","",""
"Daily","1990","(1c) basic vocational qualification","inadequately","","","",""
"Daily","1990","(1c) basic vocational qualification","general elemantary","","","",""
"Daily","1990","(1c) basic vocational qualification","middle vocational","26","","",""
"Daily","1990","(1c) basic vocational qualification","vocational + Abi","","","",""
"Daily","1990","(1c) basic vocational qualification","higher vocational","1","","",""
"Daily","1990","(1c) basic vocational qualification","higher education","","","",""
"Daily","1990","(2b) intermediate general qualification","in school","","","",""
"Daily","1990","(2b) intermediate general qualification","inadequately","","","",""
"Daily","1990","(2b) intermediate general qualification","general elemantary","","","",""
"Daily","1990","(2b) intermediate general qualification","middle vocational","","","",""
"Daily","1990","(2b) intermediate general qualification","vocational + Abi","","","",""
"Daily","1990","(2b) intermediate general qualification","higher vocational","","","",""
"Daily","1990","(2b) intermediate general qualification","higher education","","","",""
"Daily","1990","(2a) intermediate vocational","in school","","","",""
"Daily","1990","(2a) intermediate vocational","inadequately","","","",""
"Daily","1990","(2a) intermediate vocational","general elemantary","","","",""
"Daily","1990","(2a) intermediate vocational","middle vocational","1","","",""
"Daily","1990","(2a) intermediate vocational","vocational + Abi","","","",""
"Daily","1990","(2a) intermediate vocational","higher vocational","1","","",""
"Daily","1990","(2a) intermediate vocational","higher education","","","",""
"Daily","1990","(2c_gen) general maturity certificate","in school","","","",""
"Daily","1990","(2c_gen) general maturity certificate","inadequately","","","",""
"Daily","1990","(2c_gen) general maturity certificate","general elemantary","","","",""
"Daily","1990","(2c_gen) general maturity certificate","middle vocational","1","","",""
"Daily","1990","(2c_gen) general maturity certificate","vocational + Abi","","","",""
"Daily","1990","(2c_gen) general maturity certificate","higher vocational","","","",""
"Daily","1990","(2c_gen) general maturity certificate","higher education","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","in school","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","inadequately","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","general elemantary","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","middle vocational","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","vocational + Abi","1","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","higher vocational","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","higher education","","","",""
"Daily","1990","(3a) lower tertiary education","in school","","","",""
"Daily","1990","(3a) lower tertiary education","inadequately","","","",""
"Daily","1990","(3a) lower tertiary education","general elemantary","","","",""
"Daily","1990","(3a) lower tertiary education","middle vocational","","","",""
"Daily","1990","(3a) lower tertiary education","vocational + Abi","","","",""
"Daily","1990","(3a) lower tertiary education","higher vocational","","","",""
"Daily","1990","(3a) lower tertiary education","higher education","3","","",""
"Daily","1990","(3b) higher tertiary education","in school","","","",""
"Daily","1990","(3b) higher tertiary education","inadequately","","","",""
"Daily","1990","(3b) higher tertiary education","general elemantary","","","",""
"Daily","1990","(3b) higher tertiary education","middle vocational","","","",""
"Daily","1990","(3b) higher tertiary education","vocational + Abi","","","",""
"Daily","1990","(3b) higher tertiary education","higher vocational","","","",""
"Daily","1990","(3b) higher tertiary education","higher education","2","","",""
"Min 1x per week","1990","(0) in school","in school","30","0.181739795257475","0.121799309078981","0.241680281435969"
"Min 1x per week","1990","(0) in school","inadequately","","","",""
"Min 1x per week","1990","(0) in school","general elemantary","","","",""
"Min 1x per week","1990","(0) in school","middle vocational","","","",""
"Min 1x per week","1990","(0) in school","vocational + Abi","","","",""
"Min 1x per week","1990","(0) in school","higher vocational","","","",""
"Min 1x per week","1990","(0) in school","higher education","","","",""
"Min 1x per week","1990","(1a) inadequately completed","in school","4","","",""
"Min 1x per week","1990","(1a) inadequately completed","inadequately","111","0.130272316606523","0.103604338189205","0.15694029502384"
"Min 1x per week","1990","(1a) inadequately completed","general elemantary","","","",""
"Min 1x per week","1990","(1a) inadequately completed","middle vocational","8","","",""
"Min 1x per week","1990","(1a) inadequately completed","vocational + Abi","","","",""
"Min 1x per week","1990","(1a) inadequately completed","higher vocational","","","",""
"Min 1x per week","1990","(1a) inadequately completed","higher education","","","",""
"Min 1x per week","1990","(1b) general elementary school","in school","","","",""
"Min 1x per week","1990","(1b) general elementary school","inadequately","5","","",""
"Min 1x per week","1990","(1b) general elementary school","general elemantary","382","0.170806476019846","0.155864761185508","0.185748190854184"
"Min 1x per week","1990","(1b) general elementary school","middle vocational","","","",""
"Min 1x per week","1990","(1b) general elementary school","vocational + Abi","","","",""
"Min 1x per week","1990","(1b) general elementary school","higher vocational","","","",""
"Min 1x per week","1990","(1b) general elementary school","higher education","","","",""
"Min 1x per week","1990","(1c) basic vocational qualification","in school","","","",""
