"plh0038","year","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Big worries","1984","general elemantary","1772","0.526950563072477","0.510249297163233","0.543651828981721","1"
"Big worries","1984","higher education","449","0.56166298461489","0.526952934759324","0.596373034470456","1"
"Big worries","1984","higher vocational","359","0.54335219747459","0.505234419921449","0.581469975027732","1"
"Big worries","1984","in school","107","0.553833604372046","0.482586803573136","0.625080405170956","1"
"Big worries","1984","inadequately","396","0.39884799038605","0.368407562378031","0.429288418394069","1"
"Big worries","1984","middle vocational","2988","0.534578808970173","0.521594351486581","0.547563266453766","1"
"Big worries","1984","vocational + Abi","191","0.628327566553626","0.574619300820399","0.682035832286854","1"
"No worries","1984","vocational + Abi","28","","","","3"
"No worries","1984","general elemantary","402","0.0984440386232486","0.0884784663050144","0.108409610941483","3"
"No worries","1984","middle vocational","548","0.0903833293943257","0.0829193877440199","0.0978472710446314","3"
"No worries","1984","higher education","65","0.0881670330976845","0.0683324068681187","0.10800165932725","3"
"No worries","1984","inadequately","247","0.236843894181659","0.210414166584973","0.263273621778345","3"
"No worries","1984","higher vocational","52","0.0830258024880466","0.0619112797162695","0.104140325259824","3"
"No worries","1984","in school","25","","","","3"
"Some worries","1984","middle vocational","2133","0.375037861635501","0.362435287142382","0.38764043612862","2"
"Some worries","1984","inadequately","351","0.364308115432291","0.334391486462153","0.394224744402429","2"
"Some worries","1984","vocational + Abi","92","0.283063672685021","0.232996823808284","0.333130521561757","2"
"Some worries","1984","general elemantary","1259","0.374605398304274","0.358414338789362","0.390796457819186","2"
"Some worries","1984","higher education","271","0.350169982287425","0.31680025908855","0.383539705486301","2"
"Some worries","1984","higher vocational","245","0.373622000037363","0.336602492282633","0.410641507792093","2"
"Some worries","1984","in school","55","0.312779181731172","0.246329277254904","0.379229086207439","2"
"Big worries","1985","general elemantary","1462","0.487264713950422","0.469490791105753","0.505038636795092","1"
"Big worries","1985","higher education","398","0.510192749783347","0.474440130150579","0.545945369416114","1"
"Big worries","1985","higher vocational","274","0.439416706298696","0.400254796146309","0.478578616451083","1"
"Big worries","1985","in school","83","0.461401981977051","0.389760638378288","0.533043325575814","1"
"Big worries","1985","inadequately","352","0.415846841149641","0.382133128519544","0.449560553779737","1"
"Big worries","1985","middle vocational","2551","0.497719888710955","0.484064314552787","0.511375462869122","1"
"Big worries","1985","vocational + Abi","156","0.546335299997825","0.487707265937509","0.604963334058142","1"
"No worries","1985","middle vocational","539","0.100328167372556","0.0921228009859913","0.10853353375912","3"
"No worries","1985","inadequately","169","0.207287827556509","0.179559659601655","0.235015995511362","3"
"No worries","1985","vocational + Abi","22","","","","3"
