"plh0182","year","regtyp","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1985","Urban Area","West Germany","89","0.0100576541494303","0.0079697883718125","0.0121455199270481","0"
"0 Completely dissatisfied","1985","Urban Area","East Germany","","","","","0"
"0 Completely dissatisfied","1985","Rural Area","West Germany","21","","","","0"
"0 Completely dissatisfied","1985","Rural Area","East Germany","","","","","0"
"1 on Scale 1 to 10","1985","Urban Area","West Germany","43","0.00463743673482235","0.00321583178766967","0.00605904168197503","1"
"1 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","Rural Area","West Germany","16","","","","1"
"10 Completely satisfied","1985","Urban Area","West Germany","1209","0.139168655071529","0.131926313106401","0.146410997036658","10"
"10 Completely satisfied","1985","Urban Area","East Germany","","","","","10"
"10 Completely satisfied","1985","Rural Area","West Germany","325","0.140099834333255","0.125830911136965","0.154368757529545","10"
"10 Completely satisfied","1985","Rural Area","East Germany","","","","","10"
"2 on Scale 1 to 10","1985","Urban Area","West Germany","107","0.0124158036297919","0.0100988157641727","0.0147327914954111","2"
"2 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","Rural Area","West Germany","32","0.0150084129485245","0.0100100013108306","0.0200068245862185","2"
"2 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","2"
"3 on Scale 1 to 10","1985","Urban Area","West Germany","216","0.0241349176855334","0.0209237197473194","0.0273461156237473","3"
"3 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","Rural Area","West Germany","60","0.0286062529145409","0.0217533195020761","0.0354591863270058","3"
"3 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","3"
"4 on Scale 1 to 10","1985","Urban Area","West Germany","261","0.0282365544256177","0.0247704997798626","0.0317026090713729","4"
"4 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","Rural Area","West Germany","89","0.0370359252577699","0.0292722919380269","0.0447995585775129","4"
"5 on Scale 1 to 10","1985","Urban Area","West Germany","1091","0.126639041774557","0.119680312020744","0.13359777152837","5"
"5 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","Rural Area","West Germany","251","0.117280380229746","0.104053042403124","0.130507718056368","5"
"5 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","5"
"6 on Scale 1 to 10","1985","Rural Area","West Germany","199","0.088611902937611","0.0769291261024114","0.100294679772811","6"
"6 on Scale 1 to 10","1985","Urban Area","West Germany","804","0.0915804867019577","0.0855452545988716","0.0976157188050439","6"
"6 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","6"
"7 on Scale 1 to 10","1985","Urban Area","West Germany","1512","0.169990197000325","0.162130553901786","0.177849840098864","7"
"7 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","7"
"7 on Scale 1 to 10","1985","Rural Area","West Germany","420","0.182161876791255","0.166294293203072","0.198029460379437","7"
"7 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","7"
"8 on Scale 1 to 10","1985","Urban Area","West Germany","2366","0.272392964756462","0.263077690106125","0.281708239406799","8"
"8 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","8"
"8 on Scale 1 to 10","1985","Rural Area","West Germany","563","0.250995309863575","0.233170559966701","0.268820059760449","8"
"8 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","8"
"9 on Scale 1 to 10","1985","Urban Area","West Germany","1076","0.120746288069973","0.113928503477855","0.127564072662091","9"
"9 on Scale 1 to 10","1985","Urban Area","East Germany","","","","","9"
"9 on Scale 1 to 10","1985","Rural Area","West Germany","297","0.124753366154446","0.111168988894023","0.138337743414868","9"
"9 on Scale 1 to 10","1985","Rural Area","East Germany","","","","","9"
"0 Completely dissatisfied","1986","Urban Area","West Germany","59","0.00685599746488446","0.00509473439710555","0.00861726053266338","0"
"0 Completely dissatisfied","1986","Urban Area","East Germany","","","","","0"
"0 Completely dissatisfied","1986","Rural Area","West Germany","4","","","","0"
"0 Completely dissatisfied","1986","Rural Area","East Germany","","","","","0"
"1 on Scale 1 to 10","1986","Urban Area","West Germany","48","0.00552413703035231","0.00394211642048365","0.00710615764022096","1"
"1 on Scale 1 to 10","1986","Urban Area","East Germany","","","","","1"
"1 on Scale 1 to 10","1986","Rural Area","West Germany","5","","","","1"
"1 on Scale 1 to 10","1986","Rural Area","East Germany","","","","","1"
"10 Completely satisfied","1986","Urban Area","East Germany","","","","","10"
"10 Completely satisfied","1986","Urban Area","West Germany","1026","0.123457496257357","0.116436026741913","0.130478965772801","10"
"10 Completely satisfied","1986","Rural Area","West Germany","255","0.115444941848034","0.10201826503671","0.128871618659358","10"
"10 Completely satisfied","1986","Rural Area","East Germany","","","","","10"
"2 on Scale 1 to 10","1986","Urban Area","West Germany","102","0.0131380831107612","0.0107076874035453","0.015568478817977","2"
"2 on Scale 1 to 10","1986","Urban Area","East Germany","","","","","2"
"2 on Scale 1 to 10","1986","Rural Area","West Germany","20","","","","2"
