"pli0082","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","in school","1","","",""
"Daily","1990","inadequately","3","","",""
"Daily","1990","general elemantary","14","","",""
"Daily","1990","middle vocational","10","","",""
"Daily","1990","vocational + Abi","","","",""
"Daily","1990","higher vocational","3","","",""
"Daily","1990","higher education","3","","",""
"Min 1x per week","1990","in school","8","","",""
"Min 1x per week","1990","inadequately","32","0.0459551911145824","0.0296306408085319","0.0622797414206329"
"Min 1x per week","1990","general elemantary","144","0.0562104735752262","0.0471271285005462","0.0652938186499061"
"Min 1x per week","1990","middle vocational","367","0.0882487750757719","0.0800031060989154","0.0964944440526284"
"Min 1x per week","1990","vocational + Abi","26","","",""
"Min 1x per week","1990","higher vocational","44","0.100341340933909","0.0743416466789482","0.12634103518887"
"Min 1x per week","1990","higher education","84","0.133360177887968","0.108121645017733","0.158598710758204"
"Min 1x per month","1990","in school","42","0.310037636028388","0.238816238231921","0.381259033824855"
"Min 1x per month","1990","inadequately","95","0.201695285587736","0.170411321946751","0.232979249228722"
"Min 1x per month","1990","general elemantary","621","0.250928721100569","0.233831073021835","0.268026369179303"
"Min 1x per month","1990","middle vocational","1488","0.330055999431903","0.316386694173161","0.343725304690645"
"Min 1x per month","1990","vocational + Abi","116","0.437972825414477","0.381163907020522","0.494781743808432"
"Min 1x per month","1990","higher vocational","206","0.385745791793472","0.343623297787082","0.427868285799862"
"Min 1x per month","1990","higher education","334","0.464154292942412","0.427130341677015","0.501178244207809"
"Rarely","1990","in school","100","0.615792722871134","0.540891199067248","0.69069424667502"
"Rarely","1990","inadequately","304","0.450968437657758","0.412174730647672","0.489762144667843"
"Rarely","1990","general elemantary","1225","0.501308142420671","0.481589903144989","0.521026381696353"
"Rarely","1990","middle vocational","2284","0.495026544987309","0.480492654153176","0.509560435821441"
"Rarely","1990","vocational + Abi","125","0.412707749804947","0.356335842658639","0.469079656951256"
"Rarely","1990","higher vocational","239","0.45792156763881","0.41480779550258","0.50103533977504"
"Rarely","1990","higher education","261","0.383998369768463","0.347891709219719","0.420105030317208"
"Never","1990","in school","11","","",""
"Never","1990","inadequately","198","0.29107373581506","0.25565838118059","0.32648909044953"
