"pli0097_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Full Time","West Germany","","","",""
"Daily","1985","Full Time","East Germany","","","",""
"Daily","1985","Part Time","West Germany","","","",""
"Daily","1985","Part Time","East Germany","","","",""
"Daily","1985","Not Working","West Germany","","","",""
"Daily","1985","Not Working","East Germany","","","",""
"Min 1x per week","1985","Full Time","West Germany","53","0.0127389921203058","0.00960916691338087","0.0158688173272307"
"Min 1x per week","1985","Full Time","East Germany","","","",""
"Min 1x per week","1985","Part Time","West Germany","18","","",""
"Min 1x per week","1985","Part Time","East Germany","","","",""
"Min 1x per week","1985","Not Working","West Germany","32","0.00765258427473419","0.00500351075897551","0.0103016577904929"
"Min 1x per week","1985","Not Working","East Germany","","","",""
"Min 1x per month","1985","Full Time","West Germany","111","0.0282384111230898","0.0236152763964625","0.0328615458497172"
"Min 1x per month","1985","Full Time","East Germany","","","",""
"Min 1x per month","1985","Part Time","West Germany","34","0.0182810551157124","0.0121598998670476","0.0244022103643772"
"Min 1x per month","1985","Part Time","East Germany","","","",""
"Min 1x per month","1985","Not Working","West Germany","54","0.0130107314622365","0.00956592243382373","0.0164555404906493"
"Min 1x per month","1985","Not Working","East Germany","","","",""
"Rarely","1985","Full Time","West Germany","274","0.0646081147070333","0.0577472810442324","0.0714689483698341"
"Rarely","1985","Full Time","East Germany","","","",""
"Rarely","1985","Part Time","West Germany","111","0.069926644228716","0.058274143880642","0.0815791445767901"
"Rarely","1985","Part Time","East Germany","","","",""
"Rarely","1985","Not Working","West Germany","132","0.0322279208510289","0.0268593243117163","0.0375965173903416"
"Rarely","1985","Not Working","East Germany","","","",""
"Never","1985","Full Time","West Germany","4494","0.894414482049571","0.885838020484682","0.90299094361446"
"Never","1985","Full Time","East Germany","","","",""
"Never","1985","Part Time","West Germany","1677","0.899519964849174","0.885783199739024","0.913256729959324"
"Never","1985","Part Time","East Germany","","","",""
"Never","1985","Not Working","West Germany","3939","0.947108763412","0.940304989608526","0.953912537215474"
"Never","1985","Not Working","East Germany","","","",""
"Daily","1986","Full Time","West Germany","","","",""
"Daily","1986","Full Time","East Germany","","","",""
"Daily","1986","Part Time","West Germany","","","",""
"Daily","1986","Part Time","East Germany","","","",""
"Daily","1986","Not Working","West Germany","","","",""
"Daily","1986","Not Working","East Germany","","","",""
"Min 1x per week","1986","Full Time","West Germany","62","0.0142289805707546","0.0108848008460407","0.0175731602954685"
"Min 1x per week","1986","Full Time","East Germany","","","",""
"Min 1x per week","1986","Part Time","West Germany","10","","",""
"Min 1x per week","1986","Part Time","East Germany","","","",""
"Min 1x per week","1986","Not Working","West Germany","24","","",""
"Min 1x per week","1986","Not Working","East Germany","","","",""
"Min 1x per month","1986","Full Time","West Germany","93","0.0232282589065326","0.0189750220801121","0.0274814957329531"
"Min 1x per month","1986","Full Time","East Germany","","","",""
"Min 1x per month","1986","Part Time","West Germany","30","0.021778879198409","0.0150620279519334","0.0284957304448847"
"Min 1x per month","1986","Part Time","East Germany","","","",""
"Min 1x per month","1986","Not Working","West Germany","46","0.0128803239084612","0.0093341765620958","0.0164264712548266"
"Min 1x per month","1986","Not Working","East Germany","","","",""
"Rarely","1986","Full Time","West Germany","280","0.0711485358437254","0.0638896358723286","0.0784074358151221"
"Rarely","1986","Full Time","East Germany","","","",""
"Rarely","1986","Part Time","West Germany","97","0.0615633198731492","0.0505023565388535","0.0726242832074449"
"Rarely","1986","Part Time","East Germany","","","",""
"Rarely","1986","Not Working","West Germany","124","0.0287746926680883","0.0235172587521555","0.0340321265840212"
"Rarely","1986","Not Working","East Germany","","","",""
"Never","1986","Full Time","West Germany","4383","0.891394224678987","0.882608530914989","0.900179918442986"
"Never","1986","Full Time","East Germany","","","",""
"Never","1986","Part Time","West Germany","1677","0.908712259090264","0.895458200898143","0.921966317282385"
"Never","1986","Part Time","East Germany","","","",""
"Never","1986","Not Working","West Germany","3690","0.952119615008078","0.945404815445633","0.958834414570522"
"Never","1986","Not Working","East Germany","","","",""
"Daily","1987","Full Time","West Germany","","","",""
"Daily","1987","Full Time","East Germany","","","",""
"Daily","1987","Part Time","West Germany","","","",""
"Daily","1987","Part Time","East Germany","","","",""
"Daily","1987","Not Working","West Germany","","","",""
"Daily","1987","Not Working","East Germany","","","",""
"Min 1x per week","1987","Full Time","West Germany","","","",""
"Min 1x per week","1987","Full Time","East Germany","","","",""
"Min 1x per week","1987","Part Time","West Germany","","","",""
"Min 1x per week","1987","Part Time","East Germany","","","",""
"Min 1x per week","1987","Not Working","West Germany","","","",""
"Min 1x per week","1987","Not Working","East Germany","","","",""
"Min 1x per month","1987","Full Time","West Germany","","","",""
"Min 1x per month","1987","Full Time","East Germany","","","",""
"Min 1x per month","1987","Part Time","West Germany","","","",""
"Min 1x per month","1987","Part Time","East Germany","","","",""
"Min 1x per month","1987","Not Working","West Germany","","","",""
"Min 1x per month","1987","Not Working","East Germany","","","",""
"Rarely","1987","Full Time","West Germany","","","",""
"Rarely","1987","Full Time","East Germany","","","",""
"Rarely","1987","Part Time","West Germany","","","",""
"Rarely","1987","Part Time","East Germany","","","",""
"Rarely","1987","Not Working","West Germany","","","",""
"Rarely","1987","Not Working","East Germany","","","",""
"Never","1987","Full Time","West Germany","","","",""
"Never","1987","Full Time","East Germany","","","",""
"Never","1987","Part Time","West Germany","","","",""
"Never","1987","Part Time","East Germany","","","",""
"Never","1987","Not Working","West Germany","","","",""
"Never","1987","Not Working","East Germany","","","",""
"Daily","1988","Full Time","West Germany","","","",""
"Daily","1988","Full Time","East Germany","","","",""
"Daily","1988","Part Time","West Germany","","","",""
"Daily","1988","Part Time","East Germany","","","",""
"Daily","1988","Not Working","West Germany","","","",""
"Daily","1988","Not Working","East Germany","","","",""
"Min 1x per week","1988","Full Time","West Germany","41","0.010147215818384","0.00723802607279472","0.0130564055639732"
"Min 1x per week","1988","Full Time","East Germany","","","",""
"Min 1x per week","1988","Part Time","West Germany","13","","",""
"Min 1x per week","1988","Part Time","East Germany","","","",""
"Min 1x per week","1988","Not Working","West Germany","15","","",""
"Min 1x per week","1988","Not Working","East Germany","","","",""
