"pli0093_h","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","West Germany","88","0.0233712427426559","0.0189163126603921","0.0278261728249197","1"
"Daily","1990","Full Time","East Germany","","","","","1"
"Daily","1990","Part Time","West Germany","55","0.0322423457624865","0.0238895255392499","0.0405951659857232","1"
"Daily","1990","Part Time","East Germany","","","","","1"
"Daily","1990","Not Working","West Germany","112","0.0326287540509877","0.0265808741692764","0.038676633932699","1"
"Daily","1990","Not Working","East Germany","","","","","1"
"Min 1x per month","1990","Full Time","East Germany","","","","","3"
"Min 1x per month","1990","Full Time","West Germany","532","0.139015199541079","0.128813697488652","0.149216701593506","3"
"Min 1x per month","1990","Part Time","West Germany","221","0.14641191332966","0.129695277100744","0.163128549558576","3"
"Min 1x per month","1990","Part Time","East Germany","","","","","3"
"Min 1x per month","1990","Not Working","West Germany","301","0.0930941870056325","0.0832029934770639","0.102985380534201","3"
"Min 1x per month","1990","Not Working","East Germany","","","","","3"
"Min 1x per week","1990","Full Time","East Germany","","","","","2"
"Min 1x per week","1990","Full Time","West Germany","389","0.100062033385451","0.0912134003564572","0.108910666414444","2"
"Min 1x per week","1990","Part Time","West Germany","194","0.130565824570016","0.114633849328962","0.14649779981107","2"
"Min 1x per week","1990","Part Time","East Germany","","","","","2"
"Min 1x per week","1990","Not Working","West Germany","265","0.080310518927042","0.0710589976846255","0.0895620401694586","2"
"Min 1x per week","1990","Not Working","East Germany","","","","","2"
"Never","1990","Full Time","West Germany","2070","0.391771135756246","0.377377020819323","0.40616525069317","5"
"Never","1990","Full Time","East Germany","","","","","5"
"Never","1990","Part Time","West Germany","734","0.37457630266799","0.351689041422681","0.397463563913299","5"
"Never","1990","Part Time","East Germany","","","","","5"
"Never","1990","Not Working","West Germany","1919","0.573780574227305","0.556946243120477","0.590614905334134","5"
"Never","1990","Not Working","East Germany","","","","","5"
"Rarely","1990","Full Time","East Germany","","","","","4"
"Rarely","1990","Part Time","West Germany","514","0.316203613669848","0.294215735276556","0.33819149206314","4"
"Rarely","1990","Full Time","West Germany","1339","0.345780388574568","0.331755571882257","0.359805205266879","4"
"Rarely","1990","Not Working","West Germany","718","0.220185965789032","0.206080200106121","0.234291731471943","4"
"Rarely","1990","Part Time","East Germany","","","","","4"
"Rarely","1990","Not Working","East Germany","","","","","4"
"Daily","1991","Full Time","West Germany","","","","","1"
"Daily","1991","Full Time","East Germany","","","","","1"
"Daily","1991","Part Time","West Germany","","","","","1"
"Daily","1991","Part Time","East Germany","","","","","1"
"Daily","1991","Not Working","West Germany","","","","","1"
"Daily","1991","Not Working","East Germany","","","","","1"
"Min 1x per month","1991","Full Time","East Germany","","","","","3"
"Min 1x per month","1991","Full Time","West Germany","","","","","3"
"Min 1x per month","1991","Part Time","West Germany","","","","","3"
"Min 1x per month","1991","Part Time","East Germany","","","","","3"
"Min 1x per month","1991","Not Working","West Germany","","","","","3"
"Min 1x per month","1991","Not Working","East Germany","","","","","3"
"Min 1x per week","1991","Full Time","West Germany","","","","","2"
"Min 1x per week","1991","Full Time","East Germany","","","","","2"
"Min 1x per week","1991","Part Time","West Germany","","","","","2"
"Min 1x per week","1991","Part Time","East Germany","","","","","2"
"Min 1x per week","1991","Not Working","West Germany","","","","","2"
"Min 1x per week","1991","Not Working","East Germany","","","","","2"
"Never","1991","Full Time","West Germany","","","","","5"
"Never","1991","Full Time","East Germany","","","","","5"
"Never","1991","Part Time","West Germany","","","","","5"
"Never","1991","Part Time","East Germany","","","","","5"
"Never","1991","Not Working","West Germany","","","","","5"
"Never","1991","Not Working","East Germany","","","","","5"
"Rarely","1991","Full Time","East Germany","","","","","4"
"Rarely","1991","Full Time","West Germany","","","","","4"
"Rarely","1991","Part Time","West Germany","","","","","4"
"Rarely","1991","Part Time","East Germany","","","","","4"
"Rarely","1991","Not Working","West Germany","","","","","4"
"Rarely","1991","Not Working","East Germany","","","","","4"
"Daily","1992","Full Time","West Germany","","","","","1"
"Daily","1992","Full Time","East Germany","","","","","1"
"Daily","1992","Part Time","West Germany","","","","","1"
"Daily","1992","Part Time","East Germany","","","","","1"
"Daily","1992","Not Working","West Germany","","","","","1"
"Daily","1992","Not Working","East Germany","","","","","1"
"Min 1x per month","1992","Full Time","East Germany","","","","","3"
"Min 1x per month","1992","Full Time","West Germany","","","","","3"
"Min 1x per month","1992","Part Time","West Germany","","","","","3"
"Min 1x per month","1992","Part Time","East Germany","","","","","3"
"Min 1x per month","1992","Not Working","West Germany","","","","","3"
"Min 1x per month","1992","Not Working","East Germany","","","","","3"
"Min 1x per week","1992","Full Time","West Germany","","","","","2"
"Min 1x per week","1992","Part Time","West Germany","","","","","2"
"Min 1x per week","1992","Full Time","East Germany","","","","","2"
"Min 1x per week","1992","Not Working","West Germany","","","","","2"
"Min 1x per week","1992","Part Time","East Germany","","","","","2"
"Min 1x per week","1992","Not Working","East Germany","","","","","2"
"Never","1992","Full Time","West Germany","","","","","5"
"Never","1992","Full Time","East Germany","","","","","5"
"Never","1992","Part Time","West Germany","","","","","5"
"Never","1992","Part Time","East Germany","","","","","5"
"Never","1992","Not Working","West Germany","","","","","5"
"Never","1992","Not Working","East Germany","","","","","5"
"Rarely","1992","Full Time","West Germany","","","","","4"
"Rarely","1992","Full Time","East Germany","","","","","4"
"Rarely","1992","Part Time","West Germany","","","","","4"
"Rarely","1992","Part Time","East Germany","","","","","4"
"Rarely","1992","Not Working","West Germany","","","","","4"
"Rarely","1992","Not Working","East Germany","","","","","4"
"Daily","1993","Full Time","West Germany","","","","","1"
"Daily","1993","Full Time","East Germany","","","","","1"
"Daily","1993","Part Time","West Germany","","","","","1"
"Daily","1993","Part Time","East Germany","","","","","1"
"Daily","1993","Not Working","West Germany","","","","","1"
"Daily","1993","Not Working","East Germany","","","","","1"
"Min 1x per month","1993","Full Time","West Germany","","","","","3"
"Min 1x per month","1993","Full Time","East Germany","","","","","3"
"Min 1x per month","1993","Part Time","West Germany","","","","","3"
"Min 1x per month","1993","Part Time","East Germany","","","","","3"
"Min 1x per month","1993","Not Working","West Germany","","","","","3"
"Min 1x per month","1993","Not Working","East Germany","","","","","3"
"Min 1x per week","1993","Full Time","West Germany","","","","","2"
"Min 1x per week","1993","Full Time","East Germany","","","","","2"
"Min 1x per week","1993","Part Time","West Germany","","","","","2"
"Min 1x per week","1993","Part Time","East Germany","","","","","2"
"Min 1x per week","1993","Not Working","West Germany","","","","","2"
"Min 1x per week","1993","Not Working","East Germany","","","","","2"
"Never","1993","Full Time","West Germany","","","","","5"
"Never","1993","Full Time","East Germany","","","","","5"
"Never","1993","Part Time","West Germany","","","","","5"
"Never","1993","Part Time","East Germany","","","","","5"
"Never","1993","Not Working","West Germany","","","","","5"
"Never","1993","Not Working","East Germany","","","","","5"
"Rarely","1993","Full Time","West Germany","","","","","4"
"Rarely","1993","Full Time","East Germany","","","","","4"
"Rarely","1993","Part Time","West Germany","","","","","4"
"Rarely","1993","Part Time","East Germany","","","","","4"
"Rarely","1993","Not Working","West Germany","","","","","4"
"Rarely","1993","Not Working","East Germany","","","","","4"
"Daily","1994","Full Time","West Germany","","","","","1"
"Daily","1994","Full Time","East Germany","","","","","1"
"Daily","1994","Part Time","West Germany","","","","","1"
"Daily","1994","Part Time","East Germany","","","","","1"
"Daily","1994","Not Working","West Germany","","","","","1"
"Daily","1994","Not Working","East Germany","","","","","1"
"Min 1x per month","1994","Full Time","East Germany","","","","","3"
"Min 1x per month","1994","Full Time","West Germany","","","","","3"
"Min 1x per month","1994","Part Time","West Germany","","","","","3"
"Min 1x per month","1994","Part Time","East Germany","","","","","3"
"Min 1x per month","1994","Not Working","East Germany","","","","","3"
"Min 1x per month","1994","Not Working","West Germany","","","","","3"
"Min 1x per week","1994","Full Time","West Germany","","","","","2"
"Min 1x per week","1994","Full Time","East Germany","","","","","2"
"Min 1x per week","1994","Part Time","West Germany","","","","","2"
"Min 1x per week","1994","Part Time","East Germany","","","","","2"
"Min 1x per week","1994","Not Working","East Germany","","","","","2"
"Min 1x per week","1994","Not Working","West Germany","","","","","2"
"Never","1994","Full Time","West Germany","","","","","5"
"Never","1994","Full Time","East Germany","","","","","5"
"Never","1994","Part Time","West Germany","","","","","5"
