"plh0177","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","West Germany","137","0.0195637106369527","0.0155430609556478","0.0235843603182575","0"
"0 Completely dissatisfied","1984","16-34 y.","East Germany","","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","West Germany","121","0.0101627976165104","0.00769045092944819","0.0126351443035727","0"
"0 Completely dissatisfied","1984","35-65 y.","East Germany","","","","","0"
"0 Completely dissatisfied","1984","66 and older","West Germany","6","","","","0"
"0 Completely dissatisfied","1984","66 and older","East Germany","","","","","0"
"1 on Scale 1 to 10","1984","16-34 y.","West Germany","75","0.0145574711862528","0.0110803522128302","0.0180345901596753","1"
"1 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","West Germany","67","0.00708458435750019","0.00501713842899897","0.00915203028600142","1"
"1 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","1"
"1 on Scale 1 to 10","1984","66 and older","West Germany","5","","","","1"
"1 on Scale 1 to 10","1984","66 and older","East Germany","","","","","1"
"10 Completely satisfied","1984","16-34 y.","East Germany","","","","","10"
"10 Completely satisfied","1984","16-34 y.","West Germany","1198","0.277892482713067","0.264887784959809","0.290897180466325","10"
"10 Completely satisfied","1984","35-65 y.","West Germany","2112","0.368331503341708","0.356441420323097","0.380221586360319","10"
"10 Completely satisfied","1984","66 and older","East Germany","","","","","10"
"10 Completely satisfied","1984","35-65 y.","East Germany","","","","","10"
"10 Completely satisfied","1984","66 and older","West Germany","536","0.418373549047079","0.391275496957291","0.445471601136868","10"
"2 on Scale 1 to 10","1984","16-34 y.","West Germany","125","0.0218945473478048","0.0176461829954885","0.0261429117001212","2"
"2 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","West Germany","104","0.0105406320692843","0.00802322669707651","0.0130580374414922","2"
"2 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","2"
"2 on Scale 1 to 10","1984","66 and older","West Germany","10","","","","2"
"2 on Scale 1 to 10","1984","66 and older","East Germany","","","","","2"
"3 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","35-65 y.","West Germany","182","0.019804231288743","0.0163697887722003","0.0232386738052858","3"
"3 on Scale 1 to 10","1984","16-34 y.","West Germany","185","0.0366065735205659","0.0311547434627752","0.0420584035783565","3"
"3 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","3"
"3 on Scale 1 to 10","1984","66 and older","West Germany","13","","","","3"
"3 on Scale 1 to 10","1984","66 and older","East Germany","","","","","3"
"4 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","4"
"4 on Scale 1 to 10","1984","35-65 y.","West Germany","188","0.0219474558258981","0.0183359025094263","0.0255590091423699","4"
"4 on Scale 1 to 10","1984","16-34 y.","West Germany","208","0.0426963767465247","0.0368271445277409","0.0485656089653086","4"
"4 on Scale 1 to 10","1984","66 and older","West Germany","20","","","","4"
"4 on Scale 1 to 10","1984","66 and older","East Germany","","","","","4"
"5 on Scale 1 to 10","1984","16-34 y.","West Germany","521","0.107302734024247","0.0983177268792087","0.116287741169285","5"
"5 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","66 and older","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","35-65 y.","West Germany","548","0.076925193003815","0.070356581272271","0.083493804735359","5"
"5 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","5"
"5 on Scale 1 to 10","1984","66 and older","West Germany","79","0.0607818687464772","0.0476567226175471","0.0739070148754072","5"
"6 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","6"
"6 on Scale 1 to 10","1984","35-65 y.","West Germany","353","0.0509726163058438","0.0455510012335713","0.0563942313781164","6"
"6 on Scale 1 to 10","1984","16-34 y.","West Germany","290","0.0653980264102864","0.0582208007915368","0.0725752520290359","6"
"6 on Scale 1 to 10","1984","66 and older","West Germany","48","0.0365580349456137","0.0262485233701655","0.046867546521062","6"
"6 on Scale 1 to 10","1984","66 and older","East Germany","","","","","6"
"7 on Scale 1 to 10","1984","16-34 y.","West Germany","442","0.0975385987420698","0.0889254191115273","0.106151778372612","7"
"7 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","35-65 y.","West Germany","648","0.100099874009806","0.0927015258154693","0.107498222204143","7"
"7 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","7"
"7 on Scale 1 to 10","1984","66 and older","West Germany","103","0.0795189890539771","0.0646570070502934","0.0943809710576609","7"
"7 on Scale 1 to 10","1984","66 and older","East Germany","","","","","7"
"8 on Scale 1 to 10","1984","16-34 y.","West Germany","820","0.18479058332005","0.173522878983372","0.196058287656728","8"
"8 on Scale 1 to 10","1984","35-65 y.","West Germany","1157","0.188225655894104","0.178590074694723","0.197861237093485","8"
"8 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","8"
"8 on Scale 1 to 10","1984","66 and older","West Germany","254","0.201341371960996","0.179313071329555","0.223369672592437","8"
"8 on Scale 1 to 10","1984","66 and older","East Germany","","","","","8"
"9 on Scale 1 to 10","1984","16-34 y.","West Germany","557","0.131758895352179","0.121939809111691","0.141577981592666","9"
"9 on Scale 1 to 10","1984","16-34 y.","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","35-65 y.","West Germany","842","0.145905456286787","0.137203646505372","0.154607266068202","9"
"9 on Scale 1 to 10","1984","66 and older","West Germany","199","0.161333256844529","0.141126782185781","0.181539731503276","9"
"9 on Scale 1 to 10","1984","35-65 y.","East Germany","","","","","9"
"9 on Scale 1 to 10","1984","66 and older","East Germany","","","","","9"
"0 Completely dissatisfied","1985","16-34 y.","West Germany","91","0.0149365693699065","0.011228185285364","0.018644953454449","0"
"0 Completely dissatisfied","1985","16-34 y.","East Germany","","","","","0"
"0 Completely dissatisfied","1985","35-65 y.","West Germany","70","0.00722489159496333","0.0050369848567583","0.00941279833316835","0"
"0 Completely dissatisfied","1985","35-65 y.","East Germany","","","","","0"
"0 Completely dissatisfied","1985","66 and older","West Germany","2","","","","0"
"0 Completely dissatisfied","1985","66 and older","East Germany","","","","","0"
"1 on Scale 1 to 10","1985","35-65 y.","West Germany","50","0.00676230144062791","0.00464510303153627","0.00887949984971954","1"
"1 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","16-34 y.","West Germany","50","0.0094571897175205","0.00649819046268967","0.0124161889723513","1"
"1 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","1"
"1 on Scale 1 to 10","1985","66 and older","West Germany","1","","","","1"
"1 on Scale 1 to 10","1985","66 and older","East Germany","","","","","1"
"10 Completely satisfied","1985","16-34 y.","West Germany","942","0.23807908557382","0.225058133198339","0.251100037949301","10"
"10 Completely satisfied","1985","16-34 y.","East Germany","","","","","10"
"10 Completely satisfied","1985","35-65 y.","West Germany","1646","0.313290414174417","0.301307903992081","0.325272924356754","10"
"10 Completely satisfied","1985","35-65 y.","East Germany","","","","","10"
"10 Completely satisfied","1985","66 and older","West Germany","422","0.379086743190168","0.350545599867389","0.407627886512947","10"
"10 Completely satisfied","1985","66 and older","East Germany","","","","","10"
"2 on Scale 1 to 10","1985","16-34 y.","West Germany","101","0.0199587607624289","0.0156829729827367","0.024234548542121","2"
"2 on Scale 1 to 10","1985","35-65 y.","West Germany","90","0.0111318309445146","0.00842138844599227","0.0138422734430369","2"
"2 on Scale 1 to 10","1985","66 and older","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","2"
"2 on Scale 1 to 10","1985","66 and older","West Germany","9","","","","2"
"2 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","2"
"3 on Scale 1 to 10","1985","16-34 y.","West Germany","188","0.0404226282215126","0.0344014781351353","0.04644377830789","3"
"3 on Scale 1 to 10","1985","35-65 y.","West Germany","159","0.0198453709391913","0.0162423680820219","0.0234483737963607","3"
"3 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","3"
"3 on Scale 1 to 10","1985","66 and older","West Germany","14","","","","3"
"3 on Scale 1 to 10","1985","66 and older","East Germany","","","","","3"
"4 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","35-65 y.","West Germany","164","0.0212593054610033","0.0175328489484054","0.0249857619736012","4"
"4 on Scale 1 to 10","1985","16-34 y.","West Germany","159","0.0312206765660247","0.025903748731918","0.0365376044001314","4"
"4 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","4"
"4 on Scale 1 to 10","1985","66 and older","West Germany","24","","","","4"
"4 on Scale 1 to 10","1985","66 and older","East Germany","","","","","4"
"5 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","16-34 y.","West Germany","442","0.100442438831717","0.0912527610519418","0.109632116611492","5"
"5 on Scale 1 to 10","1985","35-65 y.","West Germany","509","0.0822492548741526","0.07515158072227","0.0893469290260352","5"
"5 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","5"
"5 on Scale 1 to 10","1985","66 and older","West Germany","70","0.0613408390015533","0.0472247164832684","0.0754569615198381","5"
"5 on Scale 1 to 10","1985","66 and older","East Germany","","","","","5"
"6 on Scale 1 to 10","1985","16-34 y.","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","16-34 y.","West Germany","292","0.0691933948545644","0.0614346900635394","0.0769520996455895","6"
"6 on Scale 1 to 10","1985","35-65 y.","West Germany","351","0.0530077401206396","0.0472197129954603","0.0587957672458188","6"
"6 on Scale 1 to 10","1985","35-65 y.","East Germany","","","","","6"
"6 on Scale 1 to 10","1985","66 and older","West Germany","53","0.0479252278103644","0.0353590204085189","0.0604914352122098","6"
