"party","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"AfD","1984","East Germany","Male","","","","","7"
"AfD","1984","East Germany","Female","","","","","7"
"AfD","1984","West Germany","Male","","","","","7"
"AfD","1984","West Germany","Female","","","","","7"
"CDU/CSU","1984","East Germany","Male","","","","","2"
"CDU/CSU","1984","East Germany","Female","","","","","2"
"CDU/CSU","1984","West Germany","Female","1305","0.461583009355352","0.444073536463707","0.479092482246998","2"
"CDU/CSU","1984","West Germany","Male","1305","0.44271482050749","0.425826607516702","0.459603033498278","2"
"FDP","1984","East Germany","Male","","","","","3"
"FDP","1984","West Germany","Male","104","0.0355300765636633","0.0292360968830224","0.0418240562443042","3"
"FDP","1984","East Germany","Female","","","","","3"
"FDP","1984","West Germany","Female","77","0.0270973916146422","0.0213946037770505","0.0328001794522338","3"
"NPD","1984","East Germany","Male","","","","","6"
"NPD","1984","East Germany","Female","","","","","6"
"NPD","1984","West Germany","Male","","","","","6"
"NPD","1984","West Germany","Female","","","","","6"
"Other","1984","West Germany","Male","27","","","","8"
"Other","1984","West Germany","Female","13","","","","8"
"Other","1984","East Germany","Male","","","","","8"
"Other","1984","East Germany","Female","","","","","8"
"PDS/Linke","1984","East Germany","Male","","","","","5"
"PDS/Linke","1984","East Germany","Female","","","","","5"
"PDS/Linke","1984","West Germany","Male","","","","","5"
"PDS/Linke","1984","West Germany","Female","","","","","5"
"SPD","1984","East Germany","Female","","","","","1"
"SPD","1984","West Germany","Male","1668","0.455312457465437","0.43838033471831","0.472244580212563","1"
"SPD","1984","West Germany","Female","1507","0.449991391235304","0.432518063080837","0.467464719389771","1"
"SPD","1984","East Germany","Male","","","","","1"
"AfD","1985","East Germany","Male","","","","","7"
"AfD","1985","West Germany","Male","","","","","7"
"AfD","1985","West Germany","Female","","","","","7"
"AfD","1985","East Germany","Female","","","","","7"
"CDU/CSU","1985","East Germany","Male","","","","","2"
"CDU/CSU","1985","East Germany","Female","","","","","2"
"CDU/CSU","1985","West Germany","Female","1136","0.451089824395433","0.432468209399323","0.469711439391542","2"
"CDU/CSU","1985","West Germany","Male","1189","0.438186415340836","0.420525668490961","0.455847162190711","2"
"FDP","1985","East Germany","Male","","","","","3"
"FDP","1985","East Germany","Female","","","","","3"
"FDP","1985","West Germany","Male","112","0.0409811067789052","0.0339246137681899","0.0480375997896205","3"
"FDP","1985","West Germany","Female","86","0.0368855332150891","0.0298320737741027","0.0439389926560756","3"
"NPD","1985","West Germany","Male","","","","","6"
"NPD","1985","West Germany","Female","","","","","6"
"NPD","1985","East Germany","Male","","","","","6"
"NPD","1985","East Germany","Female","","","","","6"
"Other","1985","East Germany","Male","","","","","8"
"Other","1985","East Germany","Female","","","","","8"
"Other","1985","West Germany","Male","27","","","","8"
"Other","1985","West Germany","Female","9","","","","8"
"PDS/Linke","1985","East Germany","Male","","","","","5"
"PDS/Linke","1985","East Germany","Female","","","","","5"
"PDS/Linke","1985","West Germany","Male","","","","","5"
"PDS/Linke","1985","West Germany","Female","","","","","5"
"SPD","1985","West Germany","Male","1492","0.448142443554298","0.430441149025818","0.465843738082779","1"
"SPD","1985","East Germany","Female","","","","","1"
"SPD","1985","East Germany","Male","","","","","1"
"SPD","1985","West Germany","Female","1316","0.447929113390831","0.429319504102828","0.466538722678835","1"
"AfD","1986","East Germany","Male","","","","","7"
"AfD","1986","West Germany","Male","","","","","7"
"AfD","1986","West Germany","Female","","","","","7"
"AfD","1986","East Germany","Female","","","","","7"
"CDU/CSU","1986","East Germany","Male","","","","","2"
"CDU/CSU","1986","East Germany","Female","","","","","2"
"CDU/CSU","1986","West Germany","Female","1096","0.458327334991776","0.439175175186926","0.477479494796626","2"
"CDU/CSU","1986","West Germany","Male","1108","0.425414331497245","0.407354624019114","0.443474038975376","2"
"FDP","1986","West Germany","Male","100","0.0388423759799578","0.0317844441387494","0.0459003078211663","3"
"FDP","1986","East Germany","Female","","","","","3"
"FDP","1986","East Germany","Male","","","","","3"
"FDP","1986","West Germany","Female","70","0.0309212084306196","0.0242674168880038","0.0375749999732354","3"
"NPD","1986","West Germany","Male","","","","","6"
"NPD","1986","West Germany","Female","","","","","6"
"NPD","1986","East Germany","Male","","","","","6"
"NPD","1986","East Germany","Female","","","","","6"
"Other","1986","East Germany","Male","","","","","8"
"Other","1986","East Germany","Female","","","","","8"
"Other","1986","West Germany","Male","22","","","","8"
"Other","1986","West Germany","Female","7","","","","8"
"PDS/Linke","1986","East Germany","Male","","","","","5"
"PDS/Linke","1986","East Germany","Female","","","","","5"
"PDS/Linke","1986","West Germany","Male","","","","","5"
"PDS/Linke","1986","West Germany","Female","","","","","5"
"SPD","1986","West Germany","Male","1456","0.467773985045521","0.449547902176185","0.486000067914858","1"
"SPD","1986","East Germany","Female","","","","","1"
"SPD","1986","East Germany","Male","","","","","1"
"SPD","1986","West Germany","Female","1235","0.442987436971603","0.423893757961379","0.462081115981827","1"
"AfD","1987","East Germany","Male","","","","","7"
"AfD","1987","East Germany","Female","","","","","7"
"AfD","1987","West Germany","Female","","","","","7"
"AfD","1987","West Germany","Male","","","","","7"
"CDU/CSU","1987","East Germany","Female","","","","","2"
"CDU/CSU","1987","East Germany","Male","","","","","2"
